project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpmcArrayQueue;3;7;7;9;0;0;53.9936
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpscArrayQueue;3;9;10;8;0;0;58.166399999999996
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=MpmcArrayQueue;3;10;8;13;0;0;62.3392
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=10000;2;11;10;0;0;0;41.9072
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true;4;9;14;9;9;0;82.7712
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=MpscArrayQueue;5;32;20;9;22;50;188.7456
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=SpmcArrayQueue;4;7;8;9;9;0;74.4256
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=128000;4;13;12;12;14;0;93.2032
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=1;4;8;11;13;19;0;93.2032
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpscArrayQueue;4;9;9;18;15;0;93.2032
jctools;;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;5;10;9;10;10;11;102.16
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=128000;3;7;9;6;0;0;52.9504
jctools;;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=MpscArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=SpscArrayQueue;5;7;8;11;22;10;110.50559999999999
jctools;;org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove;implementation=NonBlockingHashMap&readRatio=50&tableSize=100000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Mpsc;3;22;50;8;0;0;113.45599999999999
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpmcArrayQueue;2;16;7;0;0;0;43.9936
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=1;5;14;14;11;9;8;108.41919999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=10000;5;10;13;12;13;13;113.6352
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;2;24;11;0;0;0;56.51199999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=10000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline;limit=10000;2;7;6;0;0;0;33.5616
jctools;;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;3;13;8;10;0;0;62.3392
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpscArrayQueue&warmup=true;4;7;7;7;9;0;71.29599999999999
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs;limit=1;4;12;10;8;12;0;83.8144
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=10000;5;13;9;14;8;12;108.41919999999999
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=128000;4;8;7;16;9;0;81.728
jctools;;org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll;;5;21;13;24;26;18;156.4064
jctools;;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;4;10;7;8;7;0;73.38239999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=10000;3;16;14;12;0;0;73.8144
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=1;5;17;12;13;11;20;126.1536
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpmcArrayQueue;2;12;7;0;0;0;39.8208
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpscArrayQueue;4;7;6;12;7;0;73.38239999999999
jctools;;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Spsc;4;9;13;11;21;0;96.33279999999999
jctools;;org.jctools.jmh.baseline.BaselinePingPong.pingpong;;2;6;7;0;0;0;33.5616
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs;limit=1;4;14;12;13;10;0;91.1168
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=1;4;6;6;6;6;0;65.0368
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpscArrayQueue;5;14;15;15;19;17;133.456
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline;limit=1;5;14;10;14;9;12;111.5488
