project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;2;23;25;0;0;0;68.4224
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;4;5;5;5;5;0;60.176
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;2;5;5;0;0;0;30.088
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;5;5;9;50;5;5;124.65119999999999
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;5;5;5;5;5;5;75.22
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;5;6;8;5;23;20;112.5456
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;4;7;34;37;26;0;144.9152
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;5;5;5;5;5;5;75.22
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;5;43;50;5;5;5;158.9504
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;5;14;9;15;21;20;129.6952
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist;;2;19;16;0;0;0;55.308
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline;;5;33;5;9;41;5;143.8184
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib;;2;30;29;0;0;0;79.5192
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool;;3;50;5;5;0;0;90.52799999999999
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;5;5;5;5;5;5;75.22
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist;;4;5;13;10;6;0;74.2992
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix;;4;47;37;20;6;0;150.968
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy;;5;28;28;5;5;46;162.98559999999998
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy;;3;50;20;35;0;0;135.92399999999998
