selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,24182799,0,106,45,20,382,12,1073021,16628,12,1,1,52630392.4248,GumTreeDiff/gumtree
NO,88866043,1,0,0,1,601,22,31240,27476,22,17,4,702193.976,mehtabsinghmann/resilience4j
YES,41822220,0,20,2,4,209,1,4522,1579,1,1,1,1984.7058,platan/idea-gradle-dependencies-formatter
NO,32489637,1,0,0,2,920,19,48032,47078,19,3,2,251879.808,antidata/htm-java
YES,43953675,0,16,4,5,162,4,11022,10151,4,57,1,692084.6064,vladimir-bukhtoyarov/rolling-metrics
YES,47997382,0,0,0,1,22,1,12463,10792,1,1,1,27.4186,udoprog/scribe
YES,26072381,0,6,0,1,49,1,406798,394439,1,7,1,97672.1998,protobufel/protobuf-el
NO,43368050,1,0,0,0,1245,70,59249,52906,70,50,1,25817751.75,tvaughan77/Hystrix
NO,10683434,1,0,0,1,194,16,11837,11679,16,48,8,176361.8304,dain/slice
YES,37565999,0,9,6,6,183,3,38597,31297,3,5,2,105948.765,andymalakov/f1x
YES,58226036,0,0,0,6,53,6,155517,150210,6,4,1,19781.7624,viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-
NO,60110310,1,0,0,1,207,27,207104,194149,27,3,3,347251.2768,amihalik/incubator-rya
YES,28250097,0,0,1,2,163,1,13488,11563,1,8,1,1758.8352,jkirsch/spex
YES,39298591,0,4,1,4,605,2,50232,43979,2,3,1,91171.08,anonl/nvlist
NO,35510921,1,0,0,1,278,11,15619,14961,11,26,2,124183.5452,dorkbox/JCTools
NO,90540549,1,0,0,1,109,7,31937,31171,7,27,3,65793.4137,tomasonjo/neo4j-graph-algorithms
NO,34343556,1,0,0,1,188,13,20668,20204,13,9,1,45461.3328,mythguided/basis
YES,56934062,0,0,0,1,8,1,795,674,1,2,1,1.272,dcapwell/collections
YES,73115044,0,0,0,1,24,2,3608,3189,2,7,2,121.2288,d0k1/jitloganalyzer
NO,39552605,1,0,0,1,346,37,14788,13044,37,7,1,132521.1832,openedbox/feign
NO,40218715,1,0,0,0,4220,122,105713,101389,122,109,4,593235562.028,lijunhuayc/RxJava
NO,42491830,1,0,0,1,5836,110,284213,229539,110,8,2,145962701.984,zhiqinghuang/druid
NO,42111405,1,0,0,1,3247,250,49842,40579,250,5,2,20229621.75,akshaymaniyar/dropwizard
YES,28839972,0,1,2,1,213,4,5333,4800,4,2,2,1817.4864,rodolfodpk/myeslib2
NO,41077407,1,1,0,1,2,1,2174,1824,1,47,1,40.8712,tokuhirom/json-benchmarks
YES,23095934,0,118,25,22,95,14,2259,781,14,1,1,35753.193,ReactiveX/RxGroovy
NO,43449141,1,0,0,1,1245,70,59249,52906,70,50,1,25817751.75,hcheung/Hystrix
NO,38719381,1,0,0,1,450,57,18019,15863,57,7,1,323531.145,jmnarloch/feign
NO,31583998,1,0,0,1,527,31,57377,52982,31,7,2,656157.6343,jcanizales/grpc-java
NO,89404704,1,0,0,1,1946,91,205350,195613,91,31,8,112730291.31,zsurocking/grpc-java
NO,37343357,1,0,0,0,682,17,27971,24427,17,16,1,518873.2384,pstout/spectator
YES,87290399,0,0,0,0,14,2,446674,369142,2,81,1,101305.6632,Saligia-eva/mobvista-druid
YES,77196845,0,207,71,40,95,1,60765,58271,1,48,1,5763438.72,shunfei/indexr
YES,27990813,0,16,2,5,37,1,1120,977,1,3,1,211.344,jerrinot/FieldMagic
YES,54042269,0,0,0,1,16,2,732,199,2,2,1,4.6848,eljobe/experiments
NO,38781678,1,0,0,1,2030,96,210987,201374,96,31,9,127463154.336,carl-mastrangelo/grpc-java
YES,37812465,0,0,0,1,135,1,10469,8374,1,4,1,565.326,insano10/puzzlers
YES,34780929,0,3,1,2,90,2,3402,2695,2,15,2,3674.16,vibneiro/dispatching
YES,48986026,0,0,0,1,24,3,3980,773,3,4,2,114.624,epickrram/jvm-warmup-talk
NO,41242912,1,0,0,2,30,2,1841,1559,2,24,2,265.104,brettwooldridge/object-pool-benchmarks
YES,47892506,0,0,1,1,34,3,7944,7673,3,44,1,3565.2672,dryuf/dryuf-concurrent
YES,45064774,0,29,16,8,100,2,10658,8548,2,49,2,313345.2,Vedenin/java-in-examples
NO,22306138,1,0,0,1,0,0,293825,286111,0,55,3,0,caoyanwei/netty
YES,92934824,0,19,1,3,74,1,5337,4836,1,2,1,1579.752,sangupta/gather
YES,58887729,0,1,0,0,18,1,310,143,1,1,1,1.116,volkodava/disruptor-benchmark-tests
NO,40898643,1,0,0,1,3472,376,313196,194364,376,1,1,40886860.8512,rhauch/kafka
NO,25388619,1,0,0,1,1804,100,110930,104410,100,14,1,28016480.8,saucam/incubator-parquet-mr
NO,39546740,1,0,0,1,3133,237,48679,39444,237,5,2,18072589.8795,douzzi/dropwizard
YES,1869419,0,11,2,4,23,1,2179,1654,1,9,1,541.2636,vlsi/compactmap
YES,43247934,0,83,16,31,1035,13,39727,38304,13,10,2,44900249.94,OpenCubicChunks/CubicChunks
NO,21011791,1,0,0,1,1675,77,89634,83628,77,14,1,16184763.21,isnotinvain/parquet-mr
NO,35292987,1,0,0,1,0,0,29199,22540,0,6,3,0,mnuessler/metrics
YES,63366628,0,2,0,1,19,2,1118,955,2,17,2,216.6684,JervenBolleman/java-benchmarks
YES,88866650,0,0,0,1,51,2,2745,2591,2,94,1,2631.906,sparkoo/Java-Grande-JMH
YES,24490288,0,0,0,1,19,1,2424,2183,1,23,1,105.9288,dmitryleskov/algs4bench
NO,43425314,1,0,0,1,1352,22,96358,91568,22,16,1,4585715.7632,myxyz/protostuff
YES,14967867,0,95,12,14,234,5,11042,10322,5,8,3,992189.952,Devexperts/aprof
YES,21141930,0,1,0,1,4,2,489,372,2,20,1,15.648,davidhagar-zz/java-microbenchmarks
NO,15431635,1,3,0,4,1587,119,38055,5408,119,2,1,5749440.732,pravsingh/Algorithm-Implementations
