project,forked,watchers,stars,forks,subscribers
nicoulaj/jmh-utils,False,5,5,0,1
witi83/jmh-streams,False,0,0,0,1
udoprog/tiny-async-java,False,9,9,7,1
marksantos/simple-binary-encoding,True,1,1,0,1
cawallin/presto,True,0,0,0,1
real-logic/benchmarks,False,28,28,7,5
DavideD/hibernate-ogm,True,2,2,4,1
mugglmenzel/presto,True,0,0,0,1
PhillHenry/palgorithms,False,0,0,0,1
jkirsch/spex,False,0,0,1,2
lemire/RoaringBitmap,False,529,529,107,47
ThomasKrieger/benchmarks,False,2,2,1,2
dmart28/reveno,False,147,147,38,32
roboxue/librepsheet-java,True,0,0,0,1
marko-bekhta/hibernate-validator,True,0,0,0,1
mosoft521/jodd,True,0,0,0,1
eonezhang/servo,True,0,0,0,1
Vanilla-Java/Microservices,False,16,16,4,6
benjchristensen/RxJava,True,4,4,3,10
EvilMcJerkface/atlasdb,True,0,0,0,1
ruediste/salta-benchmark,False,0,0,0,1
johnlcox/motif,False,130,130,2,13
d0k1/jitloganalyzer,False,0,0,0,1
jacek-lewandowski/jmh-jl,False,0,0,0,0
volkodava/disruptor-benchmark-tests,False,1,1,0,0
ennerf/flatbuffers-java-benchmark,False,2,2,3,2
eljobe/experiments,False,0,0,0,1
Pitt112/night-hawk,False,0,0,0,1
atlassian/commonmark-java,False,385,385,49,76
milimetric/druid,True,0,0,0,1
sormuras/treasure,False,0,0,0,1
nickman/json-benchmark,False,0,0,0,1
fabienrenaud/java-json-benchmark,False,81,81,13,9
drankye/bufferalloc,False,0,0,0,1
josegom/training,False,0,0,0,1
grpc/grpc-java,False,2631,2631,821,380
cache2k/cache2k-benchmark,False,12,12,2,3
kno10/reversegeocode,False,13,13,1,4
arteam/100-Java-Concurrency-questions,False,33,33,14,5
wotifgroup/wotif-logutils,False,0,0,0,6
akashche/tzdata-jmh,False,1,1,0,1
shuyangzhou/netty,True,0,0,0,1
davecramer/pgjdbc,True,0,0,0,1
jchambers/netty,True,0,0,0,1
jacek-rzrz/RxJava,True,0,0,0,1
mshuler/cassandra,True,0,0,0,0
debmalya/vigilant-tribble,False,0,0,0,1
stagemonitor/stagemonitor,False,929,929,147,81
Techcable/netty,True,0,0,0,1
xnslong/logging-log4j2,True,0,0,0,1
johngmyers/airlift,True,0,0,0,1
antag99/artemis-odb,True,0,0,0,1
srvaroa/RxJava,True,0,0,0,1
akarnokd/JCTools,True,0,0,0,1
MarkBruns/Hystrix,True,0,0,0,1
akarnokd/akarnokd-misc,False,8,8,3,3
shahankhatch/aurora,True,0,0,0,0
erichwang/presto,True,0,0,0,8
lexas2509/perf,False,0,0,0,1
pdemanget/examples,False,0,0,0,1
cogmission/htm.java,True,0,0,0,2
wuyinxian124/netty,True,0,0,0,1
d0k1/groovy-eval-bench,False,1,1,0,2
relayrides/pushy,False,603,603,183,134
denizdemir/presto,True,0,0,0,1
Netflix/spectator,False,152,152,49,256
zapov/pgjdbc,True,0,0,0,0
Lessnic/CAISS,False,0,0,0,1
SquidPony/SquidLib,False,137,137,27,24
maximenajim/nashorn-react-jmh-microbenchmark,False,0,0,0,1
Abnaxos/guards,False,1,1,0,1
FIXTradingCommunity/silverflash,False,11,11,1,11
mbosecke/pebble-benchmark,False,0,0,1,1
stealthcode/RxJava,True,0,0,0,0
gianm/druid,True,0,0,0,1
ReactiveX/RxJava,False,23558,23558,4143,1754
kawasima/copyfile-benchmark,False,0,0,0,1
pisfly/Chronicle-Queue,True,0,0,0,1
rslemos/pet-grammars,False,0,0,0,1
Tammie47/inspectIT,True,0,0,0,1
gorcz/Hystrix,True,0,0,0,1
mike-tr-adamson/cassandra,True,0,0,0,0
soenter/netty,True,1,1,0,0
thheller/shadow-pgsql,False,17,17,0,2
xaeronation/benchmarks,False,0,0,0,0
gensym/jmh-lein-example,False,0,0,0,1
jhalliday/hibernate-ogm,True,0,0,0,1
nurkiewicz/RxJava,True,0,0,0,1
cryptomator/siv-mode,False,7,7,1,6
mcculls/cglib,True,0,0,0,1
DLotts/incubator-rya,True,0,0,0,1
karlicoss/autohash,False,5,5,1,1
google/conscrypt,False,212,212,32,14
h2oai/h2o-3,False,1943,1943,836,283
blynkkk/blynk-server,False,569,569,198,87
person-lee/nlp,False,0,0,0,1
marcust/stagemonitor,True,0,0,0,1
biboudis/clashofthelambdas,False,19,19,6,5
takari/presto,True,0,0,0,15
andreytim/jafar,False,0,0,1,1
TridentSDK/TridentSDK,False,49,49,26,23
Netflix/feign,False,1716,1716,335,276
mpwaller/diet-yoink,False,0,0,0,1
ambro2/jabref,True,0,0,0,1
fbaro/jpack,False,0,0,0,1
protobufel/protobuf-el,False,5,5,0,1
ghxandsky/benchmarx,True,2,2,0,1
burmanm/gorilla-tsc,False,21,21,6,1
glowroot/glowroot,False,184,184,43,27
neo4j-contrib/neo4j-jdbc,True,25,25,18,25
mike-tr-adamson/incubator-tinkerpop,True,0,0,0,0
toyama0919/presto,True,1,1,0,1
gdusbabek/cassandra,True,0,0,0,0
akarnokd/ixjava,False,148,148,6,16
tudorv91/SparkJNI,False,7,7,4,3
komiya-atsushi/fast-rng-java,False,4,4,0,0
anonl/nvlist,False,4,4,1,3
awood/crl-stream,False,0,0,0,1
tsouza/elasticsearch,True,0,0,0,0
tbrooks8/netty,True,0,0,0,1
nikarh/equals-builder,False,0,0,0,1
windie/netty,True,0,0,0,1
shitikanth/jabref,True,0,0,0,1
asimihsan/jmh-gradle-anagrams,False,0,0,0,1
larusba/neo4j-jdbc,False,6,6,22,16
liquidm/druid,True,0,0,0,31
maxdemarzi/neo_dislikes,False,1,1,0,1
reactor/reactive-streams-commons,False,106,106,14,32
pgjdbc/pgjdbc,False,322,322,249,66
areese/JavaTheCostOfDoingNothing,False,0,0,1,1
fizzed/template-benchmark,True,2,2,0,1
zsxwing/RxJava,True,0,0,0,1
reboss/Hystrix,True,0,0,0,1
opendaylight/yangtools,False,34,34,54,16
kevinyien/client_java,True,0,0,0,0
cryptomator/cryptolib,False,14,14,6,9
pujav65/incubator-rya,True,0,0,0,2
dcapwell/collections,False,0,0,0,1
jbripley/RxJava,True,0,0,0,1
easymock/objenesis,False,192,192,38,28
apptik/RHub,False,62,62,4,10
acisternino/narjillos-math-bench,False,1,1,0,1
trautonen/logback-ext,False,12,12,26,1
kojiyokota/jabref,True,0,0,0,1
fpavageau/bench-for-name,False,0,0,1,1
wenerme/seq,False,1,1,1,3
electrum/slice,True,0,0,0,1
mangeshpardeshiyahoo/druid,True,0,0,0,1
dryuf/dryuf-concurrent,False,0,0,1,1
lotusws/btrace,True,0,0,0,1
prasanthj/hasher,False,2,2,4,1
victor-cr/template-text-parser,False,0,0,0,1
akarnokd/RxJava2Extensions,False,126,126,5,16
gAmUssA/hazelcast-mongo-experiments,False,0,0,0,2
danielnorberg/rut,False,9,9,4,2
RapidPM/rapidpm-microservice,False,4,4,3,10
ryankennedy/dropwizard,True,0,0,0,1
TU-Berlin-SNET/tresor-pdp-caching,False,0,0,0,9
chriswins2much/golo-lang,True,0,0,0,1
conchlee/grpc-java,True,0,0,0,1
volodin-aa/openjdk-benchmark,False,0,0,0,1
martijnvg/elasticsearch,True,12,12,3,2
udoprog/scribe,False,0,0,0,1
dabla/parallel-iterable,False,0,0,1,3
voidException/java-8-lambdas-exercises,True,0,0,0,1
lemire/microbenchmarks,False,7,7,1,2
cheremin/fastlogger,False,6,6,2,4
Squarespace/template-compiler,False,12,12,3,23
arnohaase/a-foundation,False,30,30,7,10
tkao1000/pinot,True,0,0,0,1
renoth/texxxxas,False,0,0,0,1
tsdl2013/SimpleFlatMapper,True,0,0,0,1
mcanthony/presto,True,1,1,0,1
jf367/presto,True,0,0,0,1
neowu/core-ng-project,False,27,27,16,18
lingochamp/presto,True,0,0,2,6
orangelynx/Trident,True,0,0,0,1
IRus/Instanceof-vs-Try-Catch,False,0,0,0,1
zxs/druid,True,1,1,0,1
paritytrading/parity,False,62,62,20,15
panchenko/pgjdbc,True,0,0,0,1
slandelle/netty,True,1,1,0,1
spring-cloud/spring-cloud-sleuth,False,301,301,170,60
buchgr/grpc-java,True,0,0,0,1
dyu/protostuff,True,0,0,0,1
fpavageau/bench-simple-name,False,0,0,0,1
udoprog/tiny-ogt,False,0,0,0,1
eseifert/gral,False,68,68,18,9
msteindorfer/jmh,False,1,1,0,1
irobertson/invokedynamic-talk-code,False,4,4,1,1
centic9/poi-benchmark,False,0,0,1,2
terma/fast-select,False,3,3,4,1
michaelhixson/jmh-benchmark-listof,False,0,0,0,1
kratorius/cuckoohash,False,0,0,0,1
tfgm-bud/simple-binary-encoding,True,0,0,0,1
tzaeschke/distributed-phtree,False,0,0,1,1
michaljonko/blog-examples,False,0,0,0,1
snazy/ohc,False,175,175,31,21
jerrinot/FieldMagic,False,16,16,2,5
arnaudroger/jmh-exp,False,0,0,0,1
kvr000/zbynek-java-exp,False,0,0,0,1
Siedlerchr/jabref,True,0,0,0,1
almondtools/regexbench,False,0,0,0,1
apache/directory-kerby,False,24,24,26,7
RoaringBitmap/RoaringBitmap,False,529,529,107,47
yshaojie/Hystrix,True,0,0,0,1
daschl/netty,True,0,0,1,0
seetharamireddy540/netty,True,0,0,0,1
gregor-i/nutria,False,2,2,0,3
epickrram/lock-benchmark,False,0,0,0,1
girirajsharma/elasticsearch,True,0,0,0,1
nielsbasjes/yauaa,False,26,26,10,5
paninij/paninij,False,5,5,4,4
jregistr/Academia,False,0,0,0,1
tootedom/spray-cache-spymemcached,False,5,5,1,1
biboudis/streamalg,False,15,15,1,6
SerCeMan/reflection-access-tests,False,3,3,0,0
artspb/javax-mail-pool,False,0,0,0,1
spriet2000/handlers,False,2,2,0,1
tkowalcz/openjdk-jmh,False,0,0,0,1
json-iterator/java,False,623,623,143,64
davidbecker/SquidLib,True,0,0,0,1
Ajeet-Ganga/howToGuide,False,0,0,0,1
gpanther/lychrel-numbers,False,0,0,0,1
Alex-Diez/Java-TDD-Katas,False,0,0,0,0
reific/braid,False,1,1,1,2
d0k1/acache,False,1,1,0,1
firebase/netty,True,4,4,2,57
thomasnield/rxjava-jdbc,True,0,0,0,1
alexo/spinner,False,1,1,0,1
bowlofstew/Chronicle-Wire,True,0,0,0,0
xingguang2013/gs-collections,True,0,0,0,1
arnaudroger/sfm-csv-variability,False,0,0,0,1
bdobyns/OpenRQ,True,0,0,0,0
ayanai1/jabref,True,0,0,0,5
witi83/jmh-primitive-data-types,False,0,0,0,1
peptos/traffic-shm,False,6,6,1,3
volodarsky/zephyr-benchmark,True,0,0,0,1
Twister915/Trident,True,0,0,1,0
hamance/ODL-controller,False,0,0,0,1
chrisvest/object-pool-benchmarks,False,6,6,2,2
tullyliu/dynamicbean,False,2,2,1,3
robertroeser/reactivesocket-java,True,0,0,0,1
fiedukow/presto,True,0,0,0,1
alexeyr/pcg-java,False,5,5,2,4
oblac/java-common-benchmarks,False,1,1,1,2
pcadabam/gobblin,True,0,0,0,1
sujanctg2005/test-project,False,0,0,0,1
Mercateo/rest-schemagen,False,11,11,8,7
ttsiodras/HexSpeak,False,7,7,1,1
fabri1983/menuapp,False,0,0,0,1
mwassil/inspectIT,True,0,0,0,1
hyangtack/netty,True,0,0,0,1
wrwg/grpc-java,True,0,0,0,1
vibneiro/dispatching,False,3,3,1,2
mikeb01/scratch,False,0,0,0,1
RobWin/javaslang-circuitbreaker,False,224,224,38,21
cinquin/mutinack,False,1,1,0,1
Alex-Diez/Java-Algorithms,False,1,1,0,0
randiroe/dropwizard,True,0,0,0,1
davidmoten/rtree-3d,False,13,13,5,2
jasonchaffee/parseq,True,0,0,0,1
supriyantomaftuh/marklogic-sesame,True,0,0,0,0
titorenko/quick-csv-streamer,False,10,10,1,2
mikvor/hashmapTest,False,44,44,17,11
nypi/porter-stemmer,False,0,0,0,1
intropro/prairie,False,4,4,3,3
PhantomYdn/orientdb,True,0,0,0,1
srvaroa/jbcnconf,False,4,4,4,3
airlift/airlift,False,195,195,101,34
bckfnn/taggersty,False,1,1,0,1
jforge/rapidpm-microservice,True,0,0,0,1
virur7/netty,True,1,1,0,0
willhaben/blog,False,3,3,2,5
mikeb01/benchmarks,True,0,0,0,1
fenderstr/my-bench,False,0,0,0,1
CodeFX-org/lab-java8streamperformancebenchmark,False,4,4,4,3
jessefugitt/nuklei,True,0,0,0,1
newkek/incubator-tinkerpop,True,0,0,0,1
hmarchadour/EasyCDO,False,0,0,0,1
bingoohuang/westcache,False,6,6,2,2
mono-plane/airlift,False,0,0,0,1
blalasaadri/junit-lambda-benchmark,False,0,0,0,1
tubemogul/druid,True,0,0,0,16
motlin/eclipse-collections,True,1,1,0,4
almondtools/stringbench,False,5,5,3,1
kvr000/zbynek-concurrent-pof,False,0,0,0,1
square/okio,False,3703,3703,601,220
charlesccychen/incubator-beam,True,0,0,0,1
finn-no/serdes-shootout,False,0,0,2,30
yanchith/pattern,False,1,1,0,1
mythguided/basis,True,0,0,0,1
rgorodischer/microbenchmarks,False,0,0,1,1
glimpseio/incubator-calcite,True,0,0,0,1
RaysaOliveira/cloudsim-plus,True,0,0,0,1
victor-cr/threadlocal-benchmark,False,0,0,0,1
SlimRoms/android_external_okhttp,False,0,0,3,3
thymeleaf/thymeleaf-benchmarks,False,2,2,1,4
cfieber/spectator,True,0,0,0,1
planetsizebrain/stringbundler-tests,False,0,0,0,1
dcapwell/jmh-tests,False,0,0,0,1
vic/byte-buddy,True,0,0,0,1
mrserb/benchmarks,False,0,0,0,1
tjake/cassandra,True,1,1,0,1
robertdale/tinkerpop,True,1,1,0,1
mohanaraosv/commons-bcel,True,0,0,0,1
robinst/microbenchmarks,False,0,0,0,1
gorkem/js-parser-benchmarks,False,0,0,2,0
jenetics/jenetics,False,183,183,42,26
evanj/expire-threadlocal,False,2,2,0,0
mcberg2016/graal-core,True,0,0,0,2
chandresh-pancholi/ignite,True,0,0,0,1
aol/cyclops-react,False,568,568,60,72
amsa-code/risky,False,3,3,4,2
mkouba/template-benchmark,True,0,0,0,1
taichi/jmh-gradle-ide,False,1,1,0,2
ssaarela/javersion,False,18,18,3,4
aaronzirbes/RxGroovy,True,0,0,0,1
pstout/spectator,True,0,0,0,0
kietly/presto,True,0,0,0,1
AgentTroll/TrollCommons,False,2,2,1,2
yngui/jephyr-benchmark,False,0,0,1,1
davidmoten/rxjava-extras,False,202,202,16,14
cschenyuan/hive-hack,False,0,0,0,1
promeG/TinyPinyin,False,901,901,130,28
jmnarloch/trie,False,0,0,0,1
igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano,False,0,0,0,5
supriyantomaftuh/marklogic-jena,True,0,0,0,0
maxdemarzi/graph_processing,False,26,26,5,7
gensym/hikesaber,False,0,0,0,1
ioc1778/incubator,False,0,0,0,1
UniKnow/htm.java,True,0,0,0,1
udoprog/tiny-serializer-java,False,4,4,1,1
cpoepke/demos,False,4,4,1,0
andrey-vasilyev/gosthash,False,0,0,0,1
runidle/runidle-testing,False,0,0,0,0
wesamhaboush/furmat,False,0,0,0,1
rmpestano/cukedoctor,False,23,23,10,8
jpaw/bonaparte-java,False,2,2,2,2
gvsmirnov/java-perv,False,35,35,12,6
bearmug/x-traktor-core,False,0,0,1,1
opendaylight/controller,False,173,173,207,68
mp911de/logstash-gelf,False,121,121,26,12
graalvm/graal-core,False,281,281,52,60
Graylog2/graylog-plugin-pipeline-processor,False,10,10,11,17
salyh/a-foundation,True,0,0,0,1
uber/tchannel-java,False,95,95,41,2187
netty/netty,False,9746,9746,4775,1243
irobertson/StringBuilderInvokeDynamicBenchmark,False,0,0,0,1
smoketurner/notification,False,34,34,2,3
cleberecht/singa,False,2,2,0,3
davidmoten/audio-recognition,False,4,4,2,1
jsirois/pants,True,0,0,0,0
davidmoten/geo,False,182,182,45,27
trask/glowroot,True,0,0,2,2
servicefabric/servicefabric,False,55,55,17,18
izzizz/pinot,True,0,0,0,1
wondee/faststring,False,2,2,0,1
davidmoten/rtree,False,482,482,90,41
akarnokd/ReactiveChannel,False,2,2,0,1
tempbottle/netty-zmtp,True,0,0,0,1
jayjaylab-benchmark/retrofitvsokhttp,False,0,0,0,1
Devexperts/aprof,False,90,90,9,14
shenguoquan/netty,True,0,0,0,1
mono-plane/presto,False,0,0,0,1
neuro-sys/logging-log4j2,True,0,0,0,0
thelastpickle/cassandra,True,1,1,0,5
Mojang/blixtser,False,52,52,9,19
leveyj/ignite,True,0,0,0,1
jfaleiro/keyvalue,False,0,0,0,1
bassemZohdy/SimpleUtils,False,0,0,0,1
areese/TestUTF8Decoding,False,0,0,0,1
debop/debop4k,False,5,5,1,2
LucasPickering/terrain-gen,False,0,0,0,1
Zappos/zappos-json,False,5,5,1,6
wallerlab/yoink,False,2,2,1,4
arnaudroger/mapping-benchmark,False,1,1,1,1
arnaudroger/orm-benchmark,False,4,4,0,1
marcomorain/rate-limited-logger,True,0,0,0,1
conversant/disruptor_benchmark,False,3,3,0,8
MartinanderssonDotcom/money-profiling,False,0,0,0,1
tobijdc/PRNG-Performance,False,6,6,0,1
RTBHOUSE/neural-network-native-ops,False,1,1,3,5
underyx/pgjdbc,True,1,1,0,1
jad7/AtomicIncrementBenchmark,False,0,0,0,1
gvsmirnov/jmh-gradle-sample,False,8,8,2,1
leeyikjiun/blog,False,0,0,0,1
DanielSperry/orbit,True,0,0,1,1
stanculescu/gateway,True,0,0,0,1
jkinable/jgrapht,True,2,2,1,1
entrepidea/projects,False,0,0,0,1
haozhun/regexp-bench,False,0,0,0,1
sluk3r/cassandra,True,0,0,0,1
jpaw/jpaw,False,0,0,1,2
darwin-evolution/darwin,False,1,1,0,6
rschatz/graal-core,True,0,0,0,1
insano10/puzzlers,False,0,0,0,1
allegro/json-avro-converter,False,22,22,8,9
yrcourage/netty,False,3,3,1,1
mp911de/hibernate-ogm,True,0,0,0,1
spotify/completable-futures,False,47,47,9,108
matthew-dailey/java-playaround,False,0,0,0,1
Barteks2x/CubicChunks,False,63,63,15,25
drankye/directory-kerby,True,1,1,0,3
arcanefoam/jgrapht,True,0,0,0,1
coconut2015/cookjson,False,1,1,0,2
davidmoten/rxjava2-extras,False,19,19,3,3
franz1981/activemq-artemis,True,0,0,1,2
thkluge/inspectIT,True,0,0,0,1
XClouded/t4f-core,False,0,0,0,1
foursquare/fsqio,False,75,75,17,74
dain/aircompressor,True,1,1,0,1
247687009/tchannel-java,True,0,0,0,1
cheremin/scalarization,False,1,1,0,1
jacobwil/incubator-pirk,True,0,0,0,0
pombreda/btrace-hg,False,0,0,0,1
dimagi/commcare-core,False,4,4,7,23
ipogudin/examples,False,0,0,0,1
eun-ice/netty,True,0,0,0,1
xquery/marklogic-sesame,True,0,0,0,1
smarr/GraalCompiler,False,0,0,0,1
b-slim/druid,True,0,0,1,1
eclipse/eclipselink.runtime,False,43,43,60,19
gpanther/benchmark-arraycopy,False,2,2,1,1
immutables/samples,False,6,6,0,6
abesto/zipkin,True,0,0,0,0
rafaeljribeiro/reversegeocode,True,0,0,0,1
huxi/sulky,False,11,11,2,2
platan/idea-gradle-dependencies-formatter,False,18,18,1,4
arturotena/ExperimentalStuff,False,0,0,0,1
