project,forked,watchers,stars,forks,subscribers
joekearney/string-search-bench,False,0,0,0,0
lqbweb/logging-log4j2,True,0,0,0,1
irudyak/objenesis,True,0,0,0,1
dskinner/SiftXml,True,1,1,0,1
lmdbjava/benchmarks,False,42,42,5,9
mdhorton/experiments,False,0,0,0,0
jbonofre/incubator-beam,True,1,1,0,8
rayrobdod/deductionTactics,False,0,0,0,1
canepat/Helios,False,1,1,0,2
sunios/btrace,True,0,0,0,1
rsby/gunmetal,True,1,1,0,1
apptik/joio,False,0,0,0,3
sbwdlihao/chainj,False,0,0,0,1
Squarespace/less-compiler,False,6,6,3,21
orfjackal/cqrs-hotel,False,9,9,0,1
ruslan-sverchkov/aho-corasick,False,0,0,0,1
uliashkevich/native-struct,False,0,0,0,1
bridenbrad/misc,False,0,0,0,1
jcanizales/grpc-java,True,0,0,0,1
louiscryan/netty,True,0,0,0,1
golo-lang/golo-jmh-benchmarks,False,4,4,0,15
rasahner/druid,True,0,0,0,0
britter/to-array-benchmark,False,3,3,0,3
pford68/htm.java,True,0,0,0,1
taltmann/dropwizard,True,0,0,0,1
jpaw/fixedpoint,False,0,0,0,1
lewadik/jhmbe,False,0,0,0,1
wangsan/Hystrix,True,0,0,0,1
raphw/byte-buddy,False,1495,1495,156,97
chelu/htm.java,True,0,0,0,1
mrijke/druid,True,0,0,0,1
mbosecke/template-benchmark,False,57,57,32,11
twineworks/collections,False,1,1,0,1
davleopo/graal-core,True,0,0,0,1
jpxiong/okio,True,0,0,0,1
tietang/rxjava-jdbc,True,0,0,0,1
ConSol/parallel-streams-example,True,3,3,3,7
camunda/camunda-engine-dmn-benchmark,False,0,0,2,14
pisfly/logging-log4j2,True,0,0,0,1
jaredstehler/jinjava,True,0,0,0,1
yngui/zephyr-benchmark,False,0,0,1,1
cmebarrow/nuklei,True,0,0,0,0
spotify/apollo,False,1023,1023,124,128
wyukawa/presto,True,0,0,0,1
droolsjbpm/kie-benchmarks,False,1,1,4,9
davidmoten/RxJava,True,0,0,0,1
chenshu/jmh-example,False,0,0,0,1
darach/message-codec-bench,False,0,0,1,1
CrispOSS/prime-sieves,False,0,0,0,5
aerofs/netty,True,0,0,0,32
blemale/fuse,False,0,0,0,0
basho-labs/java-client-bench,False,0,0,0,59
dmlloyd/openjdk-modules,False,0,0,0,1
CHmoonKa/json-libraries-jmh,False,0,0,0,1
sybila/ode-generator,False,0,0,0,1
belliottsmith/injector,False,53,53,8,5
tweakers-dev/objectpool-benchmarks,False,0,0,0,5
gavlyukovskiy/guava-commons,False,0,0,0,1
tempbottle/hibernate-ogm,True,0,0,0,1
airlift/aircompressor,False,70,70,10,13
s4ke/moar,False,8,8,0,3
shashankasharma/commons-csv,True,0,0,0,3
InvisibleTech/state,False,0,0,0,1
ThaBalla1148/artemis-odb-contrib,True,0,0,0,1
amluto/simple-binary-encoding,True,0,0,0,1
restfb/restfb-benchmark,False,0,0,0,3
rkraneis/rtree,False,0,0,1,1
jblievremont/sonarqube,True,0,0,0,1
jjenkov/iap-tools-java-benchmarks,False,4,4,4,3
isalnikov/ACMP,False,1,1,0,1
smayoorans/netty,True,0,0,0,1
eunmin/Hystrix,True,0,0,0,1
RichardWarburton/java-final-benchmark,False,10,10,4,3
mosoft521/springside4,True,0,0,0,1
whitingjr/batch-rewrite-statements-perf,False,0,0,1,1
nickman/UnsafeAdapter,False,1,1,0,1
whitingjr/pgjdbc,True,0,0,0,1
Maccimo/commons-bcel,True,0,0,0,1
jacques-n/incubator-calcite,True,0,0,0,2
gameduell/eclipselink.runtime,True,0,0,0,6
mschenck/aurora,True,0,0,0,0
vongosling/jvm-serializer,False,12,12,10,5
ivansenic/inspectIT,True,0,0,2,1
gpanther/regex-libraries-benchmarks,False,2,2,2,1
tempredirect/metrics,True,0,0,0,0
tempredirect/GeoFun,False,0,0,0,0
fakemongo/fongo,True,305,305,102,25
broblin/java-8-lambdas-exercises,True,0,0,0,1
Infeligo/jgrapht,True,0,0,0,1
okrische/RoaringBitmap,True,2,2,0,1
ben-manes/caffeine,False,2414,2414,192,176
msteindorfer/criterion,False,0,0,0,1
martint/presto,True,0,0,1,9
nesteant/java-tests,False,0,0,0,1
vladimir-bukhtoyarov/metrics-core-hdr,False,12,12,4,5
chhh/javolution,True,0,0,0,1
smoketurner/uploader,False,4,4,1,1
akarnokd/reactive-streams-impl,False,1,1,0,2
presidentio/test-data-generator,False,6,6,1,1
spiffykahuna/TIJ4-code_idea,False,1,1,0,1
jajir/jblinktree,False,1,1,0,1
JetBrains/xodus,False,248,248,28,72
jpaw/jpaw8,False,0,0,0,1
ThreeTen/threeten-bench,False,0,0,1,2
headuck/lmdbjni,True,0,0,0,1
jpaw/jdp,False,0,0,0,1
geoaxis/apollo,True,0,0,0,0
dmitryleskov/algs4bench,False,0,0,0,1
xysun/sbe-erlang,False,8,8,0,2
apache/logging-log4j2,False,256,256,194,44
cinnober/msgcodec,False,6,6,3,16
jayware/entity-essentials,False,2,2,1,2
lukehutch/netty,True,0,0,0,1
eXistence/TeeTime-Cpp,False,0,0,0,2
bingoohuang/javacode-demo,False,3,3,1,2
yshahun/probabilistic-util,False,0,0,0,1
andrepnh/data-structure-fun,False,0,0,0,1
nvoron23/incubator-calcite,True,1,1,0,1
puneetarora2000/fastdtw-1,True,0,0,0,1
Randgalt/dropwizard,True,0,0,0,1
morj/xodus,True,1,1,0,1
akarnokd/RxJava,True,2,2,1,1
Scottmitch/netty,True,0,0,3,1
jchambers/jvptree,False,11,11,2,2
Konstantin8105/Triangulation,False,0,0,0,1
jasobrown/barker,False,0,0,0,2
JervenBolleman/java-benchmarks,False,2,2,0,1
bensteinert/chromarenderer-java-benchmarks,False,0,0,0,1
pcollections/pcollections,False,357,357,36,27
batterseapower/btreemap,False,0,0,0,1
MorganBauer/java-experiments,False,0,0,0,1
patrickpilch/Flyweight-Test,False,1,1,0,1
abstools/timsort-benchmark,False,0,0,0,8
pinterest/jbender,False,95,95,18,17
JCTools/JCTools,False,1053,1053,149,134
DiceHoldingsInc/orientdb,True,0,0,0,13
yrashk/es4j,True,0,0,0,1
penuel-leo/druid,True,0,0,0,1
shunfei/indexr,False,136,136,52,25
jsubercaze/simhashdb,False,9,9,4,2
vsch/flexmark-java,False,155,155,24,23
keycai/jmh-gradle-plugin,True,0,0,0,1
nicoulaj/microbenchmarks,False,2,2,0,1
kevoree-modeling/benchmark,False,0,0,0,6
SoatGroup/benchamrk-lambda,False,0,0,0,5
scalecube/scalecube,False,55,55,17,18
notsyncing/cowherd,False,0,0,1,1
ibodrov/bpm,False,5,5,1,5
enisher/polymorphic-calls-benchmark,False,0,0,0,1
rslemos/cobolg,False,0,0,0,1
jmiettinen/jradixheap,False,0,0,0,1
carlyeks/cassandra,True,0,0,0,2
epickrram/benchmark,False,0,0,0,1
dropbox/dropbox-sdk-java,False,206,206,190,36
MeteoGroup/jbrotli,False,53,53,7,12
nezihyigitbasi/presto,True,1,1,0,1
svendiedrichsen/eclipselink.runtime,False,0,0,0,1
Mart-Bogdan/vertx-hello,False,1,1,2,1
taichi/json-benchmarks,False,5,5,3,1
netzwerg/paleo,False,29,29,6,8
federicotg/hashing,False,0,0,0,1
mini2Dx/mini2Dx,False,137,137,10,24
psiroky/jmh-java-benchmarks,False,0,0,0,1
apptik/jus,False,53,53,6,4
smelc/SquidLib,True,0,0,1,1
carrotsearch/hppc,False,373,373,65,51
lizhanhui/data_druid,True,0,0,0,2
gjesse/RxJava,True,0,0,0,1
shalinmangar/solr-jmh-tests,False,0,0,0,1
virsox/cepsim,False,3,3,0,1
ktoso/sbt-jmh,False,347,347,47,19
jayjaykim/jmh-sample,False,0,0,2,1
Vedenin/java_in_examples,False,26,26,15,8
jjYBdx4IL/fannj,True,0,0,0,1
automenta/narchy,False,8,8,0,7
nitsanw/safepoint-experiments,False,5,5,0,1
SerCeMan/jmh-spring,False,0,0,0,0
m0wfo/false-sharing-demo,False,4,4,1,2
real-logic/simple-binary-encoding,False,1077,1077,195,154
rolve/better-checks,False,1,1,0,0
dsavinkov/dropwizard,True,0,0,0,1
amoAHCP/JavaOne2015JavaFXPitfalls,False,1,1,0,1
bramp/unsafe,False,36,36,16,6
apptik/rxHub,False,62,62,4,10
DataArt/CalculationEngine,False,3,3,0,21
phillipross/pgjdbc,True,0,0,0,1
OpenHFT/jvm-micro-benchmarks,False,9,9,7,7
eranharel/memcached-java-clients-benchmark,False,3,3,2,2
winklerm/phreak-examples,False,15,15,5,5
dongfeng2008/Chronicle-Algorithms,True,0,0,0,1
eventsourcing/es4j,False,352,352,18,21
tools4j/decimal4j,False,24,24,4,8
arienkock/parallelism-benchmarks,False,9,9,2,1
pietermartin/sqlg,False,78,78,23,10
javaslang/javaslang-circuitbreaker,False,224,224,38,21
jnordwick/zerog-grisu,False,1,1,0,2
davidhagar/java-microbenchmarks,False,1,1,0,1
JavaMicroService/rapidpm-microservice,False,4,4,3,10
storozhukBM/javaslang-circuitbreaker,True,0,0,0,1
myxyz/protostuff,True,0,0,0,1
ptkool/presto,True,0,0,0,0
marklogic/marklogic-jena,False,3,3,10,22
vlsi/compactmap,False,10,10,2,4
spriet2000/vertx-http-router,False,4,4,4,0
plokhotnyuk/scala-vs-java,False,5,5,2,1
robinst/autolink-java,False,56,56,13,5
escalate42/Javaz-Benchmarks,False,1,1,0,2
branches-cc/rtree,True,0,0,0,2
vsonnier/hppcrt,True,27,27,2,4
rnc/jmh-benchmarks,False,0,0,0,1
HubSpot/jinjava,False,180,180,41,42
nobeh/jmh-forked-main-threads,False,0,0,0,1
Jiri-Kremser/inventory-benchmark,False,0,0,1,0
pink-lucifer/preresearch,False,0,0,0,1
antag99/artemis-odb-contrib,True,0,0,0,1
lucwillems/JavaLinuxNet,False,8,8,3,2
rodolfodpk/myeslib2,False,1,1,2,1
louiscryan/grpc-java,True,0,0,2,1
azadmanesh/sl-tracer,False,0,0,0,0
stagraqubole/presto,True,0,0,0,1
iNikem/jpoint2016,False,3,3,0,1
