"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"s-gheldd/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/sauroter/netty.git","2017-01-17T11:53:47Z","8125","160","253","1.17.4","127","1.8","1.8","","","9cb858fcf6ad55ec0770f81595f23ae04687f52e","4.1"
"oracle/graal","false","10022","645","403","true","","oracle/graal","true","https://github.com/oracle/graal.git","2019-08-20T16:55:47Z","37439","138","131","","127","","","1422745200","1566467177","7b6657ba6a33226faef79e473df38c578c368f84","master"
"Bertk/sonarqube","false","","","","false","","","","","","","","","","","","","","","",""
"lizhanhui/data_druid","true","0","1","2","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/lizhanhui/data_druid.git","2018-07-06T15:32:30Z","8009","339","176","1.19","123","1.8","1.8","","","8c8759da034490775f32219dff489f507550037e","master"
"KevinTCoughlin/RxJava","true","0","0","0","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/KevinTCoughlin/RxJava.git","2015-09-11T18:48:33Z","4276","131","97","","114","","","","","647cedeb96b7082daa8aa5023b640937834f3964","1.x"
"dotCMS/log4j","true","0","0","28","true","apache/logging-log4j2","apache/logging-log4j2","","https://github.com/dotCMS/log4j.git","2015-08-27T15:34:33Z","6","0","3","01.01.2001","114","1.6","1.6","","","620050b8a1d3d1b87451762cc231de055b9f53f9","master"
"java02014/RxJava","true","0","0","0","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/java02014/RxJava.git","2017-07-26T01:04:48Z","4278","131","97","","114","","","","","84622bb26ae817efb55aa881d318aefb45852144","1.x"
"ronenhamias/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/ronenhamias/RxJava.git","2019-07-15T22:26:37Z","4291","131","97","","114","","","","","f2410f88dc28c1013f48754606e38507e493245f","1.x"
"eduardotrandafilov/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/eduardotrandafilov/RxJava.git","2015-09-12T23:09:27Z","4278","131","97","","114","","","","","84622bb26ae817efb55aa881d318aefb45852144","1.x"
"shakamunyi/beam","false","","","","false","","","","","","","","","","","","","","","",""
"androidyue/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/androidyue/RxJava.git","2015-08-24T11:00:57Z","4252","131","95","","112","","","","","189928c79de2356fffa056e4a86521c200b4347c","1.x"
"kuanghao/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/kuanghao/RxJava.git","2015-08-20T06:26:56Z","4252","106","96","","112","","","","","9ad1c750a7309527f8a73c0f7e86b382956a8739","1.x"
"Bragaman/atom","true","0","0","1","true","rybalkinsd/atom","rybalkinsd/atom","","https://github.com/Bragaman/atom.git","2017-02-21T11:56:16Z","241","0","6","1.17.1","110","1.8","1.8","","","344c79c8f918d0b7e41d972983d730ca88bddb36","master"
"Hunte9999/atom","true","0","0","0","true","rybalkinsd/atom","rybalkinsd/atom","","https://github.com/Hunte9999/atom.git","2017-02-21T16:45:47Z","218","0","7","1.17.1","110","1.8","1.8","","","657aeefcb8d14282a949a41eda400a3011c128cb","master"
