"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"neo4j-contrib/neo4j-graph-algorithms","false","525","139","54","true","","neo4j-contrib/neo4j-graph-algorithms","true","https://github.com/neo4j-contrib/neo4j-graph-algorithms.git","2019-08-14T08:13:01Z","1035","31","18","1.21","78","1.8","1.8","1490997600","1563414990","56034d8ce46965b17d0b7b5a3b5c115230016ba6","3.5"
"eljobe/experiments","false","","","","false","","","","","","","","","","","","","","","",""
"louiscryan/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/louiscryan/netty.git","2015-05-04T20:10:55Z","7035","112","168","01.11.2001","74","1.7","1.7","","","8b243dbe0c96db73b3478d09c865f1d68b12ba1b","master"
"marsorp/blog","false","0","0","4","true","","marsorp/blog","true","https://github.com/marsorp/blog.git","2017-02-01T14:49:55Z","28","2","3","","73","","","1486615534","1486615534","a82833ecc6126d0fd0b41a7b4dfb000488e5e1e6","develop"
"openzipkin/zipkin","false","11510","2097","722","true","","openzipkin/zipkin","true","https://github.com/openzipkin/zipkin.git","2019-08-20T13:07:54Z","2125","184","78","1.21","73","1.8","1.8","1454281200","1566461151","a00fe5fb85baec16dd084112885a435eb7305a23","master"
"chrisunder/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/chrisunder/presto.git","2016-03-15T04:54:23Z","9483","178","145","","72","","","","","d70d8ae5b204c0a5a0a9cd379e758472b7f63392","master"
"salyh/jsr353-benchmark","false","1","1","1","true","","salyh/jsr353-benchmark","true","https://github.com/salyh/jsr353-benchmark.git","2017-09-08T01:38:31Z","18","4","1","01.10.2002","72","1.7","1.7","1406844000","1437331894","4e871a34ad2f0d7ec2c51fa23ec33b188ced5ff6","master"
"dabaitu/presto","true","0","0","1","true","twitter-forks/presto","prestodb/presto","","https://github.com/dabaitu/presto.git","2016-07-15T18:44:58Z","9325","153","142","","71","","","","","dd6bec3ea0784fb8e6cdd13c1574e068c7717acd","master"
"JetBrains/xodus","false","633","67","78","true","","JetBrains/xodus","true","https://github.com/JetBrains/xodus.git","2019-08-20T06:55:10Z","2238","14","21","1.19","70","","1.7","1404165600","1565964070","d91480aca93eda7835dddd0541aea4add947e1ca","master"
"jpaw/bonaparte-java","false","3","2","2","true","","jpaw/bonaparte-java","true","https://github.com/jpaw/bonaparte-java.git","2019-08-18T09:46:28Z","963","127","3","","70","1.8","1.8","1409522400","1566121578","33a68d28759de0bcbf670d2d3f3e3e60d88659a6","master"
"cawallin/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/cawallin/presto.git","2016-03-18T00:24:50Z","8744","110","139","","69","","","","","8169c995f4ac5c42ef4bda5255a5d4f535fbb003","master"
"mugglmenzel/presto","true","1","0","1","true","Zutai/presto","prestodb/presto","","https://github.com/mugglmenzel/presto.git","2017-11-08T08:30:15Z","8990","110","143","","69","","","","","186f0bebaea2436a63fa4fdc946e1a0602d4ac9e","master"
"fiedukow/presto","true","0","0","1","true","Teradata/presto","prestodb/presto","","https://github.com/fiedukow/presto.git","2016-04-04T12:49:50Z","8927","149","141","","69","","","","","5c06dc4657cee189f5e231d600897ba49f1b599c","master"
"brharrington/spectator","true","1","0","0","true","Netflix/spectator","Netflix/spectator","","https://github.com/brharrington/spectator.git","2019-08-09T23:38:41Z","1039","9","30","1.19","68","1.8","1.8","","","f52d622a448665070a555522f478d857cf134a5e","master"
"Netflix/spectator","false","511","103","368","true","","Netflix/spectator","true","https://github.com/Netflix/spectator.git","2019-08-19T21:57:57Z","1052","112","30","1.19","68","1.8","1.8","1406844000","1566251874","6e58bcdc6f8654644e2ded9e11d7775a4b8b0eaf","master"
"wrmsr/presto","true","0","1","2","true","prestodb/presto","prestodb/presto","","https://github.com/wrmsr/presto.git","2016-08-29T22:41:05Z","8198","105","130","0.7.1","67","","","","","c5c402de7336c6d041dc069ebb51d1666c4eeb36","master"
"shuyangzhou/netty","false","","","","false","","","","","","","","","","","","","","","",""
"centic9/poi-benchmark","false","0","1","1","true","","centic9/poi-benchmark","true","https://github.com/centic9/poi-benchmark.git","2019-08-19T23:35:42Z","1263","0","3","1.21","10","","","1462443095","1566431626","a603b6fe9de2730148cd9f8476b36700e9615514","master"
"hazelcast/hazelcast","false","3269","1182","311","true","","hazelcast/hazelcast","true","https://github.com/hazelcast/hazelcast.git","2019-08-20T16:13:37Z","28970","179","166","1.16","66","9","9","1464732000","1566375296","489959df24504eff9978829a2c88a1515e87c8b3","master"
"EvilMcJerkface/atlasdb","true","0","0","1","true","palantir/atlasdb","palantir/atlasdb","","https://github.com/EvilMcJerkface/atlasdb.git","2019-05-17T21:24:49Z","7440","43","101","1.13","65","1.8","1.8","","","42c70e0400f5cc98bc23811da7ec3eb9c51e54dc","develop"
"lettuce-io/lettuce-core","false","2699","480","202","true","","lettuce-io/lettuce-core","true","https://github.com/lettuce-io/lettuce-core.git","2019-08-20T16:13:01Z","1674","76","33","1.21","65","1.8","1.8","1459461600","1565158444","294b378ff9133901e20242062784d4442264272a","master"
"palantir/atlasdb","false","691","126","97","true","","palantir/atlasdb","true","https://github.com/palantir/atlasdb.git","2019-08-20T15:08:36Z","7537","357","104","1.13","65","1.8","1.8","1475272800","1566394781","5ff3aebfd33c575d72fe0d70e7cd1aaff21490f5","develop"
"mshuler/cassandra","true","0","0","0","true","apache/cassandra","apache/cassandra","","https://github.com/mshuler/cassandra.git","2019-07-09T01:28:34Z","24650","238","272","","64","","","","","86812fa5024d957e28f195b2c4db3813439fb2c5","trunk"
"franz1981/JCTools","true","0","0","1","true","JCTools/JCTools","JCTools/JCTools","","https://github.com/franz1981/JCTools.git","2016-10-08T09:37:44Z","574","2","16","1.14","64","","","","","27cf933a265ff42065a6164fe46e2fec45359944","master"
"apache/cassandra","false","5365","2372","525","true","","apache/cassandra","true","https://github.com/apache/cassandra.git","2019-08-20T15:34:38Z","24703","238","273","","64","","","1414796400","1566474208","cf552941795c9883da359bda6017497ae33adafe","trunk"
"thelastpickle/cassandra","true","1","1","2","true","apache/cassandra","apache/cassandra","","https://github.com/thelastpickle/cassandra.git","2018-08-17T12:45:20Z","24164","216","266","","61","","","","","d8c451923185841ca28e8cb1177b71edafbfd988","trunk"
"TridentSDK/TridentSDK","false","47","21","18","true","","TridentSDK/TridentSDK","true","https://github.com/TridentSDK/TridentSDK.git","2019-05-09T23:24:33Z","909","0","15","1.12","1","1.8","1.8","1467324000","1503769245","c60da34d514127551fe05213e59522fbc416fb28","revamp"
"srvaroa/RxJava","false","","","","false","","","","","","","","","","","","","","","",""
"tubemogul/druid","true","0","0","16","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/tubemogul/druid.git","2018-07-06T15:32:36Z","7301","386","116","01.09.2002","58","1.7","","","","8b7d9750ee0d03244447858c7134b34c2dc18de6","master"
"MarkBruns/Hystrix","false","","","","false","","","","","","","","","","","","","","","",""
"SlimRoms/android_external_okhttp","false","0","2","3","true","","SlimRoms/android_external_okhttp","true","https://github.com/SlimRoms/android_external_okhttp.git","2014-10-29T13:34:38Z","707","0","17","01.04.2001","8","","","1422745200","1480983610","eddf6790fd189806f054fccf5a7a5800490ccda8","ng7.1"
"vladimir-bukhtoyarov/rolling-metrics","false","71","9","6","true","","vladimir-bukhtoyarov/rolling-metrics","true","https://github.com/vladimir-bukhtoyarov/rolling-metrics.git","2019-08-01T22:13:10Z","174","9","4","1.14","57","1.8","1.8","1475272800","1557831519","73657245008a98c79c2277ee3be2fa53148f5293","master"
"reactor/reactive-streams-commons","false","265","35","37","true","","reactor/reactive-streams-commons","true","https://github.com/reactor/reactive-streams-commons.git","2019-08-13T11:42:08Z","690","0","5","1.11","157","1.8","1.8","1451602800","1553157758","f6f194340b3ab43616f69015718d132abbc7dcc5","master"
