project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
jctools;;org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll;;3.423617085125234E-8;3.4446599999997593E-8;3.4569513902778956E-8;3.4816999999997055E-8;0.023190407836345506;0.023754450258132515;0.026788472865247943;0.07361116697022099;0.12720143042912874;0.2174840789904505;0.044346784678467845;1.0373281540907134E-54;2.8732505649216755E-156;5.6014600230287864E-8;1.006546;1.003982;1.007322;1.013287;1.005355;1.016088;1.016608;0.99968;1.057761
jctools;;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;3.770437043704535E-8;3.76956391278274E-8;3.769776977697929E-8;3.75309530953111E-8;0.022660181342973436;0.028688696379311904;0.02829722712374433;0.02892677346878861;0.011076552744292232;0.006643818697301273;0.1011094908870825;0.17495302879658747;0.41585278658320046;3.254451027130592E-35;1.009257;0.9984717;1.015924;1.009539;0.9992748;1.01567;0.9981943;0.9967184;0.9996367
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=10000;3.6847484748476516E-8;3.6836000000001826E-8;3.715000000000121E-8;3.704520452045324E-8;0.022648063768958948;0.02486020849218976;0.0041798771042380846;0.006284890942944042;0.014768046804680468;0.18573817381738175;0.11384461446144614;0.07051028914588685;1.534808004874359E-114;3.501493722025932E-44;1.000712;0.9979527;1.002588;1.009264;1.003511;1.017895;1.00711;1.002621;1.015251
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=1;3.873840000000063E-8;3.821242124212564E-8;3.81447434230283E-8;3.872350000000069E-8;0.040960835212552914;0.028435881276512108;0.025435907764413533;0.03135379544789522;0.2912834083408341;0.3063160348104431;0.007163216321632164;1.036801783001267E-278;5.838375405528763E-308;0.3803414263957853;0.9876466;0.978967;0.9928058;0.9760245;0.9735815;0.9842785;0.9946653;0.9933801;0.9965587
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpmcArrayQueue;1.2641179199999992E-4;1.2315276799999982E-4;1.2386735039999987E-4;1.2335445440000016E-4;0.07969388809933949;0.020705288609087158;0.011518910487238567;0.029273383259319455;0.11746593;0.08992393;0.11908619;6.315463946941201E-47;3.3039100403706984E-28;3.5169315691465346E-48;0.9799999;0.9447367;1.00512;0.9847347;0.9454675;1.013332;0.9839087;0.9355398;1.007482
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpscArrayQueue;6.887655200000019E-6;6.814363599999993E-6;6.910390800000017E-6;6.698215200000007E-6;0.15790157233985044;0.15892860884061577;0.15749593821539024;0.15891950135509267;0.04597327;0.005077;0.11037544;1.7977974761518733E-8;0.5340816549714843;1.2273077075178322E-41;0.9657976;0.9376522;0.9916712;0.999052;0.9705786;1.005947;0.9989857;0.9640571;1.012198
jctools;;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Spsc;5.061023227873304E-8;4.7814114114112706E-8;5.2906657309001694E-8;4.666566476304862E-8;0.27532075135609857;0.20088453939272907;0.33823992203791625;0.22195002195322452;0.030908722098149412;0.0044469043622348825;0.043687643943364184;1.5472999321899863E-4;0.5863720257999935;9.001657394251855E-8;0.9456172;0.9402042;0.9702049;1.078664;1.035966;1.095451;0.9376276;0.9301075;0.9502855
jctools;;org.jctools.jmh.baseline.BaselinePingPong.pingpong;;1.535559223689479E-7;1.5159129564782507E-7;1.5600590413289354E-7;1.4995589117823587E-7;0.03697829553219888;0.06590396837126809;0.051778377608267916;0.06281103976244364;0.055420867696753535;0.028634199601986297;0.07278448584743467;1.1532890407031227E-11;4.5505482091032446E-4;5.011404499368212E-19;0.9679468;0.9472693;0.9843139;1.011241;1.007211;1.014957;0.9807631;0.9617257;0.9981418
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs;limit=1;1.4806637965558568E-7;1.5957963760136047E-7;1.4574859775640758E-7;1.6325562781390593E-7;0.2760558292412796;0.33813459922236483;0.39303711042090617;0.45907119939123425;0.0651874651223274;0.032575298290641076;0.05651929157452312;1.475120555755109E-15;6.698472886903126E-5;4.530011907533563E-12;1.070049;0.9569141;1.10768;0.9487899;0.791277;1.041405;1.007032;0.8949846;1.094447
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=1;2.560983446932821E-6;2.4751248924268643E-6;2.469051074398014E-6;2.5855954298150152E-6;0.10537793398305863;0.07394214807906475;0.10871082377032366;0.14744911953905793;0.012762332773389659;0.01944118244815739;0.0019928196744274985;0.13236518649719498;0.0220094911085789;0.8148950448940799;0.9566409;0.9399689;0.9660917;0.9808274;0.9744691;0.9847949;1.003382;0.9822807;1.02127
