project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpscArrayQueue&warmup=true;0.99;0.9781978650797478;0.987075761921203;0.9944051394629672;0.9940783307627421;4;7;7;7;9;6
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs;limit=1;0.99;0.9338351320096212;0.9680918587215535;0.995201620568174;0.9962952866211755;4;12;10;8;12;8
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=10000;0.99;0.0;0.9792078523584365;0.548653085753024;0.7233302753156133;2147483647;13;9;14;8;12
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=128000;0.99;0.0;0.0;1.0;0.0;4;8;7;16;9;15
jctools;;org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll;;0.99;0.9338414381896327;0.957212924110478;0.0;1.0;5;21;13;24;26;18
jctools;;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;0.99;0.0;0.9571367439261775;0.9986382114646607;0.9711099177575124;4;10;7;8;7;12
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=10000;0.99;0.0;1.0;0.0;0.0;3;16;14;12;16;2147483647
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=1;0.99;0.5178466255758505;0.8027764557085857;0.9796599961830976;0.9896165538745626;2147483647;17;12;13;11;20
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpmcArrayQueue;0.99;0.9930020404671475;0.9898919241655108;0.985558234914147;0.9893415495957947;2;12;7;7;15;7
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpscArrayQueue;0.99;0.8804235153898398;0.9777224292036776;0.9906698550736376;0.9555253988689013;4;7;6;12;7;6
jctools;;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Spsc;0.99;0.6829602966940654;0.924744243636672;0.992568170839369;0.8772907715537103;4;9;13;11;21;11
jctools;;org.jctools.jmh.baseline.BaselinePingPong.pingpong;;0.99;0.9934367708684968;0.9915869404177126;0.9954467810577262;0.9989262214954727;2;6;7;7;7;6
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs;limit=1;0.99;0.984696710494144;0.9443950580098109;0.9922762400143306;0.9910089530995496;4;14;12;13;10;8
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=1;0.99;0.9730490188374549;0.986544644922748;0.9955525972096081;0.9952475838017552;4;6;6;6;6;6
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpscArrayQueue;0.99;0.5288552585195623;0.9272067183603591;0.929981297969124;0.7526111362489343;2147483647;14;15;15;19;17
