project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.invoke.AckermannL.inner;;8.048800000000077E-9;8.082400000000117E-9;8.041500000000067E-9;8.0947000000001E-9;0.007917999702969542;0.01664085954954245;0.012050398860246558;0.0245057157289573;0.03047034;6.8785E-4;0.02544859;1.9015720908146673E-4;0.9328640495649864;0.0018287201517997909;1.001158;1.009889;0.9978322;1.00184;0.997014;1.015182
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.StringBuilders.toStringCharWithChar4;;4.39675837918994E-8;4.492776388194569E-8;4.45032051282099E-8;4.412884172590159E-8;0.03372581485213149;0.04303969673175746;0.021615472127417556;0.05325979516177268;0.10322576996352104;0.0963874866118957;0.010527598367208431;1.2860471502723361E-36;3.972757191293073E-32;0.19746273720758312;1.015386;1.024749;1.004052;1.015549;0.994918;1.013501
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.value.FindAny.seq_invoke;size=100000;5.8983476867615536E-8;5.96302015441702E-8;5.924047714514905E-8;5.918242769939044E-8;0.019399594485545967;0.03308313130468116;0.040642861505825904;0.019187997599979634;0.09573339504746131;0.024720916420117273;0.015027503029408789;1.0988628941560041E-31;0.0024885702356125545;0.06584563529873566;1.00764;1.022236;0.9996874;1.020459;1.005199;1.00558
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.AllMatchShort.seq_end;offset=100&size=100000;0.0015698669568000422;0.0013145814015999816;0.001581068083199996;0.0013541185535999641;0.013398691770248085;0.08291111792767172;0.019545337556731667;0.11094310914232036;0.86700038;0.50738282;0.68062436;0.0;0.0;0.0;0.8009023;0.8591217;1.006077;1.012219;0.8302115;0.9166184
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.ArrayCopyUnalignedSrc.testInt;length=1;3.7396279255852435E-8;3.7468193638729136E-8;3.745340000000142E-8;3.74072814562927E-8;0.03043130719141277;0.03255391735049834;0.0388834676361897;0.02993464230546387;0.020211303713033063;0.003645869173834767;0.007078751217336886;0.01332139359695542;0.6552415543821128;0.3860197918148882;1.000877;1.008422;1.00048;1.009638;0.999629;1.006723
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleAsCollector.testCollector;;3.8314720304214476E-8;3.821911911912049E-8;3.7983580296356886E-8;3.828725853268103E-8;0.0277730170319918;0.02950447729344588;0.021981675837874116;0.030266254665567757;0.05037300885394551;0.14505035382997974;0.0033338119988966753;6.976006789199311E-10;1.5465983575964333E-70;0.6831757798409196;0.9984487;0.9994848;0.9856325;0.9914734;0.9987808;1.000645
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.ReduceBase.par_chain_123;size=100000;6.379488224224262E-4;6.7523017802727E-4;6.420422581355748E-4;6.620389697576641E-4;0.12109229592868825;0.13544346161937776;0.09085985979366891;0.1046156124545893;0.18776372603557848;0.03345718803814328;0.1696046436983749;8.077246264952205E-117;4.2181761724606976E-5;1.0112288765337956E-95;1.052037;1.07147;0.9762336;1.001401;1.033724;1.050223
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleBindToCurry.baselineRaw;;3.524914982996833E-8;3.493648094428322E-8;3.534200260078278E-8;3.5295659131829046E-8;0.048102023652030056;0.0639388114019248;0.04197720623751246;0.046092626732550566;0.22033582469219662;0.017079818884653195;0.020038504600299937;2.4387111614804438E-160;0.03648073600452199;0.014131675233931357;0.9678823;1.008059;1.004241;1.011827;1.000332;1.007341
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.capture.Capture0.inner_this_8;;4.445902951476006E-8;4.449124562281414E-8;4.4686761466056693E-8;4.482904356535241E-8;0.04812690220689714;0.057845789811290814;0.018037264078641084;0.020502476102421143;0.046623752096158134;0.18333741274803234;0.17293401833615857;1.1387605466277014E-8;1.5004966846719168E-111;1.8489869641045874E-99;0.9999684;1.013383;1.000228;1.02885;1.004322;1.032149
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.value.AnyMatchShort.seq_mid;offset=100&size=100000;3.77056870399942E-4;2.456779903999695E-4;3.7744066559994223E-4;3.7795773439994326E-4;0.0030395934832133393;0.5672584099470468;0.003879285906179743;0.006511488364008398;0.4760278;0.01031224;0.00193541;0.0;0.20660544865872843;0.81263163820406;0.4209456;0.9121033;1.00097;1.001832;1.000442;1.003898
