project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
squidlib;;squidpony.performance.WorldBenchmark.measureWhirling;;0.01;0.0011777712109684512;0.00472157503707912;2.9025896290123775E-4;6.871368199560437E-4;2;14;13;15;14;13
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.09429034077669943;0.0091539741933917;0.016047295044503584;0.005944396784170192;3;16;8;9;7;11
squidlib;;squidpony.performance.CoordPackerBenchmark.doPack;;0.01;0.0029938552308296507;0.007203270468970187;0.09495654067878667;0.010384860888416725;2;17;9;8;8;8
squidlib;;squidpony.performance.HashBenchmark.doJolt32;;0.01;9.661152392632377E-4;0.00253531100799273;8.598421264544021E-4;9.438002345338037E-4;2;21;22;27;22;26
squidlib;;squidpony.performance.DijkstraBenchmark.doTinyPathDijkstra;;0.01;0.001558351854105293;0.006054778389008378;0.0011302466175308421;4.042054023110468E-4;2;16;15;16;16;16
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.013311637336464524;0.03070834622354124;0.004212165043617086;0.008928928117373655;4;15;16;6;10;17
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAlt32;;0.01;0.005892828068121851;0.004204983023937764;0.0012113656424448394;0.002109363984123147;2;29;15;11;20;17
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.04759595248825049;0.0036818070250224655;0.0013287154153254072;0.0066640423468303095;3;16;20;20;11;15
squidlib;;squidpony.performance.HashBenchmark.doLongSirocco32;;0.01;0.020737046598675146;0.005381916119144403;8.637886727018707E-4;0.003066646353740876;3;27;20;20;19;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOS2;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.01388341844636276;0.017326765516660472;0.006652325568318018;0.002186184819469944;4;26;26;34;24;26
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.03615327270791041;0.03757899521272212;0.0050052115329231595;0.007888750363394426;4;14;14;17;24;23
squidlib;;squidpony.performance.RNGBenchmark.measureLap;;0.01;0.01461507572630865;0.0030875396941177358;0.004066125702311088;0.0022286536173215174;3;16;22;28;24;21
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.10538296836107806;0.0245926891229587;0.003007312686239383;0.004857744113612228;4;15;9;12;7;9
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.0017325686533931073;0.006607841485957527;0.020444671087774674;0.008500921199095957;2;18;12;13;20;20
squidlib;;squidpony.performance.NoiseBenchmark.measureFastNoise4D;;0.01;0.02258592657832284;0.00535879469635879;0.0038544667212745687;0.0031531654369131717;3;11;7;23;10;15
squidlib;;squidpony.performance.HashBenchmark.doLongJDK32;;0.01;0.016082587641277957;0.0023588909114014567;0.010240190214757305;0.0049819938237821715;3;22;25;21;18;27
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOM2;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.0019777413737089022;0.014983034506342585;0.009222713279638584;0.003109070853690249;2;27;28;25;28;28
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOS2;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.012836809010717334;0.0034510401451105233;0.0025659734999771283;0.002398018973468266;3;26;22;25;23;27
squidlib;;squidpony.performance.NoiseBenchmark.measureOpenSimplex3D;;0.01;0.08352645896727862;0.02157610863565909;0.009057531533987195;0.004591307811036005;4;15;8;22;15;19
squidlib;;squidpony.performance.HashBenchmark.doLightning32;;0.01;0.00862217531225315;0.007066996524331348;0.00486932161094078;8.737449728606905E-4;2;24;19;26;33;34
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.015237268450616515;0.030837359726992697;0.0037986769482280525;0.007951795666736317;4;9;16;19;24;18
squidlib;;squidpony.performance.CoordPackerBenchmark.doSurface;;0.01;0.07060364875775704;0.029888021328685094;0.018003094099206543;0.026791248871673293;2147483647;27;14;14;19;17
squidlib;;squidpony.performance.NoiseBenchmark.measureSeeded4D;;0.01;0.008884528954488144;0.024213020118561024;0.0025423012473390627;0.003571191623414141;2;25;16;22;23;11
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.038651547222510185;0.008660728210004937;0.01728773395944025;0.00886650917885462;3;9;13;9;17;7
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.02136414726586991;0.010079149249937192;0.0014106826968771913;0.002196846185631346;4;14;13;16;18;22
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.03676567581997947;0.02481056445265395;0.023844946836668934;0.023131556020656058;2147483647;22;14;22;25;23
squidlib;;squidpony.performance.MathBenchmark.measureSinApprox;;0.01;0.007187345351188305;0.003890472437239001;0.0011986604596538539;0.001169902305672564;2;28;29;27;21;24
