project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
squidlib;;squidpony.performance.FOVCacheBenchmark.measureCachedFOV;;0.11561578071999902;0.11902692799000063;0.11487818454999951;0.12730341505000026;0.06279585412115195;0.24748028389214213;0.07769244538837576;0.2193234930929822;0.03011267;0.04784671;0.18738448;2.2607550388049953E-4;4.632721376952428E-9;1.4992968516102194E-116;1.039278;0.9684375;1.173785;0.9795769;0.9645306;1.015968;1.070046;1.044776;1.143133
squidlib;;squidpony.performance.WorldBenchmark.measureClassic;;0.1280721066699924;0.12800310769999362;0.128022508139992;0.1280179463399922;0.0013774147705089034;0.0013937184235671455;0.002912782891052307;0.0016349365554003338;0.19523039;0.16907709;0.03457361;2.4022108053263616E-126;2.9884307476267796E-95;2.2928583809751445E-5;0.9996997;0.9992744;1.000269;1.000111;0.9992605;1.001076;0.9995916;0.9995453;0.9999165
squidlib;;squidpony.performance.MathBenchmark.measureCosGdxDeg;;3.9064312862572804E-8;3.889616885065565E-8;3.876325265053037E-8;3.8804560912182607E-8;0.008576967523288688;0.02584203196730324;0.0067272596413175765;0.020373409861506552;0.06494131676190194;0.10952328493304182;0.12047495516306703;1.828419189132968E-15;5.134181568061239E-41;2.9313816093776207E-49;0.9970938;0.9907492;1.009239;0.9902957;0.9891143;0.9913619;0.9892258;0.9785103;0.9977457
squidlib;;squidpony.performance.CoordPackerBenchmark.doRandomA;;8.826740696278727E-8;8.685880000000257E-8;8.825307592277889E-8;8.794125300240406E-8;0.0413028650196129;0.04387004466850621;0.03749874819139146;0.06683623833714064;0.059481762705082035;0.01611311724849988;0.04580711979065148;3.2385462644936217E-13;0.04848974725989845;2.0389886076070566E-8;0.9954721;0.9849214;1.010907;1.01107;1.008802;1.01324;1.011089;0.988034;1.034498
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM;NEED_TO_ENLARGE=0&SIZE=65536;0.0013720989695999795;0.0014040033279999864;0.00139546869759998;0.0014135074811999905;0.019839398464722678;0.02763960822521921;0.027759705830090048;0.02620420948088175;0.46444026;0.35296409;0.48867793;0.0;0.0;0.0;1.027138;1.02368;1.028612;1.025043;1.023611;1.029735;1.032701;1.029905;1.035522
squidlib;;squidpony.performance.RNGBenchmark.measureOriole32R;;3.928219999999996E-8;3.934526905381047E-8;3.98902890289014E-8;3.98679867986784E-8;0.034675710003478924;0.02981517656891173;0.0032721636944262945;0.002097671266343228;0.02752253450690138;0.32716351635163515;0.3191957823507896;7.501680266580122E-4;0.0;0.0;0.9935865;0.9852214;0.9999893;1.012377;0.9985247;1.032035;1.013344;1.002015;1.032606
squidlib;;squidpony.performance.HashBenchmark.doCharMist32;;1.7783164949484874E-7;1.7619125737721395E-7;1.7861190595297743E-7;1.7724967490247066E-7;0.023515056870760966;0.043457732843331986;0.040346181199146576;0.05456555263830553;0.02508378801526824;0.015565840337393864;0.0015735940147854099;0.0021292452681718993;0.056651592260941755;0.847200666622671;0.9935528;0.97427;1.006204;1.003888;0.9932126;1.012814;0.987427;0.9744761;1.013868
squidlib;;squidpony.performance.MathBenchmark.measureBaseline;;3.387567513502311E-8;3.349569913982436E-8;3.351965589676559E-8;3.403880776154855E-8;0.022722526975137092;0.004846173618580722;0.009849056907750633;0.041614483141576834;0.21615238230682743;0.19600720184048814;0.040184134436648304;2.1567327817007363E-154;2.632428636180734E-127;8.608593782495877E-7;0.9939088;0.9853462;0.9995635;0.9937836;0.987868;0.9983622;1.010273;0.9998456;1.03867
squidlib;;squidpony.performance.RNGBenchmark.measureLongPeriodIntR;;3.750290000000185E-8;3.733290000000214E-8;3.792420000000178E-8;3.808391678335844E-8;0.03418495065429853;0.046188045513204525;0.032244558432501645;0.025836075730864706;0.07954417;0.24817307;0.33641584802609087;1.998073024583602E-22;6.57125035280227E-203;0.0;1.003917;0.981056;1.014183;1.008738;1.007458;1.009516;1.011993;1.008159;1.013592
squidlib;;squidpony.performance.RNGBenchmark.measureLapInt;;3.401250125012123E-8;3.431406281255905E-8;3.4284528452841906E-8;3.427499999999661E-8;0.02183432173580973;0.013459090211075364;0.012358522565371954;0.012355370261465359;0.2077047472700861;0.2021138607510116;0.20943373;1.008872858218969E-142;2.955084086354758E-135;4.266510192300622E-145;1.012425;1.003429;1.01819;1.006455;1.002779;1.014277;1.011099;1.003223;1.01468
