project;benchmark;params;changeRateCov;meanCov;changeRateCi;meanCi;changeRateDivergence;meanDivergence
byte-buddy;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;0.025720768946853045;0.0011570665204602383 ;0.005700774089665739;0.001134482922184441;0.030128746115255955;0.001162038948589727
byte-buddy;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;0.21344820835999379;6.137321316131625E-4 ;0.024774798989152802;7.609505792000021E-4;0.022468104665091415;7.627504510451026E-4
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;0.09529563765201865;0.0025565600962481325 ;0.010326573070144951;0.0023582314327731087;0.11022214786289974;0.002591400480040022
byte-buddy;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;0.12072188029125508;3.977844551281847E-8 ;0.029825527608729807;3.655220742816886E-8;0.026933648758270978;3.6449564259238535E-8
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;0.07473546512040818;0.005755196779589811 ;0.02222109770820946;0.005235995435388482;0.0039496164058452354;0.005376139326119676
byte-buddy;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;0.007938700686217715;6.978239069394719E-9 ;0.020998822450071453;7.068657913200924E-9;0.049909415980673;7.2688139674900225E-9
byte-buddy;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;0.00839349800201794;9.880564376437669E-5 ;0.002922311764221752;9.935080364109294E-5;0.0075612756724945385;1.0039540914091347E-4
byte-buddy;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;0.09577385408989514;1.5920902071450007E-4 ;0.0035994922966124943;1.4477070107010676E-4;0.009529225139098152;1.4667822079999932E-4
byte-buddy;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;0.1283049766684139;9.84080088061646E-4 ;0.018530315802820274;8.883373056000054E-4;0.07132754408978892;9.343857607042852E-4
byte-buddy;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;0.012314746794923837;4.2037137137139023E-8 ;0.16562362178079926;3.551211696375022E-8;0.16882527973880623;3.537585034013687E-8
