project;benchmark;params;changeRateCov;forksCov;changeRateCi;forksCi;changeRateDivergence;forksDivergence
byte-buddy;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator;;0.05985987776986934;4;0.012741913247131809;5;0.11823415500868095;5
jctools;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;5.982872330587696E-4;2;0.009444101333071608;2;0.015967796766554798;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;0.003051174718559313;2;0.0025879216437745267;2;4.165668641904485E-4;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=1;0.04879964380987645;3;0.006339774551832544;5;0.011620277066494378;2
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=SpmcArrayQueue;0.001038925127542889;2;0.00663518413016051;5;0.0021048822132114786;5
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=SpmcArrayQueue;4.557470071636649E-4;5;0.0032145468621609385;2;0.0015810474714987865;5
jctools;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpmcArrayQueue;0.004261125708706959;4;0.030528434483018896;5;4.8705807619209285E-4;3
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpscArrayQueue;0.020157429943231886;3;0.006188060446706167;5;0.01801797862616783;3
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=MpmcArrayQueue;0.022637643459280987;2;0.015086710073480614;5;0.009642143954334936;3
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=10000;0.007790372151877056;2;0.00899289443551532;2;0.009849870941950889;2
jctools;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true;0.06844085582593396;5;0.00696938832658911;2;0.047632880034490066;4
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=MpscArrayQueue;0.4105754860013068;2;0.2819937883564845;5;0.32318009608429143;5
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=SpmcArrayQueue;0.007069765097775349;5;0.01862917604787473;5;0.01847436094960042;4
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=128000;0.005373524824011655;3;0.005197478169773895;2;1.6058955831010913E-4;4
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=1;0.014473371555276726;2;0.07165612330988136;5;0.06366037573726269;4
jctools;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpscArrayQueue;0.0725274927487427;2;0.018981544589241617;5;0.03991718904579844;4
jctools;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;8.897410726154131E-4;2;0.0011205726219984946;5;2.795159116486534E-4;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=128000;0.05556532852267215;3;0.010493641113119123;5;0.02951535148450557;3
jctools;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=MpscArrayQueue;0.1649637949238687;2;0.16455643585763313;2;0.16453980895697262;2
jctools;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=SpscArrayQueue;0.3078980112372032;5;0.21781758847401245;5;0.31798184705794297;5
jctools;org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove;implementation=NonBlockingHashMap&readRatio=50&tableSize=100000;0.019856237137871657;2;0.0089092966210228;5;0.01339638314489544;2
jctools;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Mpsc;7.368108459619993E-4;2;0.008902980303475028;5;0.012401369805135287;3
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpmcArrayQueue;0.013300603131754851;2;0.013261411052123195;5;0.029735963391673503;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=1;0.02178541535884193;2;0.0010703042474166091;5;6.649252495909419E-4;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=10000;0.002611368706759598;3;8.71500611719922E-5;5;1.7195965743554975E-4;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;0.04071903025293788;4;0.016365793668635886;5;0.05045989807301354;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=10000;0.005395174075574882;3;0.017188172411445546;5;0.012007621007663172;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline;limit=10000;0.014272645537726336;2;0.01267368983928463;2;0.013280131103016957;2
jctools;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;0.010847633487387709;2;0.0031221635642924017;5;0.013420667955821086;3
jctools;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpscArrayQueue&warmup=true;0.01131786492402087;2;0.015385411179599462;5;0.00942519352925597;4
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs;limit=1;0.012372286979682734;3;0.016275211024338265;5;0.015432105577100286;4
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=10000;0.011835038116121188;2;0.013185047605686284;2;0.0019245768314584133;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=128000;0.030898415586951278;2;0.029346102140932584;2;0.0240289510769236;4
jctools;org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll;;0.006146398487713922;3;0.009736575184617235;2;0.016965365410409827;5
jctools;org.jctools.jmh.collections.SetOps.contains;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;2.3157286852271142E-4;2;1.7506352684171222E-4;2;0.004599396296081859;4
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=10000;3.116833768460614E-4;4;0.008209929486088008;2;0.00536589602591242;3
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=1;0.013577709917678038;2;0.015324757268558309;2;3.846312702625587E-4;5
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpmcArrayQueue;0.02578101258148524;2;0.020128198166829647;2;0.024185541171663494;2
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpscArrayQueue;0.010641008858867651;3;0.003300920173820332;5;0.027504280411715598;4
jctools;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Spsc;0.05524808005663495;4;0.045374718251068646;5;0.07794011878783591;4
jctools;org.jctools.jmh.baseline.BaselinePingPong.pingpong;;0.012794210023384323;3;0.015954980609989677;5;0.023444430766155988;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs;limit=1;0.07775740834992773;5;0.015653667662905324;5;0.10258404503204344;4
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=1;0.033525618687143655;2;0.03589729275482445;5;0.009610363905971697;4
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpscArrayQueue;0.0047742773903525215;5;0.008248579172444703;2;0.002026935190494017;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline;limit=1;1.1863787913402035E-4;3;0.0015362072225325596;5;0.0010767725467900613;5
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=MpscArrayQueue;0.04460779255881864;2;0.03686338968592584;5;0.022092966629845057;3
jctools;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpscArrayQueue;0.018487839968013398;5;0.0746702412697191;5;0.2929799624566569;4
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=1;0.02509722734132369;3;0.0027226516723177774;5;0.011438494620419792;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=128000;0.004834952950789284;2;5.209358699029831E-4;2;0.010009442183839923;5
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=SpmcArrayQueue;6.784967917805584E-5;5;0.014924664649465624;5;0.014351724708493996;3
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpscArrayQueue;0.012284303940549357;3;0.0067510010702163115;5;0.016471062156539373;3
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=SpmcArrayQueue;0.07174847214800661;3;0.0267177739789497;5;0.07592558223616186;3
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=MpscArrayQueue;0.03505019732061421;5;0.22121148529257928;5;0.16148122028486434;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;0.0325699577591958;5;0.00786517716840407;5;0.02617998490754725;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=10000;0.06927294081591207;3;0.005935771593095662;5;0.0321223877274901;2
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=SpmcArrayQueue;0.0013653212319622021;4;0.008063901476417668;5;0.021955632155009286;5
jctools;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=ConcurrentHashSet&readRatio=75&tableSize=100000;0.14745316884452397;2;0.0333566585687487;5;0.007128343452474484;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=1;0.023215157823310406;2;0.023301823922374343;2;0.022757117784963254;2
jctools;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpmcArrayQueue;0.20942331255767133;5;0.6763446684158096;5;0.16568271376084565;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=1;3.8999915114945605E-4;3;0.014380002485358867;5;0.007681826720808194;2
jctools;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpmcArrayQueue;0.04959518073669966;5;0.07237406798212898;5;0.026884949960978344;4
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpmcArrayQueue;0.004521098350626307;2;0.006897291436305242;2;0.0015758514193529027;4
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=128000;0.009957627709618944;2;0.00975408150330459;2;1.2128733925209634E-4;5
jctools;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=NonBlockingHashSet&readRatio=75&tableSize=100000;0.009952204239529028;2;0.003052612142846023;5;0.005856636986183661;2
jctools;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=SpmcArrayQueue;0.005586954914180153;2;0.0074277017931776435;2;0.008102941479504522;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;0.015654127144331786;3;1.2708506514491624E-4;5;4.1946649274948733E-4;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=128000;0.08551719713834949;5;0.03961000116236657;5;0.015605350416790342;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=128000;0.06706588132912716;4;0.04091123956916409;5;0.01418850060129584;2
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=MpscArrayQueue;0.020496178128793563;2;0.009859046165036411;5;0.0180023378335763;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=1;2.431834332663474E-4;5;0.003990466624608668;2;8.511420164217798E-4;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=1;0.008767215833179964;2;0.009754999053141145;2;5.066867294123423E-4;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg;limit=1;0.01936333282785352;3;0.016755985711117583;5;0.00409669025299908;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=128000;0.024700723312026662;5;0.015477457779730974;5;0.06479954796398046;3
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline;limit=128000;0.06514213543834635;3;0.0051653142181073974;5;0.004358672171680622;5
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=SpscArrayQueue;0.08797675774724922;3;0.10548995357810442;5;0.08443482536725466;3
jctools;org.jctools.jmh.collections.SetOps.sum;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;0.002790821783404507;3;0.00853526535808491;2;6.566793901081613E-4;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg;limit=1;0.019362564335341892;5;0.027098887814634987;5;0.05057165363824889;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=1;0.028372760671507513;2;0.023365134216394412;5;0.012572681836253263;2
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=MpmcArrayQueue;0.13392812271142385;5;0.06229474914687083;5;0.16318479901659577;3
jctools;org.jctools.jmh.throughput.IntrusiveQueueThroughputBackoffNone.tpt;;0.08698732548064836;2;0.020198154802589574;5;0.05236447092766383;3
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline;limit=1;0.009755845096834692;2;9.595071808450317E-4;5;8.135596899652153E-4;5
jctools;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=MpmcArrayQueue;0.05992800125211484;2;0.058600719987442984;2;0.058331507278099104;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline;limit=10000;0.009957906288525775;3;8.452404438978878E-4;5;0.0015603353884066085;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=1;0.07151591822381276;3;0.03390707379353075;5;0.044566500839852585;3
