project;commit;benchmark;params;percentage;cov;ci;divergence
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapPublisher;times=1000;0.992751145;0.121186485;0.012504606;0.998831299
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapPublisher;times=1000000;0.997970917;0.022911704;0.002110719;0.999773058
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1;1.01428425;0.099398687;0.00877786;0.999864404
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000;1.029559191;0.095151477;0.006387594;0.999491872
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000000;0.747581025;0.068750688;0.035115622;0.999537636
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1;0.993981496;0.140252691;0.011184149;0.999034646
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1000;0.994327417;0.088497735;0.00825245;0.999709674
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1000000;1.038930457;0.023518369;0.002198269;0.99794462
;;io.reactivex.BlockingGetPerf.completable;;0.734914635;0.10620276;0.011274799;0.999460205
;;io.reactivex.BlockingGetPerf.flowableBlockingFirst;;1.010795934;0.164195709;0.014291828;0.999961239
;;io.reactivex.BlockingGetPerf.flowableBlockingLast;;1.00672491;0.118075707;0.010741091;0.533089431
;;io.reactivex.BlockingGetPerf.maybe;;0.98811786;0.152156438;0.013018373;0.99965208
;;io.reactivex.BlockingGetPerf.observableBlockingFirst;;0.980118153;0.140575901;0.011995433;0.998808572
;;io.reactivex.BlockingGetPerf.observableBlockingLast;;0.975476529;0.125616623;0.010657599;0.99939228
;;io.reactivex.BlockingGetPerf.single;;1.00165282;0.16165477;0.013982626;0.999461745
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1;0.994669621;0.129375447;0.010219647;0.536446646
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1000;1.048022412;0.156974573;0.01421455;0.998979354
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1000000;0.889753879;0.142248435;0.012528231;0.999337066
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1;0.995661833;0.138406615;0.01170243;0.997933856
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1000;0.994037602;0.111381083;0.009759114;0.999434791
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1000000;0.883594039;0.025486305;0.00436385;0.998900389
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1;0.963850675;0.120884319;0.010667404;0.999419008
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000;1.004984611;0.179252201;0.015897889;0.999185624
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000000;0.996555804;0.189703836;0.015238355;0.999890549
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1;1.028570297;0.13203706;0.011616913;0.998709079
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1000;0.986792814;0.124711455;0.010205735;0.998621852
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1000000;0.945118408;0.139925622;0.052724399;0.546915202
;;io.reactivex.CallableAsyncPerf.observeOnCompletable;;0.809317448;0.404127741;0.217526476;0.977091548
;;io.reactivex.CallableAsyncPerf.observeOnFlowable;;1.018208315;0.508750471;0.059766813;0.998706814
;;io.reactivex.CallableAsyncPerf.observeOnMaybe;;1.089935095;0.281829635;0.08448968;0.983234121
;;io.reactivex.CallableAsyncPerf.observeOnObservable;;1.028457174;0.524382252;0.111366977;0.99894404
;;io.reactivex.CallableAsyncPerf.observeOnSingle;;1.059754115;0.356160536;0.127796278;0.994230964
