project;commit;benchmark;params;i96Cov;i97Cov;i98Cov;i99Cov;i100Cov;maxDeltaCov;i96Ci;i97Ci;i98Ci;i99Ci;i100Ci;maxDeltaCi;maxCi;i96Divergence;i97Divergence;i98Divergence;i99Divergence;i100Divergence;averageDivergence
rxjava;;io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain;count=1000;0.081945687;0.081741658;0.081459025;0.081227366;0.081069762;8.76E-04;0.015841503;0.017132759;0.014910511;0.017892625;0.016178149;0.001714476;0.017892625;0.423228317;0.412324689;0.29431316;0.80047917;0.813232086;0.548715484
rxjava;;io.reactivex.XMapYPerf.obsFlatMapObservable0;times=1;0.119176981;0.118596019;0.11830407;0.117764653;0.117202763;0.001974219;0.00864221;0.008563444;0.008993455;0.010855049;0.008311797;0.002543251;0.010855049;0.994898816;0.987932518;0.983592232;0;0;0.593284713
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf.observablePlain;count=1;0.212267963;0.21243533;0.211800202;0.211372734;0.210522159;0.001913171;0.017659743;0.015445542;0.018869767;0.019099999;0.021068741;0.005623199;0.021068741;0;0;0.998503635;0.995691019;0.996398299;0.598118591
log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j1;;0.360937765;0.360314681;0.35975313;0.359146016;0.35873805;0.002199714;0.043871732;0.029635621;0.040005987;0.043842814;0.04939081;0.019755189;0.04939081;0.960391818;0.598571018;0.70290006;0.984544112;0.720351102;0.793351622
rxjava;;io.reactivex.XMapYPerf.flowFlatMapMaybeAsFlow1;times=1;0.346887862;0.346972797;0.347317069;0.345847079;0.34527631;0.002040758;0.022878426;0.022878725;0.028428863;0.030205259;0.011972431;0.018232828;0.030205259;0;0;0.998513415;0.99956577;0.998044236;0.599224684
rxjava;;io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain;count=1000000;0.098584781;0.098083273;0.097601808;0.097409549;0.09694037;0.001644411;0.002399751;0.005549029;0.003967036;0.002284138;0.005690877;0.003406739;0.005690877;1;0;0.998744442;0.999705751;0;0.599690039
rxjava;;io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowableDedicated;count=1000;0.061286525;0.061116115;0.061769949;0.061552101;0.061362063;4.08E-04;0.003865784;0.003848868;0.004495153;0.00320355;0.003957466;7.54E-04;0.004495153;0;1;1;1;0;0.6
rxjava;;io.reactivex.XMapYPerf.obsFlatMapSingleAsObs1;times=1;0.259785914;0.259954021;0.258749031;0.257636378;0.25658292;0.003371101;0.028502025;0.011476523;0.009323291;0.01834341;0.022260511;0.01293722;0.028502025;1;1;0;0;1;0.6
rxjava;;io.reactivex.ReducePerf.obsSingle;times=1000000;0.30061593;0.30008388;0.299476914;0.298985177;0.2985206;0.00209533;0.088551743;0.092568005;0.084843454;0.104140742;0.093007526;0.011133216;0.104140742;0.919480897;0.401838558;0.653552067;0.750933968;0.384573352;0.622075768
rxjava;;io.reactivex.StrictPerf.external;count=100&cpu=100;0.059169715;0.058890913;0.058628946;0.058358098;0.058138776;0.001030939;0.004712012;0.004233562;0.005984877;0.005642636;0.004984503;0.001000374;0.005984877;0.982422781;0.930342997;0.484998533;0.411041968;0.375508982;0.636863052
