project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35;i36;i37;i38;i39;i40;i41;i42;i43;i44;i45;i46;i47;i48;i49;i50;i51;i52;i53;i54;i55;i56;i57;i58;i59;i60;i61;i62;i63;i64;i65;i66;i67;i68;i69;i70;i71;i72;i73;i74;i75;i76;i77;i78;i79;i80;i81;i82;i83;i84;i85;i86;i87;i88;i89;i90;i91;i92;i93;i94;i95;i96;i97;i98;i99;i100
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endFile;;0.60596312;0.196947759;0.263563759;0.312840354;0.240282083;0.184755947;0.145344092;0.121817386;0.096951501;0.084757686;0.074265248;0.059002645;0.0507479;0.042503741;0.031407552;0.029569402;0.033902946;0.029504747;0.031779372;0.028666779;0.024436986;0.026763436;0.026013061;0.022815032;0.020626004;0.01806285;0.014626072;0.012486936;0.014460972;0.012981828;0.012608167;0.015666397;0.015540779;0.01184532;0.012719388;0.009634991;0.007818702;0.01080278;0.007287365;0.00868811;0.008621254;0.007294326;0.011953939;0.008466204;0.007424241;0.007594724;0.005743544;0.006069178;0.008469376;0.005389355;0.004422146;0.006430139;0.005304698;0.00673272;0.004568542;0.005840685;0.004492788;0.003045225;0.005642743;0.002817879;0.004411493;0.006098543;0.003518616;0.003466196;0.004947945;0.003987903;0.004200953;0.003756399;0.001364351;0.002589838;0.003683869;0.002933581;0.002634163;0.001796568;0.002514257;0.005108305;0.003987393;0.004184064;0.002635745;0.002062309;0.003054901;0.001740091;0.003663079;0.001415145;0.002340417;0.001390122;0.003327662;0.003570481;0.002468978;0.003196257;7.86E-04;8.29E-04;0.001946201;0.001024444;0.001833208;0.003217627;;;;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=Default;0.286946674;0.032500772;0.059965048;0.078459495;0.082312801;0.081576932;0.065670143;0.059576222;0.048900583;0.041246052;0.034560423;0.030956195;0.028574234;0.023617074;0.02247522;0.021545124;0.016596296;0.019425926;0.019229949;0.013608775;0.01711689;0.012123063;0.012467127;0.013865958;0.013569259;0.014170577;0.012060788;0.008227185;0.008229939;0.006137539;0.008044337;0.009233695;0.007321712;0.008397128;0.007138769;0.006134188;0.006956742;0.004773554;0.003976044;0.004762211;0.004349604;0.004910263;0.004742534;0.004926488;0.003499141;0.003674241;0.003478708;0.002361079;0.001728342;0.003056642;0.003211604;0.003204553;0.00376367;0.00238473;0.002258349;0.001790381;0.001755328;0.002727592;0.002021552;0.001921681;0.002094137;0.001309686;7.07E-04;0.001968954;0.002182096;0.002682353;0.003291399;0.002007942;0.001724457;0.001160651;0.001380768;0.002217977;0.001696504;9.55E-04;8.64E-04;0.001413248;0.001901707;0.002275765;0.001308213;7.30E-04;8.11E-04;0.002109015;0.001251594;0.002119701;8.78E-04;0.001146599;0.001224045;0.001519856;0.001671415;0.001090081;0.001562123;0.001123023;5.31E-04;0.001201614;0.001200776;9.46E-04;;;;
;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3LogbackFile;;0.638050067;0.174338841;0.22517915;0.275339461;0.222430125;0.174563833;0.148682513;0.126914514;0.116287758;0.095590649;0.088508316;0.077009356;0.067195698;0.057566;0.053535238;0.043896674;0.040044713;0.038643151;0.032644988;0.029271993;0.02513641;0.025614716;0.022041118;0.022832856;0.023437213;0.019472467;0.021565771;0.01922267;0.01502265;0.016024895;0.012424611;0.016108302;0.014554687;0.011291129;0.012410225;0.008828467;0.011298986;0.011601971;0.009476724;0.006575304;0.006218596;0.006748373;0.008333364;0.012812471;0.008028874;0.00628696;0.006649155;0.005352206;0.003793354;0.008025068;0.003727965;0.006334651;0.006293105;0.003399724;0.005563739;0.003571331;0.004963287;0.00560736;0.002251818;0.004119709;0.001978106;0.005333156;0.005894622;0.00231996;0.004837997;0.002804638;0.001671006;0.001967839;0.001629473;0.002850221;0.001473503;0.001156502;0.001231016;0.00161835;0.002659792;0.001993275;0.001721239;9.13E-04;8.84E-04;0.222204496;0.223693825;0.225106939;0.224126444;0.005237696;0.004134207;0.005129276;0.081414007;0.078539333;0.077706527;0.072679624;0.002064503;0.00316607;0.001977103;0.00622809;0.008321483;0.005969606;;;;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.632323523;0.194710948;0.235793302;0.26974379;0.174623792;0.142448018;0.119325361;0.111384004;0.105337359;0.093686623;0.091376722;0.092790513;0.075770424;0.064296627;0.059458518;0.040919199;0.048462666;0.043861505;0.037163702;0.037341215;0.031298537;0.024403467;0.02875684;0.02564522;0.024856939;0.025535253;0.021709893;0.01797266;0.019547508;0.013073484;0.017711109;0.012852032;0.012369259;0.016247114;0.016675536;0.018155518;0.013728917;0.012928325;0.010536224;0.010685879;0.011586349;0.012199853;0.008387979;0.008470324;0.011660532;0.008842302;0.004875211;0.004733017;0.006931531;0.009152666;0.008608919;0.008737212;0.004789551;0.005462077;0.006164189;0.007821754;0.006891388;0.006388953;0.007212627;0.002592841;0.003329575;0.004278463;0.004066656;0.005204353;0.006229743;0.002819388;0.004940578;0.005080567;0.004643509;0.003592777;0.001541489;0.002472487;0.004781444;0.003652238;0.005292118;0.001681384;0.004278946;0.00450841;0.004684543;0.0064303;0.002212277;0.002553482;0.00229225;0.002242079;0.003714493;0.003398406;0.00282833;0.001552637;0.002069496;0.002591278;0.002807491;0.002330733;0.001565379;0.002178639;0.002300427;0.003084625;;;;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMDNoSpace;;0.707838065;0.268473224;0.200667606;0.239905433;0.19883608;0.184067175;0.155082204;0.156537646;0.117997571;0.109424394;0.098145575;0.086083276;0.083235406;0.067184127;0.066393126;0.05313518;0.055486024;0.048593167;0.04673066;0.040173961;0.031860409;0.035994103;0.029928075;0.026567047;0.021371557;0.024480722;0.019853948;0.018181051;0.026435433;0.024029278;0.019591855;0.021917141;0.016321879;0.018045393;0.017959857;0.01299324;0.013014194;0.007248045;0.011711913;0.01357954;0.010188812;0.015416349;0.010136314;0.01081399;0.011936013;0.006096718;0.008387547;0.009623405;0.009266216;0.009782084;0.008741304;0.005779184;0.006961329;0.005430509;0.004439223;0.005512614;0.00705168;0.008721587;0.009745754;0.005931657;0.003901948;0.001234371;0.005397289;0.004190159;0.006288223;0.007705444;0.00708754;0.007188225;0.004824761;0.002877963;0.00108565;0.003640875;0.002958263;0.005907012;0.005057196;0.002847445;0.004644057;0.003598967;0.003732136;0.003790324;0.003476478;0.00165553;0.003409839;0.004101074;0.002209654;0.00459545;0.001565389;0.001275424;0.003577197;0.004696601;0.004301762;0.003061071;0.002654062;0.003139412;0.003247399;0.003951453;;;;
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;1.786259132;0.415691594;0.550043467;0.637003284;0.527428615;0.415765534;0.359633887;0.330302545;0.281823059;0.232901846;0.190036125;0.184130196;0.174578397;0.161405027;0.154865758;0.134903651;0.113950003;0.116513596;0.117880392;0.103179315;0.105780039;0.08447282;0.077375435;0.072383866;0.063526859;0.068457052;0.062445613;0.055248253;0.054076609;0.0503858;0.052356843;0.048938098;0.05287742;0.043397924;0.035087284;0.044594506;0.029660409;0.037998997;0.041095037;0.033637803;0.028934998;0.036634784;0.017440635;0.024760676;0.031405015;0.024757963;0.032410243;0.023486964;0.021707052;0.021629915;0.016861354;0.021285425;0.016825657;0.024286176;0.022874837;0.019163097;0.020494869;0.020010572;0.015362252;0.013737783;0.011618088;0.006530162;0.006839896;0.009787403;0.017427184;0.011236796;0.017641295;0.01507852;0.008184682;0.01402105;0.006807845;0.008053425;0.015271066;0.01106606;0.005987804;0.008329089;0.003834855;0.007637267;0.01129989;0.011814365;0.015469779;0.007521477;0.005992481;0.003072649;0.006693762;0.013875785;0.010057228;0.009680833;0.010374511;0.004399447;0.006569026;0.009042916;0.006241333;0.013341926;0.015269283;0.00912257;;;;
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test07_getReflectiveCallerClassUtility;;0.298875712;0.039947394;0.04146859;0.046145918;0.03038182;0.042381407;0.052873474;0.063096241;0.067617559;0.053504109;0.0537477;0.049601396;0.040775031;0.038114347;0.029478797;0.028140431;0.0259838;0.023578791;0.022506846;0.017718291;0.016105738;0.013280562;0.018128444;0.013781669;0.014230869;0.011332091;0.008987997;0.005760356;0.008923366;0.004952951;0.003418662;0.003324381;0.001795193;0.004460362;0.003006011;0.003666504;0.005458382;0.002888153;0.005714544;0.003756559;0.007618766;0.00709078;0.007766979;0.006564733;0.0027882;0.004444283;0.005177405;0.005616298;0.004215431;0.002977287;0.004584131;0.003744171;0.004723351;0.005068372;0.003887248;0.007886516;0.0067596;0.006626032;0.007637347;0.002508743;0.004582685;0.004067816;0.004842406;0.005711278;0.002595491;0.003086934;0.003123141;0.003941585;0.004617274;0.004687592;0.004014283;0.003724606;0.003192759;0.005395638;0.002420972;0.002697998;0.003181937;0.002407641;0.004896076;0.003981485;0.004446716;0.002616416;0.002600974;0.003571509;0.002828927;0.002614687;0.002287445;0.001084003;0.001972776;0.002661055;0.002703937;0.003369626;0.00294808;0.003204571;0.001143805;0.001461124;;;;
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j2Throwable;;0.459330072;0.015988001;0.025440487;0.054438407;0.069715467;0.077979689;0.099776807;0.085424161;0.08766041;0.086208231;0.061878772;0.057708358;0.052123851;0.051155973;0.051003941;0.04303652;0.033940362;0.027912098;0.027360622;0.03422882;0.024889326;0.016088589;0.007547883;0.001205239;0.006897754;0.003855785;0.003967738;0.005011149;0.012489217;0.010851193;0.012544449;0.01235956;0.007621315;0.007781927;0.010316472;0.008247685;0.005066126;0.007551079;0.002588078;0.006806532;0.007733305;0.009277829;0.011210638;0.01068827;0.011799948;0.008420054;0.010456372;0.008813245;0.007686752;0.0097428;0.008334584;0.005150093;0.00720888;0.005564325;0.008806398;0.011215192;0.00707326;0.00996823;0.005748846;0.006017229;0.008316017;0.005715084;0.004068691;0.008858809;0.007797129;0.006920875;0.009354011;0.002890692;0.006352339;0.006931211;0.006392591;0.005407953;0.00278956;0.006016591;0.004202358;0.008187599;0.005366337;0.003426302;0.00592222;0.002217968;0.004494452;0.004872899;0.005217977;0.008937306;0.003215138;0.004096811;0.005068092;0.00462162;0.006740155;0.00214727;0.002472318;0.002695828;0.00318573;0.003258045;0.002810424;0.002798728;;;;
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedDateFormatReuseCharArray;;0.31715224;0.239403325;0.052694022;0.062840971;0.061391472;0.065979308;0.074167954;0.074165678;0.052740858;0.048317177;0.041695791;0.036720298;0.038091413;0.032990826;0.02518923;0.028270103;0.028070347;0.022663265;0.022561954;0.020055586;0.019201938;0.016786241;0.013549639;0.014588967;0.011003191;0.014110584;0.015869365;0.012531299;0.016112252;0.013398109;0.006083071;0.005548402;0.002920754;0.005555932;0.004780189;0.002938015;0.004800561;0.00442615;0.006287048;0.005513953;0.003623812;0.00385881;0.003296286;0.004394757;0.002446844;0.001790155;0.002488788;0.002457975;0.003572443;0.002934235;0.003243542;0.003181209;0.002292346;0.004195683;0.003379504;0.002192582;0.005006601;0.003263788;0.003981683;0.006174111;0.002083014;0.003394875;0.001786299;7.91E-04;0.001504707;9.35E-04;0.001051239;0.002208749;0.001372485;0.001405732;0.003897953;0.002884869;0.002623977;0.001334997;6.82E-04;0.001310731;0.001166031;0.001276596;8.33E-04;0.001824212;0.001333823;0.001083909;0.001209311;0.001737254;0.001828937;0.001332754;0.002204734;9.39E-04;0.001401736;0.002167858;0.002350074;0.002371486;0.002116476;0.001979449;4.82E-04;9.78E-04;;;;
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.usAsciiStringGetBytesString;;1.119296202;0.329443628;0.434169917;0.511871215;0.394619823;0.317518322;0.261302898;0.222130416;0.188055842;0.162306946;0.141837756;0.124884691;0.114438354;0.093509274;0.086730276;0.076255625;0.074265002;0.061850062;0.057112317;0.057120029;0.047428332;0.048655135;0.037801275;0.038043181;0.034521628;0.030489177;0.03083705;0.027798329;0.024135593;0.032608273;0.025936222;0.023666271;0.028577265;0.016813731;0.023413625;0.023324707;0.016642971;0.015949283;0.017388496;0.012783483;0.016716853;0.017811417;0.015074312;0.017542771;0.014805609;0.0119252;0.009460432;0.007404049;0.00670625;0.010195946;0.011995002;0.014285582;0.011787258;0.013393446;0.009976366;0.008639056;0.008420374;0.006688895;0.005743901;0.009178638;0.009323542;0.007051056;0.007663114;0.006527681;0.008054382;0.006609613;0.010146774;0.006847434;0.006429199;0.00546132;0.001053685;0.001000283;0.005531907;0.007226721;0.007708865;0.006674318;0.005656455;0.005070816;0.00372443;0.005974517;0.002795058;0.004259879;0.005599001;0.00331316;0.005911035;0.003177705;0.004826717;0.005385491;0.004679393;0.00444251;0.002106566;0.003042382;0.002659764;0.002875087;0.003656507;0.002928152;;;;
