project;commit;benchmark;params;percentage;mean
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapHidePublisher;times=1000;1.067846744907261;8.99750239999978E-6
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapHidePublisher;times=1000000;1.0135106308292432;0.008563220478598952
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapObservable;times=1;0.9780248855226897;7.149754926478523E-8
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapObservable;times=1000;0.9941671132963616;7.645332799999912E-6
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapObservable;times=1000000;1.0158832524966364;0.007640631705200245
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapPublisher;times=1;0.9920976564415052;1.006079334869292E-7
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapPublisher;times=1000;0.9927511449462486;7.1365103999996525E-6
;;io.reactivex.BinaryFlatMapPerf.singleFlatMapPublisher;times=1000000;0.9979709172841791;0.006986058956799833
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1;1.0142842496898552;4.5972700000002655E-8
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000;1.0295591906222545;7.199978400000173E-6
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000000;0.7475810250006241;0.007295419187600768
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1;0.9939814961749394;9.006017220663984E-8
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1000;0.994327417365748;9.970579199999768E-6
;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1000000;1.0389304566721844;0.00974671215219997
;;io.reactivex.BlockingGetPerf.completable;;0.7349146351169384;4.9769761857116585E-8
;;io.reactivex.BlockingGetPerf.flowableBlockingFirst;;1.0107959337738448;6.9699819891932E-8
;;io.reactivex.BlockingGetPerf.flowableBlockingLast;;1.0067249096396251;7.29484793917618E-8
;;io.reactivex.BlockingGetPerf.maybe;;0.988117860402879;5.0040504050407684E-8
;;io.reactivex.BlockingGetPerf.observableBlockingFirst;;0.9801181531140407;7.296888444222649E-8
;;io.reactivex.BlockingGetPerf.observableBlockingLast;;0.9754765292613135;6.86765353070577E-8
;;io.reactivex.BlockingGetPerf.single;;1.0016528202363304;5.036583658365682E-8
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1;0.9946696205307152;6.813899729810642E-8
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1000;1.0480224122961788;9.854062437463221E-8
;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1000000;0.8897538787515625;9.411900230390747E-8
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1;0.9956618333582794;7.239597919584439E-8
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1000;0.9940376023779571;1.4804830966192952E-6
;;io.reactivex.BlockingPerf.flowableBlockingLast;times=1000000;0.8835940387097465;0.0012099964928001122
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1;0.9638506745844666;7.372797356828546E-8
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000;1.0049846111668133;6.904416182655503E-8
;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000000;0.9965558040521162;6.90968678074631E-8
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1;1.028570297213918;7.026625975585291E-8
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1000;0.9867928139428188;2.1288116811683154E-6
;;io.reactivex.BlockingPerf.observableBlockingLast;times=1000000;0.9451184083582459;0.0017905920000000077
;;io.reactivex.CallableAsyncPerf.observeOnCompletable;;0.8093174481752371;9.507485297059402E-6
;;io.reactivex.CallableAsyncPerf.observeOnFlowable;;1.0182083146127037;9.502853485348573E-6
;;io.reactivex.CallableAsyncPerf.observeOnMaybe;;1.08993509538042;1.1336380914274255E-5
;;io.reactivex.CallableAsyncPerf.observeOnObservable;;1.0284571739420645;9.087708199999998E-6
;;io.reactivex.CallableAsyncPerf.observeOnSingle;;1.0597541153942784;1.0352262452490427E-5
;;io.reactivex.CallableAsyncPerf.pipelineCompletable;;1.565971955119021;1.702975839999993E-5
;;io.reactivex.CallableAsyncPerf.pipelineFlowable;;0.912298182953715;2.1277806399999998E-5
;;io.reactivex.CallableAsyncPerf.pipelineMaybe;;1.0106602511765195;1.706849280000005E-5
;;io.reactivex.CallableAsyncPerf.pipelineObservable;;0.9702617931210824;1.8058580799999985E-5
;;io.reactivex.CallableAsyncPerf.pipelineSingle;;1.0760029052468627;1.6708587200000043E-5
;;io.reactivex.CallableAsyncPerf.subscribeOnCompletable;;1.1917802403006998;1.0851705400000073E-5
;;io.reactivex.CallableAsyncPerf.subscribeOnFlowable;;1.058246436759532;9.421098800000074E-6
;;io.reactivex.CallableAsyncPerf.subscribeOnMaybe;;1.1936221734741836;1.0808108410841103E-5
;;io.reactivex.CallableAsyncPerf.subscribeOnObservable;;0.9524170409512909;1.1020618200000066E-5
;;io.reactivex.CallableAsyncPerf.subscribeOnSingle;;1.1771209303591694;1.1153540200000097E-5
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1;0.9986891702318214;6.540554332599942E-8
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000;0.9717628068416783;7.184683999999997E-6
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000000;0.7451314270355948;0.007728633446400119
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1;1.057848514023964;6.917757757757434E-8
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1000;1.0100774525548923;2.4149368536853235E-5
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1000000;0.9815067722631242;0.023302688058999165
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1;0.8994729414609538;1.1616975277750152E-7
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1000;0.9937664679660027;1.560727959960074E-4
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1000000;0.9946145546832037;0.16052784078000287
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1;1.0181839145710045;6.826446446446485E-8
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000;0.9427606266228401;8.285233046609389E-6
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000000;1.3670029760112756;0.010140829274201048
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1;0.9990635855610889;6.618109054527383E-8
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000;0.9830302360627279;2.5308267680305048E-5
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000000;1.0809623517871818;0.023618456833000817
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1;1.0124957035662254;9.059891978395578E-8
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1000;0.9371043789239676;1.3261328046460804E-4
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1000000;0.9610621463135489;0.13087186409999668
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1;0.9938113096514392;4.820790000000025E-8
