project;commit;benchmark;params;f1;f2;f3;f4;f5
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;50;45;40;43;47
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_longs;;5;25;36;47;25
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder;;2147483647;2147483647;2147483647;2147483647;44
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity;;19;15;22;20;19
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans;;37;36;35;41;36
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;32;38;39;2147483647;30
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder;;40;33;32;36;36
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory;;32;28;17;18;21
zipkin;;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;43;44;40;41;39
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_bytes;;12;39;33;32;44
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_localArray;;18;18;23;22;15
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder;;45;50;48;39;43
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes;;13;26;21;14;10
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory;;26;26;25;31;19
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_literal;;17;19;26;36;34
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk;;17;29;38;34;31
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_addr;;20;25;14;26;22
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_addr;;8;21;27;15;6
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3;;25;37;32;37;40
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_literal;;27;34;36;13;9
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder;;40;48;38;2147483647;42
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder;;39;47;27;39;35
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder;;40;30;28;34;42
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3;;33;41;2147483647;34;35
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory;;17;24;23;27;30
zipkin;;zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2;;6;6;7;6;6
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3;;37;2147483647;32;2147483647;36
zipkin;;zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64;;18;24;19;21;27
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray;;19;21;18;20;19
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan;;7;24;7;16;5
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2;;35;32;34;31;34
zipkin;;zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData;;28;32;18;38;26
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan;;5;5;5;2147483647;5
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_clear;;15;30;38;32;34
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_bytes;;12;27;14;16;10
