"project","className","benchmarkName","sameConfig","warmupIterationsPre","warmupIterationsPost","warmupTimePre","warmupTimePost","measurementIterationsPre","measurementIterationsPost","measurementTimePre","measurementTimePost","forksPre","forksPost"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.QueuePerf","jctUnsafeUnb","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.QueuePerf","jctSafeUnb","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.IxPerf","takeRx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.IxPerf","takeRsc","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.IxPerf","takeFx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.IxPerf","takeIx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.IxPerf","takeGx","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","rx2","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","rx2Windmill","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","rx1","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","rx1Windmill","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","reactor","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_rx","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_rx","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_rx2","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_rx2","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_rsc","true","5","5","","","5","5","2.0","2.0","1","1"
