"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"davidmoten/hilbert-curve","12","12.0","12.0","0.0","0.0","0.8333333333333334","0.0","0.0","0.0","0.16666666666666666","1.0","1.0","0.0","30","3","4","284","1"
"davidmoten/kool","10","3.3333333333333335","3.3333333333333335","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.8","0.0","7","1","1","320","1"
"davidmoten/rtree-3d","34","34.0","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","24","11","3","128","1"
"davidmoten/rtree","42","42.0","42.0","0.0","0.0","0.47619047619047616","0.0","0.0","0.0","0.5","0.9761904761904762","1.0","0.0","755","156","59","1117","7"
"davidmoten/rxjava-extras","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","265","28","16","1423","7"
"davidmoten/rxjava-jdbc","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","767","106","62","846","12"
"davidmoten/rxjava2-extras","10","10.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","147","13","9","696","2"
"davidmoten/rxjava2-http","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","13","3","4","283","2"
"davidmoten/word-wrap","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","6","2","1","127","1"
"dcapwell/collections","2","2.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0","0","1","8","1"
"dcapwell/java-file-operations","5","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","14","1"
"dcapwell/jmh-tests","25","3.125","3.125","0.2","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","9","1"
