"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"aol/cyclops-react","54","2.347826086956522","2.347826086956522","0.0","0.0","0.2962962962962963","0.0","0.0","0.0","0.07407407407407407","0.37037037037037035","0.0","0.0","990","104","93","3444","28"
"apache/aurora","12","1.0","1.7142857142857142","0.75","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.16666666666666666","0.9166666666666666","616","233","174","4068","91"
"apache/calcite","15","3.0","3.0","0.0","0.0","0.06666666666666667","0.0","0.4","0.26666666666666666","0.9333333333333333","1.0","0.26666666666666666","0.0","1355","893","140","3542","196"
"apache/cassandra","64","3.2","3.2","0.265625","0.0","0.109375","0.0","0.0","0.171875","0.234375","0.34375","0.0","0.0","5365","2372","525","24703","273"
"apache/commons-bcel","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","98","67","44","1453","21"
"apache/commons-crypto","14","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58","61","37","598","20"
"apache/commons-csv","8","8.0","8.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","167","164","48","1348","22"
"apache/directory-kerby","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63","47","27","1655","13"
"apache/hive","20","1.8181818181818181","2.5","0.35","0.0","0.0","0.0","0.0","0.05","0.35","0.35","0.55","0.35","2696","2641","317","13655","188"
"apache/ignite","32","2.2857142857142856","2.2857142857142856","0.0","0.125","0.03125","0.0","0.03125","0.375","0.46875","0.5","0.5","0.0","2692","1306","270","26212","207"
"apache/incubator-druid","181","3.851063829787234","3.851063829787234","0.4088397790055249","0.0","0.8287292817679558","0.0","0.011049723756906077","0.016574585635359115","0.08839779005524862","0.8895027624309392","0.0","0.0","8480","2137","624","9631","298"
"apache/incubator-gobblin","7","3.5","3.5","0.0","0.5714285714285714","0.0","0.5714285714285714","0.0","1.0","0.42857142857142855","0.42857142857142855","0.0","0.0","1584","611","170","5240","72"
"apache/incubator-pinot","34","4.857142857142857","4.857142857142857","0.14705882352941177","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2336","436","203","6278","85"
"apache/incubator-retired-pirk","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","60","24","18","183","8"
"apache/incubator-rya","3","1.5","1.5","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","67","61","19","450","24"
"apache/kafka","6","1.5","1.5","0.5","0.0","0.5","0.0","0.16666666666666666","0.0","0.5","1.0","0.16666666666666666","0.0","13291","7077","1024","6511","341"
"apache/logging-log4j2","355","7.1","7.1","0.10985915492957747","0.0","0.09014084507042254","0.0","0.005633802816901409","0.07042253521126761","0.5154929577464789","0.5971830985915493","0.18591549295774648","0.0","783","482","76","10695","67"
"apache/orc","11","2.75","2.75","0.5454545454545454","0.0","0.36363636363636365","0.0","0.45454545454545453","0.8181818181818182","0.0","0.36363636363636365","0.0","0.0","267","202","46","539","51"
"apache/parquet-mr","53","8.833333333333334","8.833333333333334","0.0","0.0","0.5094339622641509","0.0","0.03773584905660377","0.0","0.0","0.5094339622641509","0.3018867924528302","0.0","910","797","99","2095","112"
"apache/tinkerpop","52","7.428571428571429","7.428571428571429","0.0","0.0","0.0","0.0","0.0","0.17307692307692307","0.75","0.75","0.6538461538461539","0.0","920","478","108","15647","107"
"apptik/joio","46","11.5","11.5","0.5217391304347826","0.6086956521739131","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","3","15","1"
"apptik/jus","2","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","54","9","5","403","4"
"apptik/JustJson","1","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","12","16","5","235","2"
"apptik/RHub","16","2.2857142857142856","2.2857142857142856","0.0","0.0","1.0","0.0","0.125","0.125","0.0","1.0","0.0","0.0","68","6","8","119","2"
"areese/JavaTheCostOfDoingNothing","18","6.0","6.0","0.2222222222222222","0.0","0.2222222222222222","0.0","0.0","0.0","0.8888888888888888","1.0","1.0","0.0","0","1","1","59","1"
"areese/TestUTF8Decoding","3","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","107","0"
"arienkock/parallelism-benchmarks","5","2.5","2.5","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","3","1","14","1"
"arjunswaj/Java8","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","15","1"
"arnaudroger/benchmark-loop","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","12","1"
"arnaudroger/jmh-exp","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","2","2"
"arnaudroger/mapping-benchmark","59","2.107142857142857","2.107142857142857","0.9322033898305084","0.0","0.9322033898305084","0.0","0.8983050847457628","0.0","0.06779661016949153","1.0","0.7796610169491526","0.0","3","3","1","58","3"
"arnaudroger/orm-benchmark","42","2.3333333333333335","2.3333333333333335","0.7857142857142857","0.0","0.7857142857142857","0.0","0.35714285714285715","0.0","0.21428571428571427","1.0","1.0","0.0","4","0","1","186","1"
"arnaudroger/sfm-csv-variability","9","1.5","1.5","0.0","0.0","1.0","0.0","0.5555555555555556","0.0","0.0","1.0","0.0","0.0","0","0","1","38","2"
"arnaudroger/SimpleFlatMapper","47","3.6153846153846154","3.6153846153846154","0.3829787234042553","0.0","0.5531914893617021","0.0","0.02127659574468085","0.0","0.44680851063829785","1.0","1.0","0.0","299","49","17","3156","7"
"arnohaase/a-foundation","36","36.0","36.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31","7","11","217","3"
"arteam/100-Java-Concurrency-questions","5","2.5","2.5","0.2","0.8","0.2","0.0","0.0","0.8","0.4","0.6","0.8","0.0","86","32","10","115","2"
"artspb/javax-mail-pool","8","2.6666666666666665","2.6666666666666665","0.0","0.0","0.0","0.0","0.0","0.0","0.25","0.25","0.0","0.0","0","0","1","2","1"
"asarkar/java","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","7","6","5","187","2"
"ashishbende/RPC-API","36","5.142857142857143","5.142857142857143","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.05555555555555555","0.05555555555555555","0.16666666666666666","0.0","1","0","1","4","1"
"asimihsan/jmh-gradle-anagrams","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0","0","1","3","1"
"asympro/CleanStringBuilderBenchmark","4","4.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","9","1"
"atlanmod/NeoEMF","23","5.75","5.75","0.0","0.0","0.0","0.0","0.0","0.0","0.6956521739130435","0.6956521739130435","0.6521739130434783","0.0","36","10","17","2938","10"
"atlassian/commonmark-java","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.2857142857142857","0.0","1054","136","130","602","20"
"audit4j/audit4j-benchmarks","10","2.5","2.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","2","10","2"
"austinv11/ETF-Java","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","6","1","3","81","1"
"awood/crl-stream","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","42","1"
"azadmanesh/sl-tracer","11","5.5","5.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.8181818181818182","0.0","0","0","0","3070","29"
"basho-labs/java-client-bench","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","2","43","3","2"
"bassemZohdy/SimpleUtils","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","17","1"
"batterseapower/btreemap","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","8","0","1","60","1"
"batterseapower/timeseries-compression","11","11.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","4","0","1","18","1"
"bckfnn/taggersty","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","77","2"
"bdonlan/invokedynamic-proxy","17","8.5","8.5","0.0","0.35294117647058826","0.0","0.0","0.0","0.0","0.8823529411764706","0.8823529411764706","0.0","0.0","4","4","2","51","2"
"bearmug/x-traktor-core","25","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","1","1","123","1"
"belliottsmith/injector","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62","12","5","2","1"
"ben-manes/caffeine","39","3.25","3.25","0.358974358974359","0.2564102564102564","0.02564102564102564","0.0","0.0","0.5897435897435898","0.6410256410256411","0.6410256410256411","1.0","0.0","6360","576","345","1097","27"
"benalexau/hash-bench","3","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","48","8","9","38","2"
"bensteinert/chromarenderer-java-benchmarks","13","1.8571428571428572","1.8571428571428572","0.0","0.0","0.0","0.0","0.0","0.0","0.9230769230769231","0.9230769230769231","0.0","0.0","0","0","1","14","1"
"bensteinert/chromarenderer-java","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","1","1","152","1"
"biboudis/clashofthelambdas","15","15.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","18","4","5","78","1"
"biboudis/streamalg","34","8.5","8.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","19","3","6","149","1"
"bingoohuang/eql","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","178","86","46","540","7"
"bingoohuang/javacode-demo","8","2.6666666666666665","2.6666666666666665","0.0","0.0","0.0","0.0","0.0","0.5","0.25","0.25","1.0","0.0","3","1","1","10","1"
"bingoohuang/westcache","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","11","3","3","255","1"
"blemale/fuse","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","0","25","1"
"blynkkk/blynk-server","12","12.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1512","536","159","4799","15"
"bodewig/commons-compress-benchmarks","14","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","0","19","1"
"bramp/unsafe","4","2.0","2.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.5","1.0","0.25","73","23","9","55","1"
"BrentDouglas/vial","55","2.619047619047619","2.619047619047619","0.8545454545454545","0.0","0.0","0.0","0.0","0.0","0.9818181818181818","0.9818181818181818","0.0","0.0","0","1","1","28","1"
"brettwooldridge/HikariJSON-benchmark","8","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3","2","2","16","1"
"britter/to-array-benchmark","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","0","3","4","1"
"btraceio/btrace","38","5.428571428571429","5.428571428571429","0.0","0.0","0.21052631578947367","0.0","0.0","0.0","0.0","0.21052631578947367","0.0","0.0","3211","630","324","1064","14"
"BunnyWei/truffle-llvmir","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0","0","1","2","1"
"burmanm/compression-int","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","8","1","1","21","1"
"burmanm/gorilla-tsc","4","4.0","4.0","0.0","0.0","0.5","0.0","1.0","0.0","0.0","0.5","0.0","0.0","101","19","12","73","1"
"C0rWin/Java-KMeans-Coreset","8","2.6666666666666665","2.6666666666666665","0.375","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3","0","3","49","3"
"cache2k/cache2k-benchmark","30","1.875","1.875","0.4","0.13333333333333333","0.0","0.0","0.0","0.6333333333333333","0.9333333333333333","0.9333333333333333","0.43333333333333335","0.0","25","8","3","307","2"
"camunda/camunda-engine-dmn-benchmark","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","3","9","14","2"
"canepat/Helios","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","2","58","1"
"carrotsearch/hppc","5","1.25","1.25","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","621","99","63","524","4"
