"project","className","benchmarkName","warmupIterations","warmupIterationsDefault","warmupTime","warmupTimeDefault","measurementIterations","measurementIterationsDefault","measurementTime","measurementTimeDefault","forks","forksDefault","warmupForks","warmupForksDefault","modeIsThroughput","modeIsAverageTime","modeIsSampleTime","modeIsSingleShotTime","modeDefault","stars","projectForks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks","nothingSet","parameterizationCombinations"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending10RndAtEndInt","timsortAscending10RndAtEndInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending10RndAtEndInt","timsortAscending10RndAtEndInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscendingInt","timsortAscendingInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomWithDupsInt","timsortRandomWithDupsInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending3RndExchInt","timsortAscending3RndExchInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDupsGaloreInt","timsortDupsGaloreInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAllEqualInt","timsortAllEqualInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomWithDupsInt","timsortRandomWithDupsInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomInt","timsortRandomInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAllEqualInt","timsortAllEqualInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDupsGaloreInt","timsortDupsGaloreInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkWorstCase","timsortWorstCase","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomBigInt","timsortRandomBigInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
