project,computationFailed,aheadBy,behindBy,nothingChanged
wfxiang08/metrics,false,0,49,true
elandau/grpc-java,false,0,818,true
zhangkun83/grpc-java,false,0,655,true
carl-mastrangelo/grpc-java,false,0,16,true
dapengzhang0/grpc-java,false,0,155,true
ejona86/grpc-java,false,0,328,true
chenxianghua2014/metrics,false,0,49,true
eunmin/Hystrix,false,0,29,true
dmgcodevil/Hystrix,false,0,326,true
robertroeser/Hystrix,false,0,411,true
agentgt/Hystrix,false,0,558,true
ianynchen/Hystrix,false,0,3,true
mauricionr/Hystrix,false,0,944,true
npccsb/Hystrix,false,0,935,true
tromantic/Hystrix,false,0,926,true
JayhJung/Hystrix,false,0,935,true
sposam/Hystrix,false,0,926,true
jasw/metrics,false,0,53,true
KoltonAndrus/Hystrix,false,0,935,true
jordancheah/Hystrix,false,0,926,true
loop-jazz/Hystrix,false,0,924,true
sourceops/Hystrix,false,0,926,true
gunmetal/gunmetal,true,,,
mackstone/JCTools,false,0,509,true
mike-tr-adamson/cassandra,false,0,3081,true
mspiegel/metrics,false,0,53,true
carlyeks/cassandra,false,0,2832,true
iweiss/activemq-artemis,false,66,323,false
slovdahl/metrics,false,59,665,false
tbrooks8/quasar,false,0,391,true
whitingjr/pgjdbc,false,0,214,true
shashankasharma/commons-csv,false,54,361,false
branches-cc/rtree,false,0,406,true
WriskHQ/logback-ext,false,53,0,false
kevinyien/client_java,false,0,252,true
timezra/metrics,false,0,66,true
valery1707/dropwizard-metrics,false,0,87,true
chandresh-pancholi/ignite,false,0,262,true
zsurocking/grpc-java,false,0,1797,true
davleopo/graal-core,false,0,1505,true
nmittler/grpc-java,false,0,1827,true
trustin/armeria,false,0,0,true
tjake/cassandra,false,0,4459,true
ivansenic/inspectIT,false,0,15,true
kojilin/armeria,false,0,19,true
cirrus-dev/metrics,false,0,87,true
ohr/metrics,false,0,87,true
gdusbabek/cassandra,false,0,8323,true
panchenko/pgjdbc,false,0,344,true
egymgmbh/metrics,false,0,95,true
smartnews/presto,false,51,1669,false
mnuessler/metrics,false,0,101,true
besza/jgrapht,false,0,32,true
erichwang/presto,false,0,9891,true
jf367/presto,false,0,9562,true
DavideD/hibernate-ogm,false,0,128,true
lingochamp/presto,false,0,9769,true
kietly/presto,false,0,9645,true
liquidm/druid,false,42,990,false
ronenhamias/RxJava,false,0,549,true
thelastpickle/metrics,false,38,606,false
jkinable/jgrapht,false,0,17,true
mp911de/hibernate-ogm,false,0,893,true
thomasdarimont/JCTools,false,0,541,true
tempbottle/hibernate-ogm,false,0,1263,true
gunnarmorling/hibernate-ogm,false,0,894,true
uugaa/hibernate-ogm,false,0,1279,true
phensley/template-compiler,false,0,97,true
slachiewicz/metrics,false,38,592,false
hferentschik/hibernate-ogm,false,0,1740,true
Sanne/hibernate-ogm,false,0,27,true
gburton1/metrics,false,0,134,true
akarnokd/JCTools,false,0,568,true
rschatz/graal-core,false,0,1523,true
VladimirErshov/ignite,false,38,9601,false
minwoox/armeria,false,0,521,true
chosen0ne/btrace,false,0,401,true
akarnokd/rxjava2-backport,true,,,
rspieldenner/spectator,false,0,509,true
marcomorain/rate-limited-logger,false,35,41,false
sunios/btrace,false,0,424,true
brettwooldridge/object-pool-benchmarks,false,0,0,true
bowlofstew/Chronicle-Wire,false,0,2324,true
phillipross/pgjdbc,false,0,723,true
cfieber/spectator,false,0,596,true
dmuino/spectator,false,0,600,true
mcanthony/presto,false,0,10384,true
sluk3r/cassandra,false,30,7093,false
fipar/presto,false,0,10135,true
seven332/okio,false,29,377,false
sunchao/presto,false,28,8948,false
tkao1000/pinot,false,27,3917,false
rasahner/druid,false,0,2651,true
vermaravikant/presto,false,0,10717,true
siddhartharay007/presto,false,0,10541,true
lemire/RoaringBitmap,false,24,0,false
chiwanpark/commonmark-java,false,0,314,true
PascalSchumacher/byte-buddy,false,0,4065,true
vic/byte-buddy,false,0,3596,true
RobAustin/byte-buddy,false,0,4207,true
mike-tr-adamson/incubator-tinkerpop,false,0,6737,true
