"project","className","jmhVersion","benchmarkName","executionTimePercentage","warmupTimePercentage","measurementTimePercentage","measurementWarmupRatio","stars","forks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDescendingInt","1.8","timsortDescendingInt","0.13012","0.01024","0.25","24.4140625","0","0","10","5","1","22"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending3RndExchInt","1.8","timsortAscending3RndExchInt","0.13012","0.01024","0.25","24.4140625","0","0","10","5","1","22"
"addthis/basis","com.addthis.basis.chars.CharSeqOnlyIter$AbstractCharSeqBench","1.10.1","iterateString","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.chars.CharSeqIterAndEncode$AbstractCharSeqBench","1.10.1","iterateString","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","reverseJdk","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","reverseBasis","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","stackReverse","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","stanfordParallelReverse","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","stanfordSevenOpReverse","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","stanfordMultiplyReverse","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/basis","com.addthis.basis.util.BitReversals","1.10.1","loopReverse","0.0125","0.01","0.015","1.5","8","5","25","210","12","9"
"addthis/codec","com.addthis.basis.chars.CharSeqAbstractExample$AbstractCharSeqBench","0.9.6","iterateString","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","reverseJdk","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","reverseBasis","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","stackReverse","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","stanfordParallelReverse","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","stanfordSevenOpReverse","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","stanfordMultiplyReverse","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.basis.util.BitReversalExample","0.9.6","loopReverse","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.codec.reflection.ReflectOps","0.9.6","reflectCheckArray","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"addthis/codec","com.addthis.codec.reflection.ReflectOps","0.9.6","infoCheckArray","0.0125","0.01","0.015","1.5","2","3","25","277","9","10"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","swappedByteBufSetInt","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","swappedByteBufSetShort","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
