"project","benchmarks","numberOfChanges","averageChangeTime","useJmhSince"
"a-hansen/alog","0","0","","1.99"
"Abnaxos/guards","5","0","","0.13"
"abstools/timsort-benchmark","22","0","","0.0"
"acisternino/narjillos-math-bench","9","1","0.02","0.03"
"addthis/basis","9","1","2.15","4.3"
"addthis/codec","10","1","2.43","4.85"
"AdoptOpenJDK/vmbenchmarks","26","1","1.86","3.72"
"afdw/fastcloud","2","0","","0.0"
"afredlyj/learn-netty","15","0","","0.34"
"AgentTroll/TrollCommons","38","0","","0.3"
"airlift/slice","48","0","","5.06"
"aitusoftware/flute","2","0","","1.68"
"akarnokd/akarnokd-misc","368","7","0.46","3.69"
"akarnokd/ixjava","11","3","0.31","1.22"
"akarnokd/reactive-streams-impl","33","0","","0.0"
"akarnokd/ReactiveChannel","2","0","","0.0"
"akarnokd/RxJava2Extensions","12","0","","2.47"
"akashche/tzdata-jmh","2","0","","0.0"
"alesharik/AlesharikWebServer","47","2","0.63","1.88"
"Alex-Diez/Java-TDD-Katas","27","0","","3.41"
"alexey-kotlyar/algostructure","13","0","","0.07"
"alexeyr/pcg-java","4","0","","0.0"
"alexo/spinner","1","0","","1.65"
"allegro/json-avro-converter","4","1","1.23","2.47"
"almondtools/regexbench","4","3","0.79","3.18"
"almondtools/stringbench","6","4","0.63","3.13"
"amoAHCP/Java8LunchSchool","4","0","","0.0"
"amsa-code/risky","5","1","2.26","4.53"
"andrepnh/data-structure-fun","19","0","","2.49"
"andrey-vasilyev/gosthash","1","0","","0.07"
"andreytim/jafar","37","0","","0.66"
"aNNiMON/Own-Programming-Language-Tutorial","2","0","","2.93"
"aol/cyclops-react","54","0","","2.5"
"apache/activemq-artemis","0","0","","3.06"
"apache/aurora","12","3","1.15","4.62"
"apache/beam","0","0","","3.06"
"apache/calcite","15","1","1.78","3.56"
"apache/commons-bcel","3","2","1.54","4.62"
"apache/commons-crypto","14","0","","3.13"
"apache/commons-csv","8","0","","4.54"
"apache/directory-kerby","2","4","0.8","4.02"
"apache/hive","20","2","1.52","4.56"
"apache/ignite","32","2","1.19","3.56"
"apache/incubator-druid","181","3","1.06","4.23"
"apache/incubator-gobblin","7","0","","2.48"
"apache/incubator-pinot","34","3","0.97","3.89"
"apache/incubator-retired-pirk","3","1","0.38","0.77"
"apache/incubator-rya","3","0","","2.79"
"apache/kafka","6","1","1.2","2.39"
"apache/logging-log4j2","355","2","1.62","4.87"
"apache/orc","11","1","1.15","2.29"
"apache/parquet-mr","53","2","1.46","4.38"
"apache/tinkerpop","52","1","1.69","3.39"
"apptik/joio","46","0","","1.08"
"apptik/jus","2","0","","0.01"
"apptik/JustJson","1","0","","0.39"
"apptik/RHub","16","3","0.37","1.48"
"areese/JavaTheCostOfDoingNothing","18","1","0.78","1.56"
"areese/TestUTF8Decoding","3","0","","1.38"
"arienkock/parallelism-benchmarks","5","1","0.04","0.08"
"arjunswaj/Java8","2","0","","0.38"
"arnaudroger/benchmark-loop","2","0","","0.0"
"arnaudroger/jmh-exp","1","0","","0.0"
"arnaudroger/mapping-benchmark","59","5","0.6","3.58"
"arnaudroger/orm-benchmark","42","4","0.21","1.05"
"arnaudroger/sfm-csv-variability","9","1","0.04","0.08"
"arnaudroger/SimpleFlatMapper","47","5","0.68","4.05"
"arnohaase/a-foundation","36","0","","1.39"
