"project","benchmarks","numberOfChanges","averageChangeTime","useJmhSince"
"arteam/100-Java-Concurrency-questions","5","2","1.16","3.47"
"artspb/javax-mail-pool","8","0","","0.0"
"asarkar/java","2","0","","3.69"
"ashishbende/RPC-API","36","0","","0.0"
"asympro/CleanStringBuilderBenchmark","4","0","","0.47"
"atlanmod/NeoEMF","23","5","0.41","2.47"
"atlassian/commonmark-java","7","6","0.58","4.04"
"audit4j/audit4j-benchmarks","10","1","1.44","2.88"
"awood/crl-stream","4","0","","2.21"
"basho-labs/java-client-bench","2","0","","0.0"
"bassemZohdy/SimpleUtils","7","0","","0.39"
"batterseapower/btreemap","6","0","","2.35"
"bckfnn/taggersty","1","0","","0.17"
"bdonlan/invokedynamic-proxy","17","0","","1.93"
"bearmug/x-traktor-core","25","0","","0.12"
"belliottsmith/injector","1","0","","0.01"
"ben-manes/caffeine","39","13","0.33","4.61"
"benalexau/hash-bench","3","1","1.25","2.5"
"bensteinert/chromarenderer-java-benchmarks","13","0","","1.67"
"biboudis/clashofthelambdas","15","1","0.21","0.41"
"biboudis/streamalg","34","0","","0.33"
"bingoohuang/eql","1","1","0.65","1.3"
"bingoohuang/javacode-demo","8","0","","2.71"
"bingoohuang/westcache","2","1","1.07","2.14"
"blynkkk/blynk-server","12","2","1.18","3.55"
"bodewig/commons-compress-benchmarks","14","1","0.87","1.75"
"bramp/unsafe","4","2","0.56","1.67"
"BrentDouglas/vial","55","0","","0.21"
"brettwooldridge/HikariJSON-benchmark","8","2","0.83","2.48"
"britter/to-array-benchmark","4","0","","0.0"
"btraceio/btrace","38","4","0.88","4.38"
"burmanm/compression-int","3","1","0.68","1.36"
"burmanm/gorilla-tsc","4","2","0.51","1.53"
"C0rWin/Java-KMeans-Coreset","8","0","","0.92"
"cache2k/cache2k-benchmark","30","3","0.89","3.56"
"camunda/camunda-engine-dmn-benchmark","1","0","","0.23"
"carrotsearch/hppc","5","1","2.06","4.12"
"ceki/logback-perf","7","0","","0.86"
"census-instrumentation/opencensus-java","81","2","0.78","2.35"
"centic9/poi-benchmark","10","3","0.82","3.3"
"cglib/cglib","2","1","1.73","3.45"
"chrisvest/object-pool-benchmarks","24","5","0.18","1.06"
"cinnober/msgcodec","35","0","","2.95"
"classgraph/classgraph","4","1","0.49","0.97"
"cleberecht/singa","0","0","","2.37"
"coconut2015/cookjson","12","0","","0.42"
"codahale/aes-gcm-siv","4","1","0.94","1.88"
"codahale/gimli","6","1","0.5","1.0"
"codahale/longmapper","2","1","0.61","1.22"
"codahale/passpol","4","3","0.48","1.92"
"codahale/shamir","2","3","0.5","2.0"
"codahale/usl4j","1","2","0.61","1.83"
"codahale/xsalsa20poly1305","6","3","0.48","1.92"
"Codearte/duramen","1","2","1.42","4.25"
"CodeFX-org/lab-java8streamperformancebenchmark","0","0","","3.36"
"coder-press/crazy-soap","2","0","","0.0"
"codesorcery/juan","9","0","","0.04"
"ConSol/parallel-streams-example","8","1","0.02","0.03"
"conversant/disruptor_benchmark","16","3","0.72","2.89"
"cpoepke/demos","24","0","","0.03"
"crate/crate","38","5","0.59","3.56"
"CrispOSS/prime-sieves","2","1","0.08","0.16"
"cryptomator/cryptolib","8","4","0.56","2.82"
"cryptomator/siv-mode","3","5","0.42","2.51"
"cs-ester-peixoto/docker-jenkins","40","0","","0.01"
"cschenyuan/hive-hack","6","0","","0.0"
"d0k1/acache","6","0","","0.72"
"d0k1/groovy-eval-bench","22","0","","0.92"
"d0k1/jitloganalyzer","7","0","","0.0"
"DaanVanYperen/artemis-odb-contrib","17","0","","3.86"
"dafei1288/max","1","0","","0.04"
"danielnorberg/rut","5","2","1.35","4.04"
"DanielThomas/spring-boot-starter-netty","7","2","0.32","0.95"
"darwin-evolution/darwin","5","0","","0.11"
"DataArt/CalculationEngine","14","1","0.11","0.22"
"davidhagar-zz/java-microbenchmarks","20","0","","0.0"
"davidmoten/audio-recognition","1","0","","0.0"
"davidmoten/geo","2","0","","0.34"
"davidmoten/hilbert-curve","12","1","1.16","2.32"
"davidmoten/kool","10","0","","0.83"
"davidmoten/rtree","42","6","0.69","4.81"
"davidmoten/rtree-3d","34","0","","3.42"
"davidmoten/rxjava-extras","1","2","1.0","3.01"
"davidmoten/rxjava-jdbc","2","1","1.34","2.67"
"davidmoten/rxjava2-extras","10","0","","2.61"
"davidmoten/rxjava2-http","1","1","0.56","1.12"
"davidmoten/word-wrap","1","0","","0.61"
"dcapwell/collections","2","0","","0.0"
"dcapwell/jmh-tests","25","0","","1.5"
"debmalya/vigilant-tribble","8","0","","0.0"
"debop/debop4k","5","0","","2.76"
"deephacks/lmdbjni","5","0","","2.34"
"demoth/finistika","3","0","","0.02"
"Devexperts/dlcheck","7","0","","2.09"
"dimagi/commcare-core","1","0","","2.48"
"dimitrovchi/enum-like","27","0","","0.02"
"dmart28/reveno","1","1","1.59","3.18"
"dmitryleskov/algs4bench","23","0","","0.0"
"dmnlukasik/java-8-concurrency-updates","6","0","","0.0"
"Domo42/saga-lib","10","0","","2.27"
"drankye/bufferalloc","12","0","","0.0"
"dropbox/dropbox-sdk-java","3","1","1.61","3.21"
"dropwizard/dropwizard","8","7","0.54","4.31"
"dropwizard/metrics","11","2","1.63","4.89"
"dryuf/dryuf-concurrent","50","0","","3.11"
"easymock/objenesis","13","7","0.53","4.26"
"ecki/jmhbench-cryptospeed","13","1","0.6","1.2"
"eclipse/eclipse-collections","515","5","0.59","3.53"
"eclipse/vert.x","33","0","","2.06"
"elliottneilclark/time-test","2","0","","0.0"
"enisher/polymorphic-calls-benchmark","5","0","","0.0"
"ennerf/flatbuffers-java-benchmark","13","0","","0.0"
"entrepidea/projects","0","0","","3.2"
"epickrram/benchmark","9","0","","0.02"
"epickrram/jvm-warmup-talk","4","0","","0.12"
"epickrram/lock-benchmark","4","0","","0.0"
"epickrram/lock-contention","1","0","","0.0"
"eranharel/memcached-java-clients-benchmark","12","0","","0.05"
"ericmm/Woobaben","56","1","1.05","2.09"
"ericmoshare/uid-generator","2","0","","0.01"
"ESAPI/esapi-java-legacy","2","0","","0.21"
"escalate42/Javaz-Benchmarks","2","0","","0.0"
"eternita/frontcache","1","0","","2.05"
"evanj/expire-threadlocal","6","0","","0.0"
"eventsourcing/es4j","4","0","","0.87"
"eXistence/TeeTime-Cpp","0","0","","1.68"
"fabienrenaud/java-json-benchmark","58","3","0.59","2.35"
"fabri1983/menuapp","2","1","1.3","2.6"
"fakemongo/fongo","6","2","1.16","3.48"
"federicotg/hashing","98","0","","0.59"
"fenderstr/my-bench","18","0","","0.0"
"fenderstr/super-bench","18","0","","0.0"
"finn-no/serdes-shootout","11","0","","0.0"
"FIXTradingCommunity/silverflash","6","3","0.26","1.03"
"fpavageau/bench-filters","9","0","","0.0"
"fpavageau/bench-simple-name","3","0","","0.0"
"frankboller/watcher","16","0","","1.82"
"gameduell/eclipselink.runtime","52","0","","1.47"
"gdrouet/scanner-benchmark","3","0","","0.01"
"ghxandsky/benchmarx","5","0","","0.0"
"glowroot/glowroot","5","27","0.18","5.14"
"Gohla/persistent-graph","16","0","","0.0"
"golo-lang/golo-jmh-benchmarks","94","12","0.35","4.56"
"google/conscrypt","7","1","1.27","2.55"
"gorkem/js-parser-benchmarks","2","0","","0.0"
"gpanther/benchmark-arraycopy","14","0","","0.08"
"gpanther/lychrel-numbers","5","0","","0.0"
"gpanther/regex-libraries-benchmarks","2","0","","0.25"
"graphql-java/graphql-java","3","0","","0.48"
"Graylog2/graylog-plugin-pipeline-processor","10","1","0.99","1.98"
"grpc/grpc-java","42","7","0.54","4.31"
"GumTreeDiff/gumtree","1","0","","3.42"
"guyko/weighted-lottery","10","0","","0.54"
"gvsmirnov/java-perv","37","2","0.94","2.83"
"gvsmirnov/jmh-gradle-sample","8","0","","0.69"
"h2oai/h2o-3","36","2","0.91","2.72"
"Hanmourang/Pinot","2","0","","0.1"
"HansBrende/f8","2","0","","0.18"
"haozhun/regexp-bench","5","0","","0.0"
"hawkular/hawkular-metrics","1","1","1.54","3.09"
"hazelcast/hazelcast","66","1","1.61","3.22"
"HBTGmbH/java-propertyname","3","0","","0.96"
"hekate-io/hekate","0","1","1.19","2.37"
"hhu-stups/bmoth","1","0","","0.98"
"hibernate/hibernate-ogm","27","1","2.22","4.45"
"hibernate/hibernate-validator","9","2","0.93","2.8"
"hmarchadour/EasyCDO","6","0","","0.0"
"hsqlu/coding-lab","16","0","","2.9"
"HubSpot/jinjava","4","2","1.55","4.64"
"huxi/sulky","6","1","1.31","2.62"
"iamdarksorcerer/java-jmh-benchmarks","16","0","","0.0"
"ibodrov/bpm","3","0","","0.26"
"identifiers/identifiers-java","4","0","","0.6"
"iloveyou416068/CookNIOServer","32","0","","0.1"
"imglib/imglib2","19","0","","1.72"
"immutables/samples","8","1","1.21","2.43"
"iNikem/clean","3","0","","0.39"
"insano10/puzzlers","4","0","","0.41"
"inspectIT/inspectIT","30","1","1.73","3.46"
"intropro/prairie","23","0","","0.93"
"InvisibleTech/state","3","0","","0.0"
"iok1979/test","5","0","","0.0"
"ipogudin/examples","3","0","","0.71"
"irobertson/invokedynamic-talk-code","7","0","","0.0"
"irobertson/StringBuilderInvokeDynamicBenchmark","1","0","","0.0"
"IRus/Instanceof-vs-Try-Catch","2","0","","2.05"
"isalnikov/ACMP","3","0","","2.48"
"ivgiuliani/jelf","4","2","0.26","0.78"
"j-easy/easy-batch","1","2","1.46","4.39"
"j-musca/kata08-conflicting-objectives","3","0","","0.0"
"jad7/AtomicIncrementBenchmark","7","0","","0.0"
"jajir/jblinktree","9","2","1.3","3.9"
"jasobrown/barker","94","8","0.51","4.61"
"Java-Courses/collections-m0e4","2","1","1.63","3.26"
"java8/Java8InAction","5","0","","0.0"
"Javalbert/faster-than-reflection","8","0","","0.01"
"Javalbert/sql-builder-orm","7","0","","0.08"
"javolution/javolution","0","0","","3.22"
"jayjaykim/jmh-sample","4","0","","0.0"
"jayjaylab-benchmark/retrofitvsokhttp","2","0","","0.11"
"jayware/entity-essentials","4","1","0.72","1.43"
"jchambers/java-otp","1","0","","0.02"
"jchambers/jeospatial","3","1","1.06","2.12"
"jchambers/jvptree","8","0","","1.69"
"JCTools/JCTools","92","8","0.56","5.07"
"jenetics/jenetics","53","0","","5.01"
"jenetics/prngine","10","0","","4.56"
"JeremyLWright/euler","0","0","","1.3"
"jerrinot/FieldMagic","3","0","","0.01"
"JervenBolleman/java-benchmarks","17","0","","0.0"
"JetBrains/xodus","70","4","1.03","5.13"
"jfaleiro/keyvalue","1","0","","0.0"
"jgrapht/jgrapht","27","2","1.31","3.94"
"jharting/weld-collections-benchmark","4","0","","0.01"
"Jiri-Kremser/inventory-benchmark","13","0","","0.01"
"jjenkov/iap-tools-java-benchmarks","372","0","","0.14"
"jkirsch/spex","8","6","0.25","1.74"
"jmiettinen/jradixheap","6","0","","0.0"
"johnlcox/motif","4","0","","0.13"
"jon-hanson/funcj","1","2","0.85","2.54"
"josegom/training","3","0","","0.18"
"joyent/java-http-signature","9","2","0.64","1.91"
"joyent/java-manta","2","2","0.78","2.35"
"jpaw/bonaparte-java","70","0","","4.97"
"jpaw/fixedpoint","8","0","","4.82"
"jpaw/jpaw","40","0","","4.88"
"json-iterator/java","2","1","1.1","2.19"
"jsubercaze/simhashdb","2","0","","3.88"
"jsurfer/JsonSurfer","23","0","","3.96"
"jthelin/orbit","5","1","1.79","3.58"
"junkdog/artemis-odb","1","0","","4.0"
"junkdog/entity-system-benchmarks","32","3","0.46","1.85"
"jvz/nio-logger","15","0","","0.0"
"kaazing/gateway","6","0","","1.21"
"kaustubh-walokar/grpc-poll-service","36","0","","0.0"
"kawasima/copyfile-benchmark","3","0","","0.0"
"kevoree-modeling/benchmark","18","1","0.65","1.29"
"kickass-jmh/riviera","11","0","","2.3"
"kiegroup/kie-benchmarks","150","6","0.46","3.2"
"kno10/reversegeocode","4","1","0.39","0.78"
"konik-io/konik","2","0","","4.93"
"konmik/collection-benchmark","8","0","","0.0"
"Konstantin8105/Triangulation","6","0","","0.34"
"kpavlov/fixio","1","2","0.76","2.28"
"krystian-k/java-feature-bench","28","1","0.53","1.05"
"kvnxiao/kommandant","1","0","","0.0"
"kvr000/zbynek-concurrent-pof","44","0","","0.06"
"kvr000/zbynek-java-exp","22","0","","3.15"
"Lawrence-zxc/springStarter","7","0","","2.65"
"leeyikjiun/blog","17","0","","0.01"
"Leibnizhu/spring-boot-starter-netty","2","0","","1.12"
"lemire/microbenchmarks","67","0","","3.28"
"Lessnic/CAISS","1","0","","0.37"
"lettuce-io/lettuce-core","65","1","1.68","3.35"
"lexas2509/perf","4","0","","0.0"
"lhyqie/rtree","34","0","","0.0"
"linkedin/parseq","0","1","2.08","4.16"
"LiveMyKarma/Finalizer","2","0","","0.55"
"lmdbjava/benchmarks","56","1","1.49","2.97"
"loxal/template","1","0","","0.0"
"LucasPickering/terra","0","0","","0.22"
"lucwillems/JavaLinuxNet","8","0","","4.09"
"m0wfo/false-sharing-demo","4","0","","0.0"
"magneticflux-/gridsim","1","0","","0.0"
"manhcuongkd/blynk-server","20","0","","0.0"
"manoelcampos/cloudsim-plus","9","2","0.96","2.88"
"marcelmay/hadoop-hdfs-fsimage-exporter","1","2","0.53","1.59"
"MaridProject/typedmap","7","1","0.08","0.16"
"marklogic/marklogic-jena","1","0","","3.88"
"marklogic/marklogic-sesame","1","0","","3.23"
"marschall/charsequences","10","3","0.66","2.63"
"marschall/line-parser","8","1","0.68","1.37"
"marschall/mini-commons","22","2","0.47","1.42"
"marschall/sets","14","1","0.6","1.2"
"MartinanderssonDotcom/money-profiling","23","0","","0.71"
"matthew-dailey/java-playaround","11","0","","0.16"
"maxdemarzi/ChronicleGraph","8","0","","0.0"
"maxdemarzi/graph_processing","7","1","1.12","2.25"
"maxdemarzi/GuancialeDB","10","0","","0.06"
"maxdemarzi/neo_dislikes","2","0","","0.0"
"maxifier/mxcache","8","0","","0.04"
"maximenajim/nashorn-react-jmh-microbenchmark","1","0","","0.0"
"mbosecke/pebble-benchmark","3","0","","0.0"
"mbosecke/template-benchmark","8","2","0.35","1.04"
"meghana0507/grpc-java-poll","36","0","","0.0"
"melix/jmh-gradle-plugin","7","1","2.29","4.59"
"Mercateo/json-schema","2","2","0.55","1.65"
"Mercateo/reflection","3","1","0.37","0.74"
"Mercateo/rest-schemagen","2","4","0.66","3.29"
"MeteoGroup/jbrotli","5","0","","1.33"
"michaelhixson/jmh-benchmark-listof","44","0","","0.0"
"michaljonko/blog-examples","12","2","0.31","0.92"
"micrometer-metrics/micrometer","14","1","1.16","2.31"
"mikeb01/scratch","5","0","","0.01"
"mikvor/hashmapTest","1","2","0.81","2.42"
"mjeffrey/log-sanitizer","6","0","","0.0"
"mkraemerx/algorithm-art","1","0","","0.06"
"Mojang/blixtser","16","0","","0.0"
"mono-plane/presto","5","0","","0.56"
"MorganBauer/java-experiments","6","0","","0.0"
"moves-rwth/attestor-examples","160","0","","1.51"
"MovingBlocks/gestalt","0","0","","2.26"
"mox601/mybatis-pool-jmh","1","0","","0.0"
"mp911de/logstash-gelf","16","2","0.97","2.92"
"msteindorfer/criterion","101","6","0.51","3.6"
"msteindorfer/oopsla15-artifact","22","0","","0.38"
"mweirauch/micrometer-jvm-extras","2","0","","0.45"
"myzhan/locust4j","1","0","","0.51"
"Nawy/UnsafeCollections","8","0","","0.0"
"neo4j-contrib/neo4j-graph-algorithms","78","2","0.77","2.3"
"neo4j-contrib/neo4j-jdbc","7","2","1.13","3.39"
"neowu/core-ng-demo-project","47","3","0.59","2.36"
"neowu/core-ng-project","0","1","1.85","3.71"
"nesteant/java-tests","14","0","","1.71"
"Netflix/Hystrix","40","7","0.44","3.56"
"Netflix/spectator","68","1","2.53","5.05"
"netty/netty","183","7","0.64","5.15"
"netzwerg/paleo","2","1","0.89","1.79"
"nextopcn/lite-pool","12","0","","0.33"
"nickman/json-benchmark","32","0","","0.0"
"nickman/UnsafeAdapter","7","0","","0.0"
"nicoulaj/jmh-utils","7","5","0.71","4.25"
"nielsbasjes/yauaa","15","3","0.69","2.78"
"nikarh/equals-builder","15","0","","0.06"
"nithril/packedobject-test","2","0","","0.0"
"nithril/sandbox-query-benchmark-jooq-hibernate-jdbc","10","0","","0.23"
"nitsanw/jmh-samples","19","2","0.26","0.78"
"nitsanw/safepoint-experiments","18","1","0.03","0.06"
"nobeh/jmh-forked-main-threads","1","0","","0.0"
"nom-tam-fits/nom-tam-fits","2","0","","3.61"
"notsyncing/cowherd","0","0","","1.22"
"notsyncing/lightfur","1","0","","1.22"
"npetzall/persistent-queue","15","0","","0.0"
"nstdio/libpgn","0","1","0.9","1.79"
"numenta/htm.java","3","0","","3.98"
"oblac/jodd","46","3","0.68","2.72"
"octabase/fnr-java","6","0","","0.0"
"opendaylight/controller","12","3","1.24","4.97"
"opendaylight/yangtools","9","2","1.66","4.98"
"OpenFeign/feign","8","4","0.86","4.29"
"OpenHFT/Chronicle-Algorithms","4","1","1.98","3.96"
"OpenHFT/Chronicle-Logger","4","0","","1.87"
"OpenHFT/Chronicle-Wire","35","0","","3.97"
"OpenHFT/jvm-micro-benchmarks","29","0","","0.08"
"openzipkin/zipkin","73","7","0.44","3.56"
"openzipkin/zipkin-reporter-java","10","5","0.49","2.94"
"optimatika/ojAlgo-linear-algebra-benchmark","16","4","0.55","2.77"
"optimizely/java-sdk","20","0","","3.07"
"orfjackal/cqrs-hotel","6","1","1.05","2.1"
"orientechnologies/orientdb","0","0","","5.06"
"outbrain/prometheus-client","34","0","","0.95"
"PacktPublishing/Mastering-Mesos","9","0","","0.04"
"palantir/atlasdb","65","0","","2.89"
"paninij/paninij","1","1","1.3","2.6"
"paritytrading/parity","7","2","0.99","2.97"
"paritytrading/philadelphia","31","2","1.3","3.9"
"patrickfav/bytes-java","1","0","","0.62"
"pdemanget/examples","2","0","","2.83"
"peptos/traffic-shm","2","0","","0.0"
"person-lee/nlp","18","0","","0.3"
"peterszatmary/jmh-benchmark-demo","2","0","","0.0"
"pgjdbc/pgjdbc","0","4","0.82","4.09"
"PhantomThief/more-lambdas-java","2","0","","0.04"
"PhantomThief/scope","6","0","","0.1"
"PhantomThief/simple-failover-java","2","0","","0.14"
"PhillHenry/palgorithms","3","0","","0.3"
"pietermartin/sqlg","10","1","1.94","3.87"
"Pitt112/night-hawk","2","0","","0.44"
"planetsizebrain/stringbundler-tests","29","0","","0.03"
"pombreda/btrace-hg","9","0","","0.0"
"prasanthj/bloomfilter","11","2","1.17","3.51"
"prasanthj/hasher","18","0","","2.34"
"presidentio/test-data-generator","9","0","","2.58"
"prestodb/presto","262","0","","4.98"
"prestosql/presto","257","0","","4.98"
"promeG/TinyPinyin","8","0","","1.48"
"prometheus/client_java","33","0","","4.62"
"protobufel/multikeymapjava","8","0","","0.4"
"protobufel/protobuf-el","7","1","1.34","2.67"
"protostuff/protostuff","16","0","","4.06"
"puniverse/quasar","29","17","0.24","4.26"
"Querables/querables-java","5","0","","0.0"
"rabbitmq/rabbitmq-perf-test","2","1","0.77","1.55"
"rafamonteiro/SerializationProtocolsBenchMark","16","0","","0.0"
"raphw/byte-buddy","39","10","0.45","4.94"
"raviprak/JAVABench","11","1","0.99","1.99"
"raydac/java-binary-block-parser","3","3","0.47","1.88"
"reactiverse/reactive-pg-client","0","0","","0.3"
"ReactiveX/RxJava","217","4","1.03","5.14"
"ReactiveX/RxJavaParallel","11","0","","0.07"
"reactor/reactive-streams-commons","157","0","","3.22"
"reactor/reactor-core","13","1","1.11","2.22"
"reaktivity/nukleus-tcp.java","2","1","1.27","2.53"
"reaktivity/nukleus.java","6","0","","2.2"
"real-logic/benchmarks","27","14","0.26","3.97"
"real-logic/simple-binary-encoding","4","10","0.44","4.88"
"reific/braid","11","0","","0.0"
"relayrides/pushy","2","2","1.03","3.1"
"ReneNeubert/gradle-java-template","12","0","","0.03"
"renoth/texxxxas","2","0","","0.0"
"requery/requery","2","2","1.17","3.52"
"rerorero/oleoleflake","1","0","","0.06"
"resilience4j/resilience4j","15","3","0.89","3.56"
"restfb/restfb-benchmark","3","0","","0.0"
"rgorodischer/microbenchmarks","4","0","","0.36"
"RichardWarburton/java-final-benchmark","34","0","","0.0"
"rkraneis/rtree","33","2","0.13","0.38"
"rmpestano/cukedoctor","1","0","","3.47"
"rnc/jmh-benchmarks","2","0","","0.0"
"RoaringBitmap/RoaringBitmap","265","5","0.72","4.34"
"robinst/autolink-java","1","4","0.8","4.01"
"robinst/microbenchmarks","11","2","0.45","1.35"
"rodolfodpk/myeslib2","2","0","","0.39"
"rolve/better-checks","3","0","","0.43"
"rsby/gunmetal","2","0","","0.0"
"rslemos/cobolg","3","0","","0.16"
"rslemos/pet-grammars","1","1","0.72","1.45"
"rsocket/rsocket-java","16","5","0.66","3.97"
"RTBHOUSE/avro-fastserde","40","1","1.06","2.12"
"RTBHOUSE/neural-network-native-ops","11","0","","2.0"
"ruediste/salta-benchmark","8","0","","0.08"
"runidle/runidle-testing","9","0","","0.0"
"ruslan-sverchkov/aho-corasick","10","0","","0.0"
"rxin/jvm-unsafe-utils","3","0","","0.0"
"rybalkinsd/atom","0","0","","2.13"
"s4ke/moar","7","0","","0.92"
"sajato/logw","13","0","","0.81"
"salyh/jsr353-benchmark","72","3","0.24","0.97"
"Sandyarathi/Lab2gRPC","36","0","","0.0"
"sangupta/gather","2","0","","0.36"
"sboesebeck/morphium","12","1","1.69","3.39"
"sbwdlihao/chainj","1","0","","0.1"
"scalecube/scalecube","0","0","","1.22"
"SeanPMiller/containers","16","0","","0.01"
"SerCeMan/jmh-spring","1","0","","0.0"
"sergiomt/judal","0","0","","1.56"
"shalinmangar/solr-jmh-tests","10","0","","0.04"
"shunfei/indexr","48","0","","2.56"
"simonpatrick/stepbystep-java","13","0","","0.04"
"SlimRoms/android_external_okhttp","8","0","","1.85"
"smoketurner/graphiak","1","0","","0.04"
"smoketurner/notification","6","7","0.41","3.26"
"smoketurner/uploader","1","6","0.41","2.89"
"snazy/ohc","8","6","0.63","4.4"
"snikiforov4/try-geolocation","2","0","","0.0"
"SoatGroup/benchamrk-lambda","14","0","","0.0"
"SonarSource/sonarqube","0","0","","4.48"
"sparkoo/Java-Grande-JMH","93","1","0.48","0.95"
"spiffykahuna/TIJ4-code_idea","13","0","","0.0"
"spotify/apollo","1","2","1.25","3.76"
"spotify/completable-futures","4","0","","2.26"
"spotify/missinglink","3","0","","3.85"
"spotify/netty-zmtp","6","2","0.37","1.1"
"spotify/sparkey-java","10","0","","0.0"
"spriet2000/handlers","1","0","","0.58"
"spriet2000/vertx-http-router","2","0","","1.07"
"spring-cloud/spring-cloud-sleuth","19","1","1.69","3.38"
"springside/springside4","3","0","","1.51"
"square/okio","32","0","","4.46"
"Squarespace/less-compiler","1","0","","1.56"
"Squarespace/template-compiler","27","1","1.9","3.8"
"SquidPony/SquidLib","269","4","0.76","3.81"
"srvaroa/jbcnconf","21","0","","0.02"
"ssaarela/javersion","8","1","0.81","1.61"
"stagemonitor/stagemonitor","7","1","2.14","4.28"
"stewsters/stewsters-util","4","2","0.52","1.55"
"structlogging/structlogger","55","0","","0.28"
"sujanctg2005/test-project","1","0","","0.79"
"Swrve/rate-limited-logger","3","0","","4.42"
"sybila/ode-generator","0","0","","3.21"
"taichi/jmh-gradle-ide","3","0","","0.01"
"taichi/json-benchmarks","47","0","","0.01"
"takari/bpm","3","0","","3.04"
"tallerjavaunicen/TallerJava","3","1","0.98","1.95"
"taojiaenx/netty-source-study","32","0","","0.0"
"tdunning/t-digest-benchmark","4","0","","0.38"
"Techcable/Event4J","3","0","","0.26"
"TechEmpower/misc","4","0","","0.02"
"tempredirect/GeoFun","4","0","","0.0"
"terma/fast-select","48","2","0.58","1.75"
"terma/mutable-fast-select","4","0","","0.0"
"thaibui/algorithms-core","35","0","","1.65"
"thejotta/CloudSimPlusModificado","3","0","","0.74"
"thesmythgroup/SiftXml","3","0","","0.55"
"ThomasKrieger/benchmarks","21","0","","1.42"
"ThreeTen/threeten-bench","11","0","","0.02"
"thymeleaf/thymeleaf-benchmarks","20","1","1.02","2.04"
"tinyj/tinyj-lazy","4","0","","0.46"
"titorenko/quick-csv-streamer","5","3","0.6","2.39"
"tkowalcz/openjdk-jmh","6","0","","0.0"
"tkowalcz/presentations","8","0","","0.36"
"tmontgomery/nuklei","4","0","","0.08"
"tobijdc/PRNG-Performance","21","0","","2.63"
