"version","count","countShortLived","countLongLived"
"1.5","3","0","3"
"1.6","77","46","31"
"1.7","105","62","43"
"1.8","327","157","170"
"9","11","3","8"
"10","2","0","2"
"11","7","0","7"
"12","2","0","2"
