"project","commits","useJmhSince"
"marschall/sets","5","1.2"
"micrometer-metrics/micrometer","29","2.31"
"maxdemarzi/GuancialeDB","2","0.06"
"C0rWin/Java-KMeans-Coreset","4","0.92"
"vgalloy/autocatch","2","0.08"
"Pitt112/night-hawk","5","0.44"
"krystian-k/java-feature-bench","5","1.05"
"eseifert/gral","8","2.92"
"easymock/objenesis","25","4.26"
"lexas2509/perf","1","0.0"
"mourao666/cassandra-sim","6","0.46"
"nickman/UnsafeAdapter","1","0.0"
"reactor/reactor-core","28","2.22"
"sajato/logw","5","0.81"
"Leibnizhu/spring-boot-starter-netty","5","1.12"
"jvz/nio-logger","1","0.0"
"akarnokd/RxJava2Extensions","27","2.47"
"apache/aurora","53","4.62"
"blynkkk/blynk-server","44","3.55"
"coconut2015/cookjson","3","0.42"
"davidmoten/hilbert-curve","6","2.32"
"mbosecke/template-benchmark","11","1.04"
"iksmada/DC-UFSCar-ES2-201601-GrupoDilema","2","0.06"
"RodrigoRubino/DC-UFSCar-ES2-201601-Grupo-Brainstorm","2","0.07"
"nextopcn/lite-pool","4","0.33"
"opendaylight/controller","61","4.97"
"ReneNeubert/gradle-java-template","3","0.03"
"sboesebeck/morphium","38","3.39"
"awood/crl-stream","8","2.21"
"akarnokd/ixjava","6","1.22"
"apache/orc","29","2.29"
"federicotg/hashing","2","0.59"
"tallerjavaunicen/TallerJava","6","1.95"
"dropwizard/metrics","50","4.89"
"XueweiKent/LockedTransaction","3","0.1"
"reific/braid","1","0.0"
"arnaudroger/sfm-csv-variability","3","0.08"
"nitram509/intellij-idea-plugin-serializer-toolbox","1","0.0"
"benalexau/hash-bench","4","2.5"
"tkowalcz/presentations","4","0.36"
"RTBHOUSE/neural-network-native-ops","5","2.0"
"jerrinot/FieldMagic","2","0.01"
"asimihsan/jmh-gradle-anagrams","1","0.0"
"zzuhtzy/okio-source-read","1","0.0"
"addthis/codec","20","4.85"
"dryuf/dryuf-concurrent","6","3.11"
"davidmoten/kool","7","0.83"
"davidmoten/rxjava2-extras","26","2.61"
"Domo42/saga-lib","6","2.27"
"Gilandel/utils-assertor","11","1.25"
"Graylog2/graylog-plugin-pipeline-processor","25","1.98"
"d0k1/groovy-eval-bench","5","0.92"
"volodarsky/zephyr-benchmark","4","0.31"
"jenetics/prngine","13","4.56"
"marschall/charsequences","9","2.63"
"n1analytics/javallier","9","1.48"
"plokhotnyuk/scala-vs-java","2","0.08"
"openzipkin/zipkin-reporter-java","34","2.94"
"pietermartin/sqlg","46","3.87"
"prasanthj/bloomfilter","5","3.51"
"Mart-Bogdan/vertx-hello","3","0.22"
"spotify/sparkey-java","1","0.0"
"raviprak/JAVABench","8","1.99"
"addthis/basis","22","4.3"
"airlift/airlift","35","2.97"
"Zappos/zappos-json","1","0.0"
"codesorcery/juan","2","0.04"
"jmnarloch/trie","1","0.0"
"Querables/querables-java","1","0.0"
"hibernate/hibernate-validator","33","2.8"
"JabRef/jabref","41","3.31"
"Jiri-Kremser/inventory-benchmark","2","0.01"
"spiffykahuna/TIJ4-code_idea","1","0.0"
"joyent/java-http-signature","10","1.91"
"manoelcampos/cloudsim-plus","33","2.88"
"opendaylight/yangtools","61","4.98"
"debmalya/vigilant-tribble","1","0.0"
"pombreda/btrace-hg","1","0.0"
"mikvor/hashmapTest","6","2.42"
"kno10/reversegeocode","4","0.78"
"vietj/reactive-pg-client","18","1.63"
"vladimir-bukhtoyarov/bucket4j","32","4.11"
"vladimirdolzhenko/gflogger","8","1.83"
"vlsi/compactmap","2","4.08"
"wavesoftware/java-eid-exceptions","5","2.75"
"apache/commons-csv","44","4.54"
"fenderstr/my-bench","2","0.0"
"chrisvest/object-pool-benchmarks","7","1.06"
"igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano","3","0.12"
"cryptomator/cryptolib","24","2.82"
"maxdemarzi/graph_processing","5","2.25"
"dropwizard/dropwizard","53","4.31"
"BrentDouglas/vial","3","0.21"
"kvr000/zbynek-concurrent-pof","3","0.06"
"Javalbert/faster-than-reflection","2","0.01"
"jchambers/jvptree","4","1.69"
"jhawo82882/MDP3Sample","4","0.19"
"akarnokd/reactive-streams-impl","1","0.0"
"jpaw/fixedpoint","19","4.82"
"ConSol/parallel-streams-example","2","0.03"
"victor-cr/threadlocal-benchmark","3","0.12"
"lucwillems/JavaLinuxNet","6","4.09"
"marschall/line-parser","5","1.37"
"vongosling/jvm-serializer","2","0.02"
"fbaro/jpack","3","0.16"
"maxifier/mxcache","2","0.04"
"pdemanget/examples","8","2.83"
"spriet2000/vertx-http-router","3","1.07"
"OpenFeign/feign","47","4.29"
"pinterest/jbender","9","0.76"
"promeG/TinyPinyin","6","1.48"
"protobufel/multikeymapjava","3","0.4"
"nicoulaj/jmh-utils","8","4.25"
"jasobrown/barker","14","4.61"
"snazy/ohc","15","4.4"
"ssaarela/javersion","10","1.61"
"blemale/fuse","1","0.0"
"TridentSDK/Trident","34","2.99"
"sormuras/treasure","4","0.35"
"ruslan-sverchkov/aho-corasick","1","0.0"
"apache/incubator-gobblin","31","2.48"
"PacktPublishing/Mastering-Mesos","2","0.04"
"immutables/samples","11","2.43"
"ceki/logback-perf","4","0.86"
"d0k1/jitloganalyzer","1","0.0"
"Devexperts/dlcheck","7","2.09"
"Gilandel/utils-commons","14","1.25"
"ben-manes/caffeine","56","4.61"
"epickrram/jvm-warmup-talk","3","0.12"
"tdunning/t-digest-benchmark","2","0.38"
"CrispOSS/prime-sieves","3","0.16"
"neo4j-contrib/neo4j-jdbc","25","3.39"
"MaridProject/typedmap","3","0.16"
"LiveMyKarma/Finalizer","3","0.55"
"melix/jmh-gradle-plugin","31","4.59"
"epickrram/lock-contention","1","0.0"
"rslemos/pet-grammars","4","1.45"
"paritytrading/parity","31","2.97"
"protobufel/protobuf-el","6","2.67"
"s4ke/moar","3","0.92"
"komiya-atsushi/fast-rng-java","7","2.81"
"finn-no/serdes-shootout","1","0.0"
"rxin/jvm-unsafe-utils","1","0.0"
"coder-press/crazy-soap","1","0.0"
"apache/kafka","30","2.39"
"batterseapower/btreemap","3","2.35"
"codahale/gimli","8","1.0"
"codahale/xsalsa20poly1305","21","1.92"
"jayjaylab-benchmark/retrofitvsokhttp","3","0.11"
"d0k1/acache","4","0.72"
"thymeleaf/thymeleaf-benchmarks","8","2.04"
"nitsanw/jmh-samples","5","0.78"
"michaelhixson/jmh-benchmark-listof","1","0.0"
"FIXTradingCommunity/silverflash","8","1.03"
"prasanthj/hasher","3","2.34"
"huxi/sulky","33","2.62"
