project;commit;benchmark;params;f1;f2;f3;f4;f5
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40;;17;5;19;5;16
jenetics;;io.jenetics.util.SeqPerf.arrayList_set;;5;5;5;5;5
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160;;18;5;15;5;21
jenetics;;io.jenetics.util.SeqPerf.arrayList_contains;;13;5;12;5;8
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160;;14;5;19;5;15
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10;;23;5;23;5;18
jenetics;;io.jenetics.util.SeqPerf.mseq_get;;5;5;9;5;5
jenetics;;io.jenetics.util.SeqPerf.arrayList_forLoop;;12;5;13;5;17
jenetics;;io.jenetics.util.SeqPerf.mseq_copy;;7;5;9;5;7
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20;;24;5;24;5;20
jenetics;;io.jenetics.util.SeqPerf.array_copy;;5;5;5;5;5
jenetics;;io.jenetics.util.SeqPerf.array_get;;5;5;5;5;5
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort160;;18;5;13;5;16
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20;;22;5;23;5;22
jenetics;;io.jenetics.util.SeqPerf.mseq_set;;5;5;5;5;5
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250;;12;5;19;5;25
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort250;;19;5;12;5;22
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort320;;19;5;16;5;15
jenetics;;io.jenetics.util.SeqPerf.arrayList_forEachLoop;;9;5;8;5;14
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40;;20;5;19;5;13
jenetics;;io.jenetics.util.SeqPerf.array_forLoop;;5;5;5;5;5
jenetics;;io.jenetics.util.SeqPerf.array_set;;5;5;5;5;5
jenetics;;io.jenetics.util.ThreadIDPerf.getThreadId;;15;5;28;5;28
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15;;27;5;28;5;23
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort250;;20;5;14;5;17
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort320;;17;5;18;5;14
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80;;19;5;19;5;19
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10;;21;5;20;5;19
jenetics;;io.jenetics.util.SeqPerf.mseq_forEachLoop;;7;5;10;5;5
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort80;;15;5;19;5;8
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15;;25;5;24;5;27
jenetics;;io.jenetics.util.ThreadIDPerf.getThread;;18;5;25;5;25
jenetics;;io.jenetics.util.SeqPerf.arrayList_get;;15;5;16;5;6
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250;;22;5;26;5;23
jenetics;;io.jenetics.util.SeqPerf.mseq_forLoop;;7;5;5;5;15
jenetics;;io.jenetics.util.SeqPerf.arrayList_copy;;8;5;5;5;5
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80;;26;5;23;5;9
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort160;;18;5;18;5;18
jenetics;;io.jenetics.util.SeqPerf.mseq_contains;;13;5;17;5;15
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort80;;18;5;12;5;20
