"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerCreation.init","0","","0","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","1","","1","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","false","","false","false","","false","false","","false","true","","true","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","","false","51dc107ae87ce93d66c18cb9cc4802e572402325cfb948e6f04d32933f716939"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerCreation.create","0","","0","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","1","","1","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","false","","false","false","","false","false","","false","true","","true","fr.inria.atlanmod.neoemf.benchmarks.runner.state.RunnerState","1","false","false","false","false","false","r=fr.inria.atlanmod.neoemf.benchmarks.runner.state.RunnerState&a=fr.inria.atlanmod.neoemf.benchmarks.runner.state.RunnerState&o=fr.inria.atlanmod.neoemf.benchmarks.runner.state.RunnerState","r=set1&r=set2&r=set3&r=set4&r=set5&a=xmi&a=cdo&a=neo-mapdb&a=neo-berkeleydb&a=neo-tinker&a=neo-neo4j&o=a","3","3","","false","69c81467f2f616070c41f1ffddd8b1b248acb1897266742190f7054c0a91d6e5"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.traverse","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Long","false","3545a13ff567e3d4b8b866d90319f9be0fcf18010b8e780bd4a8e23238877a69"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.classDeclarationAttributes","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","617a09ba929e836884692f0ee5cad381d88ac96d5608d9b7d4a545c1a0ae3e83"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.grabats","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","775fc0ad8b50b45b13c821ece45941a4dbc2086875ac030547d0447de958ed85"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.invisibleMethodDeclarations","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","b2771e617670494f20267598b909b4fc77afc9aac1293d38d381966aff7d5a3a"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.orphanNonPrimitiveTypes","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","348edcdac05cfbbbadf2d62e189fd485b249d023489798a3be919c9504f45923"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.thrownExceptionsPerPackage","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","f308a92a48c0ed3a5892dfe3a426f3b0f5d547017fc2fb3a8f4cc89f962e26eb"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.unusedMethodsWithList","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","cb3a782b934f884efc11e27379f41c7bd77a6cebd7e1ffa2827dbeac2f477eab"
"atlanmod/NeoEMF","b1fc65fed77088d57942b0a39254c910e2131758","1490997600","1.18","1.8","1.8","fr.inria.atlanmod.neoemf.benchmarks.runner.RunnerQuery.unusedMethodsWithLoop","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","BOTH_UNSET","BOTH_UNSET","BOTH_UNSET","","","","","","","","","","","","","","","","","","","fr.inria.atlanmod.neoemf.benchmarks.runner.state.ReadOnlyRunnerState","1","false","false","false","false","false","","","0","0","java.lang.Integer","false","7e14f7725138f2d692507d52fe428545ce6f5b0894db359cd23764f4a22d4720"
