project;commit;benchmark;params;f1;f2;f3;f4;f5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;23;25;29;22;15
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;5;9;2147483647;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;6;8;5;23;20
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;7;34;37;26;7
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;43;2147483647;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;14;9;15;21;20
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist;;19;16;18;22;18
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline;;33;5;9;41;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib;;30;29;29;32;32
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool;;2147483647;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist;;5;13;10;6;6
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix;;47;37;20;6;19
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy;;28;28;5;5;46
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy;;50;20;35;50;16
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline;;9;8;17;13;14
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.baseline;;24;17;15;26;25
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy;;48;43;46;2147483647;40
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib;;5;5;44;37;6
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy;;13;19;27;19;11
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline;;18;20;27;23;21
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor;;38;2147483647;2147483647;5;47
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib;;17;14;17;16;12
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist;;5;14;5;12;17
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist;;2147483647;2147483647;2147483647;5;2147483647
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized;;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy;;18;8;14;18;18
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator;;5;5;5;5;5
