project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;0.0011280521517062026;0.0011570665204602383;0.001134482922184441;0.001162038948589727;0.02364597724735851;0.07947928078881215;0.04849448858434249;0.07436450865955986;0.13274921259288705;0.027329993167651844;0.13166419934642387;2.1232625149739446E-59;8.187118990541321E-4;1.8026107288010125E-58;1.018245;0.9899609;1.044145;0.9982469;0.9889352;1.007601;1.03914;1.005394;1.068231
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;7.802819065906586E-4;6.137321316131625E-4;7.609505792000021E-4;7.627504510451026E-4;0.10016036500898666;0.15918867810809595;0.2793511040486148;0.29631739854156464;0.338778952402691;0.04645916591659166;0.04086228204778674;0.0;1.2720463283813695E-8;5.609109293795768E-7;0.7897474;0.7677583;0.8075613;0.9756264;0.8960655;1.054694;0.9816151;0.8833137;1.090559
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;0.0023341278905562165;0.0025565600962481325;0.0023582314327731087;0.002591400480040022;0.03743752478836234;0.10074139762854914;0.08877733948775708;0.17067740862395117;0.43879512785604485;0.035615536730898845;0.23794818746442878;0.0;1.2946164904416815E-5;1.3968524954992291E-186;1.088942;1.042321;1.131227;1.008796;0.9960691;1.021644;1.096617;1.020243;1.226829
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;3.5493592310770964E-8;3.977844551281847E-8;3.655220742816886E-8;3.6449564259238535E-8;0.09586256613079223;0.2163942406986693;0.1422972580509741;0.12455545947817935;0.09223564270714601;0.050415328707794034;0.034956734564440525;1.4987411999992408E-29;6.790851911130503E-10;1.8804634533347295E-5;1.138008;1.04949;1.182946;1.025009;0.9974374;1.043015;1.008873;1.000079;1.014374
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;0.005354989173028757;0.005755196779589811;0.005235995435388482;0.005376139326119676;0.03507843178907056;0.04158589963504149;0.019665367761109272;0.0416896045487467;0.44905341158706796;0.297367142934985;0.0799564103248188;0.0;9.182297535748728E-290;1.293025164267151E-22;1.076218;1.066981;1.081347;0.9866476;0.9704876;0.9920324;1.009317;1.008852;1.009695
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;6.923277243590154E-9;6.978239069394719E-9;7.068657913200924E-9;7.2688139674900225E-9;0.04801619954346428;0.05332708868391875;0.014562027740600633;0.08288928125061991;0.004196033750269987;0.143306236957181;0.14067171529289502;0.6077215383200666;7.910651657769759E-69;2.3128313348875894E-66;1.008233;0.9979838;1.032573;1.023913;1.019725;1.036204;1.043853;1.035132;1.089959
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;9.964198859657917E-5;9.880564376437669E-5;9.935080364109294E-5;1.0039540914091347E-4;0.0411964276684734;0.044499241615997394;0.040705879562859454;0.044040765729270945;0.09190824053896837;0.041141871420083624;0.04208528906917705;2.1880763817406877E-29;4.705498800001128E-7;2.557072646912219E-7;0.9971561;0.9947336;1.002302;0.9959185;0.9953349;0.9978109;1.00674;1.004323;1.013046
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;1.4529368456845737E-4;1.5920902071450007E-4;1.4477070107010676E-4;1.4667822079999932E-4;0.01734123924554987;0.12703929909352224;0.020692136532328598;0.03650563182876664;0.26155515581579175;0.04924807912334388;0.004059045904590459;4.645970642013408E-225;1.6276590881838774E-9;0.619115214553587;1.078787;1.037307;1.151042;0.9956988;0.992182;1.00013;1.013608;1.002356;1.026065
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;8.721756160000059E-4;9.84080088061646E-4;8.883373056000054E-4;9.343857607042852E-4;0.037507063310742106;0.22791038834951446;0.09439306012723751;0.10653513759955326;0.31139050335234664;0.02347979;0.25529630852340934;4.117405E-318;0.0040325610711368825;1.469079276556282E-214;1.130974;1.041646;1.287895;1.022596;0.9987797;1.044682;1.06771;1.033088;1.105392
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;4.256126838051587E-8;4.2037137137139023E-8;3.551211696375022E-8;3.537585034013687E-8;0.4329104377184779;0.41663148481391526;0.019566763156506732;0.02138723411487764;0.0045803731109322786;0.3616674327353283;0.3759377112853744;0.574945860965382;0.0;0.0;0.9907154;0.8588179;1.007338;0.8314442;0.6417428;1.004187;0.8279976;0.6412656;1.00187
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist;;2.2366097920000066E-4;2.2210127785557193E-4;2.238277799559913E-4;2.12187695756605E-4;0.05498999031664706;0.06617039097146905;0.0714029212081666;0.054231057982957166;0.05044061812362473;0.0019530706141228245;0.22262400756940087;6.523787685890236E-10;0.8109633894257262;1.3767024223385092E-163;1.00157;0.9934432;1.017227;1.013355;1.006619;1.019514;0.9521655;0.9507555;0.9587362
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline;;7.319491695017377E-9;7.12459935897467E-9;7.334068136272895E-9;7.032002407705044E-9;0.22929186574354585;0.10364319657979591;0.23175091585680208;0.12094433931869435;0.13257225168434394;0.006094027157777632;0.23825862570129366;3.229648500499677E-59;0.45575277391679847;7.689136858656399E-187;0.9476529;0.8723957;0.9995211;0.9723331;0.9514321;0.9954084;0.9318392;0.8332603;0.9982478
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib;;0.0015375000332698565;0.0015351698351714455;0.0015305482383575356;0.0015412645550431053;0.005315865709511641;0.017587249065304913;0.009829229871607208;0.017697754452657893;0.06933146935615123;0.08722478446600655;0.01000114830529712;2.2299776315802965E-17;1.3626926224895325E-26;0.221184662891029;1.000261;0.9918819;1.004205;0.9964869;0.9935931;0.9977507;1.002529;0.9958217;1.011175
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool;;9.688931895568709E-4;0.0010769831900760362;9.828378017405239E-4;0.001067821116223249;0.024017392195700992;0.16630384228628997;0.04242276971309581;0.12473306629944103;0.5459048278709303;0.14817707290780813;0.3058978342287105;0.0;1.4131533069868748E-73;4.429981603962634E-307;1.098522;1.009695;1.174637;1.017935;1.00426;1.032961;1.088681;1.038452;1.145533
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;0.006217512526252551;0.006713547323458681;0.00622336640628428;0.006472274981192397;0.05535632738493283;0.047089873944208;0.057797900716021484;0.0663503011067709;0.6202951760348172;0.11795863865381835;0.4761127985314598;0.0;2.7480203303224695E-47;0.0;1.083687;1.076217;1.085635;1.025792;0.992421;1.084713;1.034573;1.024937;1.042543
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist;;0.0013947434205682247;0.0010104269542771387;0.001274093568000004;0.0010661814864459304;0.058930699477022085;0.14167681585815248;0.09276601754478868;0.1221999056867943;0.8718113258309828;0.335490756302521;0.8081904519350604;0.0;0.0;0.0;0.7285184;0.690923;0.7575135;0.9329155;0.9189155;0.9579615;0.7589358;0.7324131;0.7821153
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix;;7.043143143143649E-9;7.0711494137694285E-9;7.074887218045633E-9;7.005304243395236E-9;0.018016983528160706;0.029044308204213498;0.03155433127056476;0.01752370394008609;0.015201893947259215;0.006273892940559607;0.0014500934748800543;0.06283548465815204;0.4426655904314458;0.8591212791345761;1.006733;1.001979;1.019144;1.002051;0.9986353;1.006704;1.000494;0.9990573;1.002701
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy;;6.480393216000015E-4;7.176146712027228E-4;6.562100050005007E-4;7.53741437631287E-4;0.04524995765767635;0.204985114490613;0.0954687954762797;0.21285075535524095;0.23777848709225535;0.025504070407040703;0.32364509312785833;2.2065539191708023E-186;0.0017874923753068742;0.0;1.089596;0.9948188;1.182701;1.006444;0.9786972;1.038764;1.129153;1.067735;1.231583
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy;;7.242915790528082E-9;7.390695347674154E-9;7.097029901666144E-9;7.167783891946458E-9;0.1246931749555601;0.15317164653964926;0.020646126188433908;0.038151804447647854;0.12451742042043351;0.13178610218570114;0.09416780841136069;1.8336999728348347E-52;1.815101609796482E-58;9.378954072190706E-31;0.9811901;0.9546304;1.007839;0.9681564;0.9070165;0.9986371;0.9886788;0.9414723;1.00819
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline;;3.5712471247126564E-8;3.5878202562051634E-8;3.583163163163358E-8;3.5422853712227914E-8;0.039538108406646316;0.04154153861327041;0.04324032388166755;0.03148204415790338;0.03640697336346925;0.027724664358327725;0.21087323664087373;8.280114520253398E-6;6.874277025432331E-4;5.633371559847995E-147;0.9887683;0.9861797;0.9910581;0.9896749;0.9863039;0.9928099;0.9818777;0.9757264;0.9901557
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy;;0.005328633715001475;0.005881170397637386;0.005405525678156248;0.005535288550315329;0.013722886315783868;0.061663887589279834;0.03906161029495492;0.057390703275616545;0.7113478900344844;0.38975317103793716;0.3916227413746845;0.0;0.0;0.0;1.097257;1.069107;1.12582;1.013384;1.000331;1.030982;1.038308;1.018991;1.060323
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool;;9.898720608121701E-4;0.0011177839295436352;0.00100387857411483;0.0010748441912382491;0.030034005381640562;0.0973032982614554;0.07057777707226288;0.08728492721181164;0.6636011649888024;0.1443095280388344;0.49606111317310986;0.0;6.88781028053868E-70;0.0;1.152328;1.078216;1.238922;1.012393;0.995026;1.039084;1.076028;1.031385;1.115818
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.baseline;;5.003500350034352E-9;5.002600780233421E-9;5.00780156031141E-9;5.0055016504944996E-9;0.0016102197089533261;0.001548574919282918;0.003793415507695207;0.0020385478123767743;4.992196728925668E-4;6.996998959747945E-4;0.0010008003401220406;0.9512524678110279;0.9317153829319773;0.9024601865116024;1.000765;1.000179;1.001152;1.001156;1.0;1.003812;1.000561;1.000025;1.002635
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy;;1.1613083925176251E-8;1.164948969381496E-8;1.1654396318894352E-8;1.1750499999998728E-8;0.0784788126478813;0.07068254624633019;0.08275788165198567;0.06714070914168892;0.0022929032001575657;4.4934956930011886E-4;0.03637421968787515;0.7789006782897085;0.9561191631932088;8.4145021244325E-6;1.006932;0.9965647;1.014015;1.015135;0.9970971;1.022035;1.015625;1.007617;1.019768
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib;;2.8520228319646934E-8;2.8718762515016686E-8;2.878814577492941E-8;2.8987785342410368E-8;0.06028434857212893;0.0644993684125709;0.08784436028811181;0.06552842446278705;0.11440112071998916;0.024326728625522268;0.006282112939693464;1.5206262486285027E-44;0.0029071221430435113;0.4419651224245964;1.009459;1.006673;1.012703;1.003672;0.9976049;1.011757;1.028911;1.021816;1.030276
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy;;5.0056016805035E-9;5.004201680671621E-9;5.004600460045354E-9;5.011403421025654E-9;0.002831023591530318;0.0015506732439725362;0.0020339255342276047;0.008054712823128337;0.0012004501710657254;2.0231091829799164E-4;6.996397208649441E-4;0.883135879107555;0.9802345688943818;0.9317263506601783;0.9984319;0.9920486;0.9999341;0.9983547;0.9912507;0.9998717;0.9978085;0.9902057;0.999562
