project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
rxjava;;io.reactivex.XMapYPerf.obsFlatMapMaybe0;times=1;8.40E-04;0.005338386;0.0150587;0.001440036;0.005852471;0.918094938;0.513314546;0.065192236;0.860039764;0.473588273;0;0.001258;0.00177;0.006742;0.005478
rxjava;;io.reactivex.CallableAsyncPerf.pipelineCompletable;;0.15710719;0.161706241;0.091080958;0.0216897;0.00208968;1.67E-82;2.76E-87;6.80E-29;0.007898726;0.79800791;0.001796;0.009732;0.016111;0.011242;0.007945
rxjava;;io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowableConvert;count=1000000;0.09713726;0.21229569;0.31046285;0.18068818;0.11044384;1.23E-32;4.93E-149;2.4217853E-316;1.66E-108;1.10E-41;0;0;0;0;0
rxjava;;io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert;count=1000000;0.01009091;0.07829218;0.07338195;0.03028929;0.00795546;0.21651502;8.93E-22;2.54E-19;2.08E-04;0.329899402;0;0;0;0;0
rxjava;;io.reactivex.XMapYPerf.obsFlatMapSingleAsObs1;times=100000;0.01524984;0.04059385;0.00208948;0.01175331;0.01622587;0.061808133;6.64E-07;0.798026824;0.150024587;0.046899637;0;0.0014507;0;2.12E-04;0
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1&maxConcurrency=8&work=10;0.131760343;0.113257037;0.132126932;0.108587792;0.082783604;3.48E-58;1.87E-43;1.69E-58;4.36E-40;5.34E-24;0.019523;0.04206;0.072136;0.06648;0.046851
rxjava;;io.reactivex.XMapYPerf.flowFlatMapSingleAsFlow1;times=100000;0.05854358;0.00505988;0.01113075;0.02926728;0.01913326;7.50E-13;0.535461429;0.17281986;3.38E-04;0.019115153;0.002517;0;1.41E-04;0.0024;5.46E-04
rxjava;;io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableDedicated;count=10;0.015354323;0.005139232;0.008322719;0.002912175;0.004348315;0.060140731;0.529225476;0.30824428;0.721434528;0.594496621;0.001374;7.93E-04;0;0;0
rxjava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable;items=100000&maxConcurrency=8;0.17184536;0.26612075;0.13215701;0.07488516;0.0603832;2.48E-98;5.29E-233;6.39E-59;4.67E-20;1.41E-13;0.0015616;5.94E-04;0.0019826;0.0020023;0.0018281
rxjava;;io.reactivex.BinaryFlatMapPerf.completableFlattenAsObservable;times=1000;0.04867274;0.0213806;0.02008374;0.04797108;0.02980074;2.51E-09;0.008831404;0.013905929;4.23E-09;2.63E-04;0;0;0;0;7.47E-04
