project;commit;benchmark;params;i10;i100;factor
ReactiveX/RxJava;;io.reactivex.StrictPerf.internal;count=10000,cpu=100;0;7.00E-04;#DIV/0!
ReactiveX/RxJava;;io.reactivex.XMapYPerf.obsFlatMapObservable1;times=1000000;0.002083515;0.140423778;67.39752874
ReactiveX/RxJava;;io.reactivex.XMapYPerf.obsFlatMapIterable1;times=1000000;0.004395807;0.263028962;59.83633435
ReactiveX/RxJava;;io.reactivex.FlattenRangePerf.observable;times=1000000;0.001292415;0.050133776;38.79077023
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observablePlain;count=1000000;0.003881679;0.14921309;38.44034892
ReactiveX/RxJava;;io.reactivex.FlattenCrossMapPerf.observable;times=100000;0.002427955;0.091456861;37.66826514
ReactiveX/RxJava;;io.reactivex.BinaryFlatMapPerf.maybeFlattenAsObservable;times=1000000;0.004529649;0.146484315;32.33900056
ReactiveX/RxJava;;io.reactivex.BlockingPerf.observableBlockingLast;times=1000000;0.00463386;0.143660591;31.00235859
ReactiveX/RxJava;;io.reactivex.FlattenJustPerf.observable;times=1000000;0.002680901;0.073732601;27.50292078
ReactiveX/RxJava;;io.reactivex.xmapz.ObservableFlatMapSinglePerf.observablePlain;count=1000000;0.005130776;0.123980965;24.16417243
ReactiveX/RxJava;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000000;0.006383087;0.148532689;23.26972543
ReactiveX/RxJava;;io.reactivex.BinaryFlatMapPerf.completableFlattenAsPublisher;times=1000000;0.002158108;0.036994664;17.14217404
ReactiveX/RxJava;;io.reactivex.ToFlowablePerf.flowable;times=1000000;0.002166699;0.034072366;15.72547048
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatDouble;;0.033698036;0.48088823;14.27051208
ReactiveX/RxJava;;io.reactivex.StrictPerf.external;count=1000000,cpu=10;0.002943474;0.03545475;12.04520706
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;0.040596288;0.402261985;9.908836494
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatString;;0.043474676;0.417173126;9.595773008
ReactiveX/RxJava;;io.reactivex.FlattenCrossMapPerf.observable;times=10000;0.005586662;0.052371064;9.37430324
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatDouble;;0.044671184;0.411737703;9.217076089
ReactiveX/RxJava;;io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowablePlain;count=10000;0.001437832;0.012465198;8.669437043
