project;commit;benchmark;params;i10;i100;factor
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=CopySortedArray;0.137685807;0.966068888;7.016474022
;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1Log4j1Concat;;0.243927516;0.533600037;2.187535239
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllHashContextData;count=5,length=20;0.024236305;0.307491876;12.68724238
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.066991234;0.279802367;4.176701193
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableD;;0.03249858;0.234728034;7.222716623
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput1Param;;0.103725584;0.203762272;1.964436006
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderRewrite;;0.009308723;0.19167739;20.59115842
;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.testBaseline;;0.298064494;0.185052882;0.62084846
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params;;0.025553471;0.182167956;7.128892822
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=NoGcOpenHash;0.034843146;0.174085095;4.996250769
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.067328582;0.167048827;2.48109825
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.threadLocalSimpleDateFmt;;0.070865843;0.158423237;2.235537324
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.021062577;0.157818453;7.492836845
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.log4jParentMarker;;0.023870423;0.144907697;6.07059611
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputH2Exception;;0.044833543;0.14490042;3.231964514
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.logbackFile;;0.158370632;0.140909557;0.889745499
;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.varargParams;;0.117149965;0.133087515;1.136044001
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderNoop;;0.008351719;0.131116843;15.69938392
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=5,threadContextMapAlias=CopyOpenHash;0.045643032;0.128058272;2.805647793
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.baseline;size=4;0.023989966;0.121566326;5.067382171
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark.newInstance;;0.048641097;0.121082108;2.489296407
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.018729359;0.118834024;6.344799307
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=CopySortedArray;0.029367971;0.118068452;4.020313559
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;0.032447591;0.110590418;3.408278229
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMDNoSpace;;0.039315605;0.106325723;2.704415282
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=CopySortedArray;0.04441896;0.104174985;2.345281947
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput2Params;;0.091838664;0.10208582;1.111577799
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.021424438;0.098724751;4.608043908
;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3LogbackFile;;0.052159862;0.098382574;1.88617397
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMDEx;;0.014465062;0.096042648;6.639629198
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringNewInstance;;0.050849331;0.095906689;1.886095394
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.036353147;0.095635478;2.6307345
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=CopyOpenHash;0.007899357;0.09381937;11.8768363
;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createLogEventWithoutExceptionUsingBuilder;;0.074104848;0.091807902;1.238891982
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testResponseTimeH2Exception;;0.049140645;0.0874461;1.779506557
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5,threadContextMapAlias=Default;0.005674611;0.081963963;14.44397916
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testResponseTimeH2Message;;0.102001951;0.079021948;0.774710162
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.035432845;0.078971435;2.228763595
;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithoutCountersOrLocks;;0.056820869;0.078838588;1.387493528
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsConcurrentHashMapBenchmark.threadLocal;;0.030066509;0.078076035;2.596777531
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=Default;0.016310702;0.076053212;4.662779812
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayM;;0.039340095;0.075983772;1.931458783
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet3Element;;0.009711457;0.074418784;7.662988571
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.022405901;0.074405062;3.320779736
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=CopyOpenHash;0.072729984;0.074056579;1.018240001
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytesCharSet;;0.082719301;0.07352678;0.888870906
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test10_getMessageUsingReflection;;0.023231896;0.073459624;3.162015877
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.038614122;0.07251216;1.877866341
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisStringGetBytesCharSet;;1.002575859;0.072462386;0.072276213
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.038141403;0.072176626;1.892343237
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.cachedClock;;0.018055705;0.072039092;3.98982438
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;0.048146899;0.071487031;1.484769164
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;0.053422718;0.070616983;1.321853055
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50,threadContextMapAlias=NoGcOpenHash;0.053223012;0.069710774;1.309786338
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testResponseTimeHSQLDBMessage;;0.044698871;0.068761167;1.538319995
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;0.012947805;0.06875881;5.310460731
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.016069673;0.066502461;4.138382965
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.030411534;0.066122014;2.174241326
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyParameterizedDouble;;0.063585195;0.065533831;1.030646065
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fastDateFormatReuseStringBuilder;;0.018427907;0.065304692;3.543793226
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endDirectConsole;;0.029699553;0.065080142;2.191283552
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsConcurrentHashMapBenchmark.newInstance;;0.11948446;0.064073141;0.536246647
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.023161605;0.063228104;2.729867123
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.029267335;0.063203584;2.159526448
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.025904552;0.06297797;2.431154571
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneMap;count=5,length=20;0.021034471;0.061948818;2.945109387
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;0.008345383;0.061169871;7.329785943
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneHashContextData;count=5,length=20;0.0257576;0.059546353;2.311797411
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncAppender;;0.105081047;0.058644548;0.558088729
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=500,threadContextMapAlias=CopySortedArray;0.005061088;0.058433833;11.54570579
;;org.apache.logging.log4j.perf.jmh.PatternLayoutComparisonBenchmark.log4j2;;0.024521138;0.057898507;2.36116721
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput9Params;;0.125055337;0.057033629;0.456067133
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytes;;0.172060679;0.056847038;0.330389478
;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.latency_nanotime;;0.010227781;0.056813045;5.554777229
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.03165834;0.056332282;1.779382052
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5,threadContextMapAlias=NoGcSortedArray;0.025679296;0.056169178;2.187333251
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.067369539;0.05504956;0.817128346
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;0.085105711;0.053894506;0.633265446
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyBaseline;;0.086697193;0.052902088;0.610193781
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.187448294;0.05118581;0.273066289
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.095766526;0.050353387;0.525793188
;;org.apache.logging.log4j.perf.jmh.UuidGeneratorBenchmark.randomUUID;;0.08759621;0.050319949;0.574453495
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneHashContextData;count=500,length=20;0.038829301;0.050297965;1.295361073
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;0.024643783;0.04993125;2.026119529
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputH2Message;;0.098124021;0.049911214;0.50865439
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncLogger;;0.086052906;0.049425557;0.574362439
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.012739563;0.049133003;3.856725933
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.fastDateFormat;;0.063049622;0.048946851;0.776322672
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderDirectConsole;;0.33254026;0.047743873;0.143573211
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArraySpace;;0.017958482;0.047321841;2.6350691
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.211753276;0.046952784;0.221733448
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput2Params;;0.046827703;0.04644616;0.991852195
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationPresent;;0.098294176;0.045838225;0.466337141
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putArrayContextData;count=5,length=20;0.174650867;0.045420154;0.260062574
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.033602053;0.045085898;1.341760219
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.211941226;0.044615271;0.210507752
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endConsole;;0.019674863;0.044538116;2.263706538
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1StringGetBytesString;;0.094947728;0.044130472;0.464787025
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatDouble;;0.020987435;0.043609228;2.077873166
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=NoGcSortedArray;0.010555885;0.042793358;4.053981073
;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3Log4j1Concat;;0.025321584;0.042627436;1.68344271
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=Default;0.002274943;0.042141537;18.52421665
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;0.012752461;0.041140679;3.226097222
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.21846381;0.041103382;0.188147327
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fastDateFormatCreateNewStringBuilder;;0.020513086;0.040880396;1.992893512
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateMap;count=5,length=20;0.117083344;0.040876512;0.349123202
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.log4jSimpleMarker;;0.075340695;0.039928819;0.529976781
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableSpace;;0.053984165;0.039574423;0.733074653
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.03319066;0.039317216;1.184586748
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1CustomVerifyAndCast;;0.043696758;0.038542829;0.882052371
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.014237128;0.038310479;2.690885339
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput3Params;;0.141568302;0.038285846;0.270440808
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE;0.38449432;0.038109265;0.099115287
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.052824274;0.038020706;0.719758231
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test07_getReflectiveCallerClassUtility;;0.005254791;0.037752252;7.184348911
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.slf4jMDCFilter;size=4;0.007294531;0.037500889;5.140959576
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.094481347;0.037399325;0.395838186
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.atomicFastFormat;;0.126707124;0.037019786;0.29216815
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLogbackFile;;0.064736252;0.036830986;0.568939116
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;0.038855574;0.036711214;0.944812036
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50,threadContextMapAlias=Default;0.130689497;0.03576058;0.273630099
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputHSQLDBException;;0.064829191;0.035719188;0.550973835
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=Default;0.022066816;0.035340892;1.601540159
;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersNoLocks;;0.080862766;0.035007278;0.432922094
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugStringConcatenation;;0.022087604;0.034886498;1.579460497
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;0.011955477;0.034813357;2.911917023
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.034469994;0.034655963;1.005395098
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;0.048782255;0.034632811;0.709946906
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytesString;;0.076278138;0.034507966;0.452396544
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putHashContextData;count=500,length=20;0.095375101;0.034400031;0.360681463
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.baseline;;0.027472264;0.034339291;1.24996218
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=NoGcOpenHash;0.00484816;0.033951779;7.003023621
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.logbackFile;;0.213359133;0.033477306;0.156905896
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackTooFine;;0.068894425;0.033460389;0.485676294
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMCDEx;;0.021124593;0.033446755;1.583308848
;;org.apache.logging.log4j.perf.jmh.ParameterizedMessageInliningBenchmark.format0_inlined2;;0.046480941;0.033381743;0.718181308
;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.baseline;;0.083762618;0.03327858;0.397296321
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMEx;;0.046221789;0.033093955;0.715981699
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisStringGetBytesString;;0.16393257;0.032577516;0.198725098
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueArrayContextData;count=5,length=20;0.059577057;0.03254171;0.54621211
