project;commit;benchmark;params;< 5%;< 3%;< 2%;< 1%
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMDEx;;23;48;50;52
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testIsDebugEnabledResponseTime;;23;38;39;68
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataBiConsumer;count=5,length=20;23;24;40;60
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllArrayContextData;count=5,length=20;23;29;29;94
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=CopyOpenHash;23;43;44;85
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5,threadContextMapAlias=NoGcSortedArray;23;31;44;51
;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxLong;;23;27;27;70
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;22;22;29;68
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;22;23;30;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;22;33;61;73
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;22;28;36;47
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;22;32;46;83
;;org.apache.logging.log4j.perf.jmh.ConfiguratorInitializeBenchmark.initializeLoggerContext;;22;61;62;
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLogbackFile;;22;42;42;42
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endRAF;;22;22;30;65
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackParentMarker;;22;80;80;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMDNoSpace;;22;38;;
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneArrayContextData;count=5,length=20;22;39;41;42
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1CustomPortedJDK8CopyArray;;22;43;71;
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.stringGetBytes;;22;22;56;75
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=CopySortedArray;22;26;42;63
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=Default;22;26;27;46
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=NoGcOpenHash;22;30;40;88
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedDateFormatCreateNewCharArray;;22;42;43;76
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput8Params;;21;33;44;95
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;21;25;25;64
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;21;38;56;72
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;21;22;22;83
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;21;36;37;41
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;21;49;50;70
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2File;;21;34;36;48
;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3Log4j2RAF;;21;31;72;
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ExtendedThrowableAsync;;21;21;22;49
;;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j1File;;21;31;31;64
;;org.apache.logging.log4j.perf.jmh.GelfLayoutBenchmark.baseline;;21;21;48;77
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughputSimple;;21;35;35;97
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMD;;21;34;75;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMCDEx;;21;65;81;81
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test07_getReflectiveCallerClassUtility;;21;36;63;83
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisEncoder;;21;22;34;58
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.serializableMCD;;21;40;45;55
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5,threadContextMapAlias=CopyOpenHash;21;31;46;49
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=NoGcSortedArray;21;21;21;30
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5,threadContextMapAlias=Default;21;54;56;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=NoGcSortedArray;21;47;47;60
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5,threadContextMapAlias=NoGcOpenHash;21;37;60;95
;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxShort;;21;21;44;90
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;20;20;21;40
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;20;42;42;97
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;20;38;62;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;20;25;27;61
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ExtendedThrowable;;20;28;29;66
;;org.apache.logging.log4j.perf.jmh.GelfLayoutBenchmark.log4j2Gelf;;20;39;70;
;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testThroughputH2Exception;;20;62;;
;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createSerializableLogEventProxyWithException;;20;50;59;89
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMCNoSpace;;20;31;35;76
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testDebugMessageDisabledThroughput;;20;23;38;96
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllHashContextData;count=500,length=20;20;20;66;
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putMap;count=500,length=20;20;37;39;66
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.textEncoderEncode;;20;57;60;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5,threadContextMapAlias=NoGcOpenHash;20;20;55;58
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=CopyOpenHash;20;;;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5,threadContextMapAlias=Default;20;40;54;54
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500,threadContextMapAlias=NoGcOpenHash;20;26;26;75
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.simpleDateFormat;;20;33;40;99
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;19;47;47;96
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;19;67;97;
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ThrowableAsync;;19;32;36;98
;;org.apache.logging.log4j.perf.jmh.ParameterizedMessageInliningBenchmark.format0;;19;36;37;52
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMCD;;19;36;37;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMCD;;19;25;59;64
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateMap;count=5,length=20;19;81;;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50,threadContextMapAlias=NoGcOpenHash;19;27;47;68
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsConcurrentHashMapBenchmark.threadLocal;;19;54;97;
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.fixedDateFormat;;19;38;45;45
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput9Params;;18;22;23;29
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;18;32;32;83
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;18;71;;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMEx;;18;28;32;61
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.reflectionUtilGetClass;;18;23;43;71
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueArrayContextData;count=500,length=20;18;24;27;28
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer;count=5,length=20;18;20;21;26
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=CopyOpenHash;18;18;19;52
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=5,threadContextMapAlias=NoGcOpenHash;18;29;38;54
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedFormatReuseStringBuilder;;18;32;47;60
;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxFloat;;18;26;26;36
;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxInt;;18;37;38;81
;;org.apache.logging.log4j.perf.jmh.UuidGeneratorBenchmark.randomUUID;;18;;;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;17;26;34;71
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;17;38;43;51
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput7Params;;17;17;17;17
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;17;28;33;51
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jIsDebugEnabled;;17;17;31;45
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2Throwable;;17;38;43;64
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j1;;17;28;42;59
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.baseline;;17;18;19;58
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneHashContextData;count=500,length=20;17;56;56;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5,threadContextMapAlias=CopySortedArray;17;42;66;66
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500,threadContextMapAlias=CopySortedArray;17;23;39;40
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=CopySortedArray;17;22;32;34
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500,threadContextMapAlias=Default;17;18;29;35
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringObjectPool;;17;18;73;
;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringThreadLocal;;17;18;18;56
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.cachedThrdLocalCustomFormat;;17;19;19;25
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;16;30;30;56
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;16;23;39;85
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;16;16;16;47
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;16;28;29;93
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;16;28;50;89
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput6Params;;16;17;27;38
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughputSimple;;16;34;38;58
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap3Elements;;16;38;44;95
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;16;17;20;84
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderFile;;16;39;59;76
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.log4jThreadContextFilter;size=0;16;40;46;98
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.slf4jMDCFilter;size=0;16;16;72;95
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.slf4jMDCFilter;size=4;16;16;73;73
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMD;;16;55;56;61
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableSpace;;16;30;36;64
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=CopyOpenHash;16;21;29;51
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.atomicFixedFormat;;16;27;28;61
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.threadLocalSimpleDateFmt;;16;29;34;
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;15;30;43;72
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1LocationBenchmark.throughputSimple;;15;19;47;48
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;15;31;47;91
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput4Params;;15;16;18;43
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput5Params;;15;29;30;31
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList1Element;;15;29;30;69
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;15;38;38;53
;;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j2File;;15;37;55;82
;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputHSQLDBMessage;;15;91;;
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endDirectConsole;;15;23;80;
;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.baseline;size=0;15;20;22;49
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput11Params;;15;40;50;66
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMDNoSpace;;15;31;38;53
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500,threadContextMapAlias=Default;15;16;19;33
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50,threadContextMapAlias=NoGcOpenHash;15;15;16;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50,threadContextMapAlias=NoGcSortedArray;15;30;37;37
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=CopySortedArray;15;42;60;62
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt;;15;30;32;71
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;14;17;20;65
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;14;40;73;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;14;18;24;24
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;14;15;28;88
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;14;25;41;46
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;14;19;19;30
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;14;70;85;86
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;14;33;60;88
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test03_getCallerClassNameReflectively;;14;15;27;53
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testIsDebugEnabledThroughput;;14;18;22;33
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueMap;count=5,length=20;14;15;25;40
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50,threadContextMapAlias=CopyOpenHash;14;21;30;68
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500,threadContextMapAlias=CopyOpenHash;14;38;38;39
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=50,threadContextMapAlias=Default;14;21;21;21
;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.individualParams;;14;14;14;26
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;13;15;60;61
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;13;23;37;47
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;13;77;78;
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugParameterizedString;;13;17;22;25
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.julFile;;13;15;26;88
;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULLocationBenchmark.throughputSimple;;13;16;48;82
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateHashContextDataBiConsumer;count=5,length=20;13;24;24;77
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllMap;count=500,length=20;13;13;13;40
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putArrayContextData;count=500,length=20;13;15;35;35
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;13;34;35;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5,threadContextMapAlias=NoGcSortedArray;13;27;27;46
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50,threadContextMapAlias=CopySortedArray;13;14;61;63
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=Default;13;17;58;91
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500,threadContextMapAlias=CopySortedArray;13;24;34;56
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500,threadContextMapAlias=NoGcSortedArray;13;14;17;17
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fastDateFormatReuseStringBuilder;;13;63;63;
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;12;16;28;31
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput1Param;;12;31;66;74
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;12;12;32;59
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;12;12;66;92
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;12;12;16;60
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputBaseline;;12;12;25;56
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableM;;12;15;31;31
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=5,threadContextMapAlias=NoGcSortedArray;12;37;41;61
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;11;19;22;36
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;11;11;25;32
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceNotImpl;;11;14;19;26
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;11;19;19;77
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;11;12;20;74
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params;;11;14;16;26
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;11;56;68;
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugParameterizedString;;11;11;16;42
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.julFile;;11;12;25;36
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.log4jTooFine;;11;27;27;77
;;org.apache.logging.log4j.perf.jmh.ParameterizedMessageBenchmark.refactoredGetFormattedMsg;;11;35;36;89
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueHashContextData;count=500,length=20;11;15;23;38
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50,threadContextMapAlias=Default;11;26;26;43
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=NoGcOpenHash;11;11;19;28
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=500,threadContextMapAlias=Default;11;21;23;44
;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxDouble;;11;11;11;59
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;10;12;18;40
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;10;10;39;83
;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j1;;10;19;37;73
;;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j2RAF;;10;26;33;
;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyBaseline;;10;14;15;88
;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderRAF;;10;10;12;42
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateMap;count=500,length=20;10;10;10;18
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500,threadContextMapAlias=NoGcOpenHash;10;14;19;37
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=50,threadContextMapAlias=NoGcOpenHash;10;11;11;33
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=CopySortedArray;10;10;86;
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=NoGcOpenHash;10;19;37;37
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=5,threadContextMapAlias=CopySortedArray;10;26;26;77
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput6Params;;9;21;25;70
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;9;10;10;86
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;9;49;71;72
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=SYNCHRONOUS;9;48;48;
;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.granularity_nanotime;;9;11;16;24
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.locationLocatorGetMethod;;9;15;16;34
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testDebugDisabledResponseTime;;9;10;18;32
;;org.apache.logging.log4j.perf.jmh.StringBuilderEscapeBenchmark.escapeXmlLargeString;;9;10;10;10
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1Encoder;;9;9;40;66
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50,threadContextMapAlias=NoGcSortedArray;9;10;22;50
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5,threadContextMapAlias=CopySortedArray;9;9;9;9
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=500,threadContextMapAlias=NoGcSortedArray;9;10;11;29
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=50,threadContextMapAlias=NoGcSortedArray;9;10;20;25
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=Default;9;24;28;29
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=500,threadContextMapAlias=NoGcSortedArray;9;9;9;9
