project;commit;benchmark;param;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.912577156;0.912577156;0.973222524;0.979026394;0.988203372
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.943937215;0.979833517;0.979833517;0.976898122;0.976898122
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.35980932;0.35980932;0.955418743;0.976130912;0.946710152
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.42291103;0.862517682;0.924422637;0.952789863;0.952789863
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.838537122;0.838537122;0.955630873;0.967435077;0.967435077
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.733158997;0.957644308;0.975060952;0.975060952;0.975060952
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.059744313;0.852089707;0.852089707;0.852089707;0.852089707
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.836036154;0.836036154;0.917428515;0.917428515;0.943344282
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.170832119;0.733204641;0.733204641;0.733204641;0.960308411
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.375634643;0.375634643;0.375634643;0.923820364;0.923820364
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.200903883;0.612018812;0.612018812;0.612018812;0.617416999
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.545294075;0.922292526;0.966845948;0.982765599;0.98938808
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.97103963;0.979600299;0.967057829;0.967057829;0.967057829
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.813108797;0.899963978;0.976217692;0.990467374;0.990611128
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.89779376;0.916891404;0.919976576;0.984935646;0.984935646
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.472360832;0.472360832;0.472360832;0.472360832;0.472360832
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.60343211;0.984627863;0.984627863;0.992153174;0.992153174
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.050644172;0.248417315;0.248417315;0.248417315;0.986021465
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.956007021;0.990790107;0.983168107;0.983168107;0.983168107
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.650459599;0.936535256;0.965399716;0.954829555;0.954829555
