project;commit;benchmark;param;i9;i10;i10 - i9;i90;i100;i100 -i90
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.992380326;0.985162321;-0.007218005;0.991246829;0.996670716;0.005423887
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.996105818;0.998333167;0.002227349;0.994028608;0.995617055;0.001588447
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.996086864;0.997939884;0.00185302;0.995473966;0.862473585;-0.133000381
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.992836374;0.995723105;0.002886731;0;0;0
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.954829555;0.997628278;0.042798723;0.888627229;0.994609369;0.10598214
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.996370893;0.991576128;-0.004794765;0.995873101;0.997864058;0.001990957
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.994354086;0.701761747;-0.292592339;0.992707964;0.996530382;0.003822418
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationPresent;;0.970836175;0.971139359;0.000303184;0.983968757;0.993544397;0.00957564
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceImplemented;;0.991425575;0.992674504;0.001248929;0.994888898;0.994641598;-0.0002473
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceNotImpl;;0.997169811;0.995537114;-0.001632697;0.98995131;0.991823085;0.001871775
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;0.996362628;0.997039064;0.000676436;0.995893299;0.9950017;-0.000891599
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params;;0.934592706;0.949781678;0.015188972;0.995882956;0.997020827;0.001137871
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput1Param;;0.996012916;0.995668501;-0.000344415;0.997330167;0.996425579;-0.000904588
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput2Params;;0.962859988;0.986507645;0.023647657;0.995398429;0.983415774;-0.011982655
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;0.999014873;0.995721958;-0.003292915;0.996319226;0.991914955;-0.004404271
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;0.929604539;0.925271774;-0.004332765;0.988370437;0.995959831;0.007589394
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput5Params;;0.993716937;0.976501636;-0.017215301;0.996597481;0.995693351;-0.00090413
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput6Params;;0.993532199;0.99691928;0.003387081;0.998292347;0.996141261;-0.002151086
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params;;0.840303115;0.897488527;0.057185412;0.990211384;0.997137729;0.006926345
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput8Params;;0.990575098;0.998661433;0.008086335;0.991738903;0.969012032;-0.022726871
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput9Params;;0.96000126;0.998916909;0.038915649;0.9944427;0.995510736;0.001068036
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputSimple;;0.982049358;0.992428965;0.010379607;0.994709712;0.997116267;0.002406555
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1LocationBenchmark.throughputSimple;;0.996066404;0.991821161;-0.004245243;0.993169357;0.963036402;-0.030132955
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.990571987;0.991945372;0.001373385;0.995905794;0.997425113;0.001519319
