project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;0.986881085;0.989535781;0.996339682;0.997940612;0.996229125;0.998386184;0.996114591;0.996362628;0.997039064
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params;;0.98991874;0.992625475;0.980320744;0.991492941;0.995358968;0.901798578;0.967292469;0.934592706;0.949781678
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput1Param;;0.977313062;0.918548624;0.978747202;0.978122315;0.983486919;0.993686527;0.988107881;0.996012916;0.995668501
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput2Params;;0.98469501;0.988635302;0.977992712;0.925335527;0.987851996;0.991968819;0.992563803;0.962859988;0.986507645
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;0.988745659;0.985260159;0.82600619;0.983821375;0.853431585;0.931865672;0.996983035;0.999014873;0.995721958
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;0.866934857;0.746000702;0.997433874;0.99459439;0.906771958;0.979929964;0.997264246;0.929604539;0.925271774
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput5Params;;0.997144593;0.99821784;0.986276448;0.990051112;0.995523166;0.940357257;0.917030236;0.993716937;0.976501636
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput6Params;;0.978224841;0.986519187;0.990601653;0.993988904;0.998397821;0.995694741;0.995359558;0.993532199;0.99691928
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params;;0.988911179;0.959788928;0.996420525;0.997728782;0.994602414;0.873890636;0.804477754;0.840303115;0.897488527
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput8Params;;0.887607474;0.89275518;0.978185874;0.991062172;0.997347849;0.996560546;0.994967194;0.990575098;0.998661433
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput9Params;;0.968329499;0.995962889;0.983466948;0.88244272;0.954741845;0.892723062;0.994702734;0.96000126;0.998916909
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputSimple;;0.981810417;0.984662527;0.997080157;0.991183777;0.994443444;0.994976898;0.997245043;0.982049358;0.992428965
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1LocationBenchmark.throughputSimple;;0.780116532;0.980829334;0.970220553;0.982774234;0.986328226;0.982459367;0.994921176;0.996066404;0.991821161
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.978057331;0.991456882;0.979667357;0.992030101;0.991129448;0.994366569;0.995393314;0.990571987;0.991945372
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.921964685;0.989998947;0.99505744;0.997040749;0.99678638;0.977480772;0.988082768;0.99300004;0.992155103
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.986025725;0.990918614;0.992650989;0.997412051;0.993870783;0.996402062;0.997768932;0.993499175;0.994279928
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.986244247;0.99212901;0.987328219;0.999076799;0.995204747;0.994794687;0.99672422;0.994575383;0.990761849
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.980411858;0.985469022;0.983012945;0.992602576;0.974654418;0.995801638;0.995767602;0.988342401;0.99214999
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.972531486;0.989339395;0.994348643;0.993504886;0.981959104;0.992341475;0.986045126;0.99579553;0.987894248
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.989778778;0.993177798;0.995459708;0.996834953;0.987757445;0.998074611;0.996752474;0.995694128;0.971042413
