project;commit;benchmark;param;< 10%;< 5%;< 2%;< 1%
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;5;5;6;8
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;5;5;6;6
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;5;5;5;6
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;5;5;7;7
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;5;5;5;7
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;5;5;5;8
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;5;5;6;6
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;5;5;6;9
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;5;5;6;7
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;5;5;6;9
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;5;5;5;5
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;5;5;5;5
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;5;5;5;7
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;5;5;7;9
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;5;5;7;10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;5;5;5;7
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;5;5;5;5
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;5;5;5;6
