project;commit;benchmark;params;i5;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.022458388;0.016933937;0.016429831;0.025720776;0.018232008;0.014750345
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.041943977;0.050958214;0.060466077;0.031029625;0.024672642;0.017106429
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.06426713;0.077193847;0.011235662;0.018707681;0.014286737;0.009316409
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.019399957;0.039974416;0.042472879;0.021168475;0.037779934;0.036819353
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.158435346;0.097646672;0.147020594;0.116012149;0.10846657;0.055084116
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.098586097;0.101381022;0.052524681;0.088984031;0.075750956;0.045611048
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.092448561;0.047900022;0.081918559;0.049045756;0.043040633;0.073101418
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.136237429;0.119466202;0.059362275;0.041382598;0.055529676;0.035432845
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.034892671;0.068505768;0.066867997;0.049599046;0.060868207;0.033784117
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.085835045;0.075429834;0.051175487;0.064333686;0.029671201;0.016069673
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.043265899;0.051022122;0.045036579;0.029306259;0.028731689;0.032736711
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.062248323;0.1002512;0.059743921;0.054945613;0.058037483;0.033602053
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.06444574;0.052566872;0.039035535;0.04190207;0.021281403;0.022405901
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.174249316;0.130404441;0.095857163;0.121662503;0.066413745;0.103361524
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.063384348;0.123151026;0.089278009;0.076309682;0.084453955;0.070691765
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.069538051;0.048807106;0.036932811;0.022433743;0.031522042;0.032941714
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.025620263;0.013637385;0.026384425;0.017342961;0.017193037;0.012739563
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.021049504;0.032993814;0.048655745;0.028417361;0.026907822;0.036444207
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.037851393;0.047490935;0.019890052;0.027557257;0.033804253;0.025872816
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.253427703;0.243050669;0.191672912;0.078156547;0.056397816;0.061844605
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.013086218;0.007995096;0.020691178;0.01827177;0.013582254;0.018284491
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.055274592;0.029768898;0.043898749;0.029663513;0.029662883;0.025904552
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.057226598;0.054985827;0.041287202;0.034705554;0.029847437;0.021424438
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.168806792;0.096335717;0.085662425;0.067762207;0.103403715;0.037258521
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.060667322;0.093343201;0.031983722;0.043182725;0.038238225;0.03165834
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.027738512;0.030313567;0.034303845;0.024925013;0.024903418;0.019735926
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.060999699;0.04739559;0.050379506;0.043046599;0.035472167;0.014237128
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.056008535;0.039304242;0.057173367;0.030238643;0.034606508;0.038495017
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.050487619;0.030109287;0.031068842;0.025340614;0.0492262;0.071216725
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.031960185;0.036333252;0.041627008;0.023017297;0.015507215;0.032883076
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.006480946;0.008821733;0.011734486;0.009349429;0.007385143;0.007396576
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.095597466;0.071082829;0.054866358;0.052441206;0.041850193;0.052824274
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.083707049;0.095249362;0.06429848;0.057356892;0.071349817;0.091135119
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.975230399;1.017400263;1.017092897;1.569902887;1.121344023;2.205778689
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.017364474;0.020572833;0.038229796;0.023164686;0.023307641;0.029267335
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.130308947;0.103141993;0.041383844;0.027352202;0.023887822;0.030411534
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.069241052;0.063646486;0.056545712;0.071503007;0.040076146;0.030746554
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.104023102;0.073573286;0.028823692;0.048935706;0.04786922;0.036353147
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.068893732;0.063822323;0.075463164;0.06442609;0.048919796;0.034303908
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.059928528;0.040645893;0.03539619;0.024360182;0.047598571;0.033014084
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.080800225;0.130048533;0.059183283;0.071783135;0.060643171;0.037756316
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.059637201;0.094845915;0.065903833;0.097363054;0.025202348;0.038614122
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.180084343;0.134852362;0.135859257;0.175427939;0.070224375;0.060425523
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.175004233;0.147921297;0.059735813;0.055552858;0.063660152;0.03319066
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.037249481;0.039902598;0.04010688;0.02679735;0.029813749;0.016435066
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.037388259;0.034788059;0.020214721;0.021531616;0.032293939;0.021620779
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.059011746;0.102213609;0.06405358;0.10048891;0.050826763;0.067328582
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.100083301;0.053788265;0.051947033;0.029256783;0.078133413;0.067754634
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;0.014425957;0.025930426;0.025677421;0.019624142;0.020032125;0.022250093
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;0.024035119;0.047844068;0.027046623;0.053876325;0.061377063;0.046845843
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;0.045349882;0.027631983;0.010545935;0.018129895;0.022079079;0.012381312
