project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.119311475;0.140416693;0.130928701;0.126237302;0.12531368;0.135159264;0.132544919;0.128150821;0.124519219;0.127729093
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.998239715;0.973363124;0.948551023;0.961015208;0.96465861;0.973226586;0.968757574;0.976922896;0.974437391;0.968809851
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.36709763;0.387367184;0.362664008;0.3817423;0.379389556;0.367146192;0.378304916;0.371715832;0.367040097;0.363208996
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.238272094;0.209475016;0.180225486;0.170489663;0.163160864;0.152676482;0.153975179;0.147053066;0.142144928;0.142889348
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.167836206;0.176351948;0.168003226;0.152289807;0.154892726;0.147271728;0.152550176;0.146240698;0.148645319;0.144565628
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.708947076;0.718179704;0.757760334;0.804047381;0.841988203;0.85117484;0.856632153;0.870684232;0.868628642;0.873934902
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.427350667;0.392054743;0.385727212;0.370150625;0.372415627;0.371660674;0.367525756;0.364126999;0.36253872;0.360755297
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.297797676;0.257974588;0.236013333;0.211949286;0.202537295;0.189796248;0.183866354;0.177070408;0.172008824;0.170518245
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.128814703;0.150227203;0.13862422;0.128634659;0.123423941;0.11844897;0.115862515;0.112397837;0.110720795;0.110101727
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.910814791;0.904405092;0.878359472;0.869753928;0.859454425;0.847231684;0.852734804;0.853697518;0.847510914;0.843158783
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.284868806;0.27484037;0.260615105;0.246631489;0.239021182;0.241480725;0.250849595;0.242569372;0.236143523;0.234747275
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.234279075;0.198575525;0.176647929;0.185240995;0.183409668;0.17409083;0.173673351;0.167909985;0.168016946;0.16640118
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.138115604;0.145772441;0.177273608;0.179480594;0.167923097;0.16194708;0.154909546;0.149015927;0.144025488;0.139866679
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;1.371077272;1.336632304;1.341404382;1.367458622;1.380468987;1.357471031;1.345805456;1.330681231;1.324753226;1.306606474
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.303019694;0.248467047;0.244103999;0.233328397;0.226381162;0.229019723;0.225769011;0.222014585;0.217263554;0.215432613
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.193556173;0.173398561;0.160080447;0.154821498;0.147585177;0.144690058;0.147850727;0.143132199;0.13954978;0.145734236
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.139379844;0.161522749;0.164545006;0.161962384;0.153329965;0.156107952;0.161068095;0.157466118;0.155656042;0.156854131
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.949426669;0.984187461;1.005856891;1.006907737;1.014244023;1.009051512;1.009587867;1.006128023;1.00071113;0.99495613
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.274260247;0.249140434;0.251700204;0.246248364;0.243148765;0.245548263;0.23993356;0.239510381;0.239017447;0.235513358
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.235562021;0.216180576;0.20849267;0.200937949;0.188883141;0.178855893;0.181576282;0.174211635;0.173997755;0.168496627
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.234139787;0.21743802;0.20597487;0.188559805;0.182126559;0.1726426;0.170246781;0.163336332;0.163575603;0.158250468
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.946032768;0.959277556;0.943329033;0.929338664;0.944530957;0.997360331;0.997589778;1.028589601;1.063328188;1.074326748
