project;commit;benchmark;param;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35;i36;i37;i38;i39;i40;i41;i42;i43;i44;i45;i46;i47;i48;i49;i50;i51;i52;i53;i54;i55;i56;i57;i58;i59;i60;i61;i62;i63;i64;i65;i66;i67;i68;i69;i70;i71;i72;i73;i74;i75;i76;i77;i78;i79;i80;i81;i82;i83;i84;i85;i86;i87;i88;i89;i90;i91;i92;i93;i94;i95;i96;i97;i98;i99;i100
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.latency_nanotime;;0.225799695;0.225799695;0.903925596;0.722337219;0.722337219;0.722337219;0.722337219;0.722337219;0.989841606;0.989841606;0.989841606;0.989841606;0.993079482;0.993517589;0.993517589;0.993510315;0.993510315;0.993510315;0.992890047;0.992211878;0.992211878;0.992211878;0.992211878;0.992211878;0.993228581;0.993228581;0.993228581;0.993493699;0.981284014;0.981284014;0.981284014;0.981284014;0.981284014;0.987492366;0.986885964;0.986885964;0.986885964;0.986885964;0.986885964;0.9921914;0.993733581;0.993834857;0.993834857;0.993834857;0.994958336;0.994958336;0.994958336;0.987784947;0.987784947;0.987784947;0.987784947;0.987784947;0.991633807;0.991633807;0.989570689;0.989570689;0.989570689;0.989570689;0.989570689;0.9930421;0.991079253;0.991079253;0.991079253;0.991079253;0.991079253;0.992563986;0.992563986;0.993960274;0.993960274;0.994167681;0.993783726;0.993783726;0.988079501;0.988079501;0.988079501;0.988079501;0.988079501;0.990190801;0.990190801;0.990190801;0.990190801;0.990190801;0.99301801;0.99301801;0.99301801;0.99301801;0.995268374;0.99228889;0.99228889;0.99228889;0.99228889;0.99228889;0.993322379;0.993322379;0.993129051
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;0.46383158;0.659728653;0.799706609;0.943849439;0.943849439;0.947420871;0.985764221;0.985764221;0.988822224;0.988822224;0.962925896;0.683099771;0.682479393;0.652519248;0.652519248;0.652519248;0.652519248;0.652519248;0.656278446;0.678104113;0.987879686;0.987879686;0.987879686;0.993644244;0.993644244;0.993644244;0.993644244;0.993644244;0.995435;0.989740477;0.989740477;0.989740477;0.989740477;0.989740477;0.991929399;0.986692617;0.986692617;0.986692617;0.986692617;0.986692617;0.993889177;0.995845751;0.995245603;0.995245603;0.995245603;0.995245603;0.993625917;0.993625917;0.993625917;0.993625917;0.993625917;0.994738216;0.991695153;0.991695153;0.991695153;0.991695153;0.991695153;0.994516154;0.994516154;0.996298256;0.996298256;0.99054734;0.99054734;0.99054734;0.99054734;0.99054734;0.990912595;0.992733279;0.992733279;0.991992552;0.991992552;0.99033973;0.99033973;0.99033973;0.99033973;0.99033973;0.997564404;0.995819994;0.995819994;0.995819994;0.995819994;0.995819994;0.995420616;0.990822166;0.990822166;0.990822166;0.990822166;0.990822166;0.994294536;0.994294536;0.993945416;0.992684863;0.991019879;0.991019879;0.991019879
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer;count=5,length=20;0.118107641;0.792428021;0.792428021;0.792428021;0.963244523;0.963244523;0.963244523;0.963244523;0.964336474;0.840516476;0.840516476;0.467222466;0.466164351;0.466164351;0.466164351;0.466164351;0.466164351;0.534751672;0.985497084;0.985497084;0.99266557;0.99266557;0.99266557;0.698664463;0.693306994;0.473736894;0.473736894;0.473736894;0.473736894;0.473736894;0.473821065;0.986376721;0.986376721;0.480590593;0.467908961;0.467908961;0.467908961;0.467908961;0.467908961;0.984112278;0.984112278;0.984112278;0.984112278;0.989338193;0.992404996;0.992404996;0.992404996;0.992404996;0.986037679;0.986037679;0.986037679;0.986037679;0.986037679;0.987079584;0.987025883;0.983210977;0.983210977;0.983210977;0.983210977;0.983210977;0.986390633;0.986390633;0.986390633;0.986390633;0.988375422;0.986699544;0.986699544;0.986699544;0.986699544;0.986699544;0.991358492;0.991446322;0.991446322;0.993885204;0.993885204;0.99397771;0.994633351;0.994633351;0.98969792;0.98969792;0.98969792;0.98969792;0.98969792;0.992178595;0.992384554;0.988141543;0.988141543;0.988141543;0.988141543;0.988141543;0.985581932;0.985581932;0.985581932;0.985581932;0.985581932
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.950260852;0.950260852;0.990350896;0.990350896;0.990350896;0.990388384;0.990388384;0.990388384;0.990388384;0.990388384;0.991307267;0.994000977;0.994000977;0.995526922;0.995475121;0.995475121;0.995475121;0.995475121;0.988313192;0.988313192;0.988313192;0.988313192;0.988313192;0.991329924;0.991329924;0.991329924;0.991329924;0.989722708;0.989722708;0.989722708;0.989722708;0.989722708;0.994536732;0.990702461;0.987899571;0.973409889;0.973409889;0.973409889;0.973409889;0.973409889;0.991779583;0.992711067;0.994269981;0.994269981;0.994269981;0.994269981;0.994289545;0.995953552;0.995953552;0.993959017;0.993959017;0.987026298;0.987026298;0.987026298;0.987026298;0.987026298;0.988988036;0.99193548;0.99193548;0.992351817;0.992351817;0.994209728;0.99418205;0.99418205;0.99418205;0.99418205;0.99418205;0.997288236;0.996742952;0.996567041;0.988726078;0.986435015;0.986435015;0.986435015;0.986435015;0.986435015;0.993374233;0.991857202;0.990159317;0.990159317;0.990159317;0.990159317;0.990159317;0.989997011;0.989997011;0.989997011;0.989997011;0.989997011;0.990843978;0.990843978;0.990843978;0.993298638;0.992236508;0.992236508;0.992236508
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.toStringMCD;;0.916683853;0.916683853;0.971302546;0.974888905;0.974888905;0.974888905;0.97961126;0.97961126;0.97961126;0.985764665;0.985764665;0.985764665;0.985764665;0.985913092;0.985913092;0.985913092;0.985913092;0.986958378;0.986958378;0.986958378;0.986958378;0.992860952;0.992860952;0.992860952;0.993957378;0.993920204;0.993920204;0.993920204;0.993920204;0.991798977;0.991798977;0.991234155;0.982257947;0.982257947;0.982257947;0.982257947;0.982257947;0.990981458;0.991763802;0.994089697;0.993383105;0.992964464;0.986659629;0.979691637;0.979691637;0.979691637;0.979691637;0.979691637;0.984716231;0.984716231;0.984716231;0.984716231;0.984181206;0.984181206;0.984181206;0.984181206;0.984181206;0.986258061;0.988557079;0.988557079;0.988557079;0.987435101;0.987435101;0.987435101;0.987435101;0.987435101;0.987947303;0.987947303;0.992695653;0.987773538;0.987773538;0.987773538;0.986520993;0.986520993;0.982794059;0.982794059;0.982794059;0.982794059;0.982794059;0.987643047;0.987643047;0.987643047;0.987643047;0.987643047;0.995268203;0.994264806;0.974337788;0.974337788;0.974337788;0.974337788;0.974337788;0.974507643;0.990313581;0.989838256;0.97681884
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMDNoSpace;;0.562313102;0.562313102;0.919498791;0.966688779;0.984233217;0.984233217;0.984233217;0.98935099;0.98935099;0.98935099;0.98935099;0.992404099;0.983916662;0.983916662;0.983916662;0.983916662;0.983916662;0.989081208;0.989081208;0.992285382;0.992271197;0.988424944;0.988424944;0.988424944;0.988424944;0.988424944;0.993824441;0.983396123;0.983396123;0.983396123;0.983396123;0.983396123;0.98976169;0.98976169;0.98976169;0.98976169;0.992017011;0.993968749;0.986591032;0.986591032;0.986591032;0.986591032;0.986591032;0.994191602;0.988892328;0.988892328;0.988892328;0.988892328;0.98682859;0.98682859;0.98682859;0.98682859;0.98682859;0.987891149;0.987891149;0.987891149;0.987891149;0.991769692;0.991769692;0.991769692;0.991946161;0.991946161;0.995096592;0.994412365;0.990632172;0.990632172;0.990632172;0.990632172;0.990632172;0.994228034;0.986654493;0.986654493;0.986654493;0.986654493;0.986654493;0.980546659;0.980546659;0.980546659;0.980546659;0.980546659;0.984173686;0.992259725;0.992689428;0.992689428;0.992689428;0.992689428;0.992440358;0.992440358;0.992440358;0.992440358;0.992440358;0.992613192;0.99249717;0.990240689;0.990240689
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllMap;count=500,length=20;0.216749424;0.762967309;0.282985692;0.282985692;0.282985692;0.282985692;0.282985692;0.991278506;0.838925333;0.838925333;0.838925333;0.838925333;0.838925333;0.968385671;0.98386388;0.98386388;0.9900674;0.9900674;0.9900674;0.975684676;0.975684676;0.975684676;0.975684676;0.975684676;0.989865904;0.989865904;0.992055301;0.992055301;0.992055301;0.992055301;0.990406845;0.990406845;0.989582254;0.989582254;0.989582254;0.989582254;0.989582254;0.990338733;0.990338733;0.989066415;0.986896295;0.986896295;0.986896295;0.986896295;0.986896295;0.988385341;0.988385341;0.988385341;0.988385341;0.988385341;0.985679414;0.985679414;0.985679414;0.985679414;0.985679414;0.989312946;0.989312946;0.989312946;0.984097368;0.984097368;0.984097368;0.984097368;0.984097368;0.995277216;0.995277216;0.995277216;0.990022328;0.989364985;0.989364985;0.989364985;0.989364985;0.989364985;0.991286289;0.991286289;0.993520438;0.995455726;0.995455726;0.994141247;0.993984273;0.993984273;0.99307224;0.99307224;0.99307224;0.99307224;0.99307224;0.99488835;0.994916105;0.995332736;0.995332736;0.995081185;0.990518524;0.990518524;0.990518524;0.990518524;0.990518524
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testThroughputHSQLDBException;;0.152936626;0.936388401;0.973879907;0.973879907;0.987181273;0.987181273;0.987181273;0.995974875;0.990893906;0.989683695;0.989683695;0.989683695;0.988880417;0.988880417;0.988880417;0.988880417;0.988880417;0.989763509;0.989763509;0.989763509;0.989763509;0.992613897;0.993355249;0.993355249;0.993355249;0.993355249;0.992853195;0.992853195;0.992853195;0.992853195;0.992853195;0.993830338;0.992081899;0.989896624;0.989896624;0.989896624;0.989896624;0.989896624;0.991836896;0.991836896;0.993089464;0.993089464;0.988114964;0.988114964;0.988114964;0.988114964;0.985303979;0.982289986;0.982289986;0.982289986;0.982289986;0.982289986;0.995024548;0.995024548;0.995024548;0.995137009;0.983121222;0.983121222;0.983121222;0.983121222;0.982456543;0.982456543;0.982456543;0.982456543;0.982456543;0.990376448;0.990376448;0.990601138;0.990601138;0.990601138;0.994852492;0.994852492;0.994852492;0.994852492;0.994852492;0.995377357;0.993788518;0.993788518;0.989663163;0.989663163;0.989663163;0.989663163;0.989663163;0.992752352;0.992752352;0.992981677;0.992981677;0.993644104;0.993644104;0.993644104;0.993644104;0.993644104;0.996155704;0.996736403;0.996156898
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.976821636;0.979559781;0.988838588;0.988838588;0.993018465;0.993018465;0.987204216;0.987204216;0.987204216;0.987204216;0.987204216;0.988867564;0.988867564;0.99037802;0.99037802;0.993462047;0.993292955;0.992173881;0.992173881;0.992173881;0.991340684;0.991340684;0.991340684;0.989202663;0.989202663;0.989202663;0.989202663;0.989202663;0.98990511;0.98990511;0.98990511;0.98990511;0.989969072;0.989969072;0.989969072;0.995903665;0.995903665;0.996408954;0.993915759;0.990147739;0.987691691;0.987691691;0.987691691;0.987691691;0.987691691;0.991409792;0.991409792;0.990227946;0.990227946;0.990227946;0.990227946;0.990227946;0.993735089;0.994249506;0.993737683;0.993737683;0.991450543;0.991450543;0.991450543;0.991450543;0.991450543;0.99486883;0.99486883;0.989982517;0.989982517;0.989982517;0.989982517;0.98658112;0.98658112;0.98658112;0.98658112;0.98658112;0.981881153;0.981881153;0.981881153;0.981881153;0.981881153;0.987258814;0.987258814;0.987258814;0.987258814;0.987258814;0.990106525;0.987494755;0.987494755;0.987494755;0.987494755;0.987494755;0.995354105;0.992818582;0.992818582;0.992818582;0.992818582;0.992462783;0.992462783
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testIsDebugEnabledResponseTime;;0.672177854;0.672177854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.986679479;0.986679479;0.993889841;0.994722025;0.994722025;0.994722025;0.990984884;0.990984884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.990169097;0.990169097;0.990169097;0.991957445;0.991957445;0.991957445;0.996547705;0.996547705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.996042408;0.989387387;0;0;0;0;0;0;0;0;0;0;0;0;0;0.992054909;0.992054909
