project;commit;benchmark;params;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.00539766;0.00905051;0.00973095;0.009971518;0.010068741;0.007724232
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.001212271;8.26E-04;7.31E-04;7.84E-04;0.004099606;0.004132111
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.019621428;0.015039281;0.006438218;0.003071251;0.001746388;0.003295865
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.004436578;0.001255675;0.001540652;0.001875478;0.001018277;0.001164095
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.016848399;0.017094941;0.017274471;0.011827208;0.001690934;0.005930873
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.00711345;0.008517438;0.005562861;0.002453161;0.002414459;0.001448553
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.067709566;0.010181199;0.011742785;0.009169225;0.009805357;0.008479584
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.003685801;0.002211338;0.001214652;0.001202266;0.001578318;9.31E-04
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.004658244;0.005780192;0.004830769;0.003940777;0.003196265;0.002602688
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.013943473;0.017422527;0.010872334;0.005634589;0.004752536;0.003384272
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.014563167;0.005963777;0.003684727;0.004086521;0.005300291;0.005528209
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.016437823;0.01862459;0.010216521;0.00566136;0.004085906;0.002886305
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.006920605;0.005757697;0.005698858;0.004341037;0.003373325;0.002354836
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.012508442;0.012998105;0.002950134;0.002133836;0.001611325;0.002088405
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.023600117;0.004400397;0.005277945;0.004228818;0.00176698;0.002560532
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.009565093;0.004491484;0.002292843;0.001290074;0.001829982;0.001745845
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.016976208;0.009314436;0.00652608;0.003924808;0.002383164;0.002737408
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.011592142;0.008410903;0.00457309;0.006006739;0.005037537;0.006346353
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.049041323;0.011098015;0.011958874;0.019414142;0.022072657;0.014450589
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.003915493;9.51E-04;3.12E-04;2.78E-04;3.68E-04;4.30E-04
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.005484913;0.004324339;0.001301494;0.002540752;0.00328757;0.00270094
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.039035618;0.039359466;0.003379233;0.003934326;0.005365882;0.00722847
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationPresent;;0.117450778;0.032691177;0.041021535;0.036425911;0.030849833;0.026799204
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceImplemented;;0.006010406;0.012425634;0.017476615;0.015574814;0.019000949;0.015499139
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceNotImpl;;0.003107689;0.003375513;0.001509672;0.001078174;0.001334787;0.001312248
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;0.146594627;0.060801561;0.029135587;0.016764435;0.009543981;0.007496984
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params;;0.025738892;0.028352273;0.029269481;0.00564108;0.013994715;0.026053017
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput1Param;;0.04435074;0.027238333;0.01996138;0.019834778;0.010544364;0.015100336
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput2Params;;0.033402024;0.043141738;0.044102905;0.022999458;0.015920427;0.01355587
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;0.03187272;0.049812122;0.042383092;0.052596269;0.047804629;0.039851615
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;0.030692636;0.054317889;0.081249184;0.092212692;0.097180123;0.089157607
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput5Params;;0.054820718;0.071416483;0.048685659;0.033487713;0.011554182;0.014731917
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput6Params;;0.049170008;0.016931519;0.024114559;0.053324123;0.05346021;0.049220495
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params;;0.009868942;0.009879147;0.011466132;0.009075946;0.006212994;0.007526597
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput8Params;;0.15342894;0.13310513;0.085250527;0.039527368;0.045322862;0.04604281
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput9Params;;0.009728248;0.01914131;0.027011462;0.0281654;0.037648103;0.01611606
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputSimple;;0.019524397;0.020667461;0.017633463;0.025515437;0.033805206;0.035477862
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1LocationBenchmark.throughputSimple;;0.039537068;0.020806536;0.01344444;0.006486031;0.001702994;0.001493398
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.014091166;0.020898105;0.020426389;0.018382573;0.01082725;0.002858279
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.011492181;0.005877419;0.003744635;0.007879844;0.011156819;0.009275601
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.01877137;0.028324442;0.014489921;0.011942759;0.012091935;0.011468057
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.017309665;0.008878001;0.018333179;0.005302282;0.005860712;0.010253091
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.065755448;0.043019463;0.017165293;0.021803302;0.023183186;0.009820331
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.019100163;0.02723013;0.021527364;0.011149125;0.006178723;0.005690273
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.132304009;0.119569785;0.091823413;0.047117428;0.025665393;0.014393609
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.103762982;0.050398877;0.037600783;0.024355668;0.021029816;0.017582534
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.088618971;0.060592627;0.049438328;0.032725645;0.028759383;0.01746162
