project;commit;benchmark;params;f1;f2;f3;f4;f5
log4j2;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputH2Exception;;5;5;5;5;5
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params;;6;18;5;8;16
log4j2;;org.apache.logging.log4j.perf.jmh.ParameterizedMessageBenchmark.refactoredFormatTo;;45;27;27;29;23
log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.getSourceLocationOfLogEvent;;22;19;23;22;18
log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisStringGetBytesCharSet;;14;7;18;13;20
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50&threadContextMapAlias=Default;22;18;32;25;23
log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.baseline;;11;15;20;22;17
log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ThrowableAsync;;7;5;5;10;9
log4j2;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testResponseTimeHSQLDBException;;6;8;44;28;34
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;22;33;39;35;34
log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2File;;35;27;23;7;19
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatDouble;;37;34;32;49;35
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;5;6;10;5;5
log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.locationLocatorGetMethod;;25;20;15;6;20
log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1Log4j2File;;5;5;13;14;5
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;5;5;16;5;12
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputParameterizedString;;9;5;10;5;6
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;25;33;33;28;34
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5&threadContextMapAlias=NoGcSortedArray;29;33;23;30;32
log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test10_getMessageUsingReflection;;14;14;22;20;26
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyBaseline;;21;18;21;24;18
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.baseline;;21;23;26;23;24
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500&threadContextMapAlias=CopyOpenHash;25;24;5;33;29
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50&threadContextMapAlias=CopySortedArray;41;5;31;24;5
log4j2;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testResponseTimeH2Exception;;37;35;34;34;41
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50&threadContextMapAlias=Default;18;19;20;21;29
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneArrayContextData;count=5&length=20;19;6;15;15;14
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5&threadContextMapAlias=CopyOpenHash;24;29;26;28;20
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;8;10;5;5;10
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500&threadContextMapAlias=NoGcSortedArray;31;23;25;31;34
log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test09_getMessageUsingNew;;23;29;22;37;19
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;39;30;38;31;25
log4j2;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.reflectionUtilGetClass;;22;27;25;26;23
log4j2;;org.apache.logging.log4j.perf.jmh.UuidGeneratorBenchmark.randomUUID;;47;24;30;25;43
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;15;11;16;12;12
