cpiotr/parallel-streams,false,0,0,0,1,true,,,https://github.com/cpiotr/parallel-streams.git,2016-08-07T22:01:52Z,,true,false,false,0,31
KurtYoung/druid,true,0,0,0,1,true,apache/incubator-druid,false,https://github.com/KurtYoung/druid.git,2018-07-06T15:32:36Z,false,true,false,false,0,100
dmnlukasik/java-8-concurrency-updates,false,0,0,0,1,true,,,https://github.com/dmnlukasik/java-8-concurrency-updates.git,2014-10-08T07:01:08Z,,true,false,false,0,2
tkowalcz/presentations,false,5,5,1,1,true,,,https://github.com/tkowalcz/presentations.git,2019-07-28T17:02:53Z,,true,false,false,0,37
elliottneilclark/time-test,false,0,0,0,1,true,,,https://github.com/elliottneilclark/time-test.git,2015-12-18T05:49:51Z,,true,false,false,0,2
brharrington/spectator,true,1,1,0,0,true,Netflix/spectator,true,https://github.com/brharrington/spectator.git,2019-08-09T23:38:41Z,false,false,false,false,,
graalvm/mx,false,79,79,56,39,true,,,https://github.com/graalvm/mx.git,2019-08-15T18:41:14Z,,true,false,false,0,100
BrentDouglas/vial,false,0,0,1,1,true,,,https://github.com/BrentDouglas/vial.git,2015-06-30T18:51:11Z,,true,false,false,0,28
typetools/commons-bcel,true,0,0,9,7,true,codespecs/commons-bcel,false,https://github.com/typetools/commons-bcel.git,2019-05-07T17:09:37Z,false,true,false,false,0,100
jxqlovejava/RxJavaParallel,true,0,0,0,1,true,ReactiveX/RxJavaParallel,false,https://github.com/jxqlovejava/RxJavaParallel.git,2015-08-09T04:39:57Z,false,true,false,false,0,8
elitecodegroovy/log4j2,false,0,0,0,1,false,,,,,,false,,,,
vyazelenko/jmh-gradle-plugin,true,0,0,0,1,true,melix/jmh-gradle-plugin,false,https://github.com/vyazelenko/jmh-gradle-plugin.git,2017-01-04T15:32:24Z,false,true,false,false,0,100
openzipkin/zipkin-reporter-java,false,83,83,49,26,true,,,https://github.com/openzipkin/zipkin-reporter-java.git,2019-08-10T10:19:38Z,,true,false,false,3,100
taer/lettuce,true,1,1,1,1,true,lettuce-io/lettuce-core,false,https://github.com/taer/lettuce.git,2017-03-22T07:21:44Z,false,true,false,false,0,100
rxin/jvm-unsafe-utils,false,51,51,14,15,true,,,https://github.com/rxin/jvm-unsafe-utils.git,2019-07-23T06:21:14Z,,true,false,false,0,22
mauricionr/Hystrix,true,0,0,0,0,true,Netflix/Hystrix,false,https://github.com/mauricionr/Hystrix.git,2019-08-10T19:56:19Z,false,true,false,false,0,100
suyimin/caffeine,true,0,0,0,1,false,,,,,,false,,,,
wesleyegberto/courses-projects,false,1,1,0,1,true,,,https://github.com/wesleyegberto/courses-projects.git,2019-01-12T03:32:10Z,,true,false,false,0,100
mehant/incubator-calcite,true,0,0,0,1,true,apache/calcite,false,https://github.com/mehant/incubator-calcite.git,2014-12-22T03:19:09Z,false,true,false,false,0,100
stevegury/reactivesocket-java,true,0,0,0,1,true,rsocket/rsocket-java,false,https://github.com/stevegury/reactivesocket-java.git,2016-03-07T18:43:35Z,false,true,false,false,0,100
ReactiveSocket/reactivesocket-java,false,1114,1114,167,86,true,,,https://github.com/rsocket/rsocket-java.git,2019-08-15T17:05:18Z,,true,false,false,69,100
FieldFlux/orbit,true,0,0,0,1,false,,,,,,false,,,,
smartpcr/druid,true,0,0,0,1,true,apache/incubator-druid,false,https://github.com/smartpcr/druid.git,2018-07-06T15:32:37Z,true,false,false,false,,
besza/jgrapht,true,0,0,0,1,true,jgrapht/jgrapht,true,https://github.com/besza/jgrapht.git,2019-05-12T12:16:24Z,false,false,false,false,,
akarnokd/rxjava2-backport,false,11,11,2,1,true,,,https://github.com/akarnokd/rxjava2-backport.git,2018-03-21T09:51:52Z,,true,true,false,2,27
jdivy/netty,true,0,0,0,1,true,netty/netty,true,https://github.com/jdivy/netty.git,2014-12-21T22:19:56Z,false,false,false,false,,
crate/crate,false,2522,2522,335,171,true,,,https://github.com/crate/crate.git,2019-08-16T09:52:28Z,,true,false,false,6,100
txazo/java,false,0,0,1,1,true,,,https://github.com/txazo/java.git,2019-06-06T10:29:46Z,,true,false,false,0,100
immortius/gestalt,true,0,0,0,2,true,MovingBlocks/gestalt,false,https://github.com/immortius/gestalt.git,2018-07-03T09:30:34Z,false,true,false,false,0,100
b0ch3nski/rtla,false,4,4,3,2,false,,,,,,false,,,,
j-musca/kata08-conflicting-objectives,false,0,0,1,2,true,,,https://github.com/j-musca/kata08-conflicting-objectives.git,2015-05-04T18:08:35Z,,true,false,false,0,10
WANdisco/amplab-hive,true,0,0,0,26,true,amplab/hive,false,https://github.com/WANdisco/hive.git,2017-02-18T16:48:39Z,false,true,false,false,0,100
BunnyWei/truffle-llvmir,false,0,0,0,1,true,,,https://github.com/BunnyWei/truffle-llvmir.git,2015-07-03T19:53:22Z,,true,false,false,0,2
vladimir-bukhtoyarov/rolling-metrics,false,71,71,9,6,true,,,https://github.com/vladimir-bukhtoyarov/rolling-metrics.git,2019-08-01T22:13:10Z,,true,false,false,9,100
spotify/sparkey-java,false,90,90,20,20,true,,,https://github.com/spotify/sparkey-java.git,2019-08-13T13:09:45Z,,true,false,false,0,100
mnuessler/metrics,true,0,0,0,1,true,dropwizard/metrics,false,https://github.com/mnuessler/metrics.git,2015-05-08T17:39:18Z,false,true,false,false,0,100
jharting/weld-collections-benchmark,false,0,0,1,1,true,,,https://github.com/jharting/weld-collections-benchmark.git,2014-10-22T11:14:08Z,,true,false,false,0,5
nitram509/intellij-idea-plugin-serializer-toolbox,false,1,1,0,1,true,,,https://github.com/nitram509/intellij-idea-plugin-serializer-toolbox.git,2017-08-31T14:10:04Z,,true,false,false,0,38
fengshao0907/grpc-java,true,0,0,0,0,true,grpc/grpc-java,true,https://github.com/fengshao0907/grpc-java.git,2015-07-28T12:14:22Z,false,false,false,false,,
fpavageau/bench-filters,false,1,1,0,1,true,,,https://github.com/fpavageau/bench-filters.git,2014-06-25T18:03:33Z,,true,false,false,0,3
marksutt/commonmark-java,true,0,0,0,1,true,atlassian/commonmark-java,true,https://github.com/marksutt/commonmark-java.git,2015-08-16T15:34:52Z,false,false,false,false,,
jgrapht/jgrapht,true,1487,1487,582,133,true,lingeringsocket/jgrapht,false,https://github.com/jgrapht/jgrapht.git,2019-08-13T17:04:12Z,false,true,false,false,0,100
tschechlovdev/jabref,true,0,0,0,5,true,JabRef/jabref,false,https://github.com/tschechlovdev/jabref.git,2016-03-10T11:41:18Z,false,true,false,false,0,100
krichter722/jdk9-jdk9-jdk,false,0,0,0,1,false,,,,,,false,,,,
svashisth/java-perv,true,0,0,0,1,true,gvsmirnov/java-perv,true,https://github.com/svashisth/java-perv.git,2015-09-22T23:37:48Z,false,false,false,false,,
ruhkopf/Hystrix,true,0,0,0,1,true,Netflix/Hystrix,false,https://github.com/ruhkopf/Hystrix.git,2015-09-21T22:25:57Z,true,false,false,false,,
notsyncing/lightfur,false,2,2,0,1,true,,,https://github.com/notsyncing/lightfur.git,2017-12-27T07:36:22Z,,true,false,false,0,100
requery/requery,false,2855,2855,246,95,true,,,https://github.com/requery/requery.git,2019-08-14T07:25:00Z,,true,false,false,43,100
smartnews/presto,true,0,0,0,24,true,prestosql/presto,false,https://github.com/smartnews/presto.git,2019-02-13T06:28:53Z,false,true,false,false,0,100
d0k1/istree,false,0,0,0,1,true,,,https://github.com/d0k1/acache.git,2019-08-10T20:01:53Z,,true,false,false,1,30
epickrram/lock-contention,false,0,0,0,1,true,,,https://github.com/epickrram/lock-contention.git,2016-11-29T06:37:34Z,,true,false,false,0,23
nithril/sandbox-query-benchmark-jooq-hibernate-jdbc,false,6,6,4,2,true,,,https://github.com/nithril/sandbox-query-benchmark-jooq-hibernate-jdbc.git,2017-04-10T12:06:07Z,,true,false,false,0,8
agdphd/jgrapht,true,1,1,0,1,true,jgrapht/jgrapht,true,https://github.com/agdphd/jgrapht.git,2018-07-28T14:18:17Z,true,false,false,false,,
svstanev/presto,true,0,0,0,1,true,prestodb/presto,false,https://github.com/svstanev/presto.git,2016-03-18T00:24:51Z,false,true,false,false,0,100
ecki/jmhbench-cryptospeed,false,1,1,1,1,true,,,https://github.com/ecki/jmhbench-cryptospeed.git,2016-05-13T11:33:55Z,,true,false,false,0,10
lburgazzoli/logging-log4j2,true,0,0,0,1,true,apache/logging-log4j2,true,https://github.com/lburgazzoli/apache-logging-log4j2.git,2016-03-07T22:25:52Z,false,false,false,false,,
rafamonteiro/SerializationProtocolsBenchMark,false,1,1,0,1,true,,,https://github.com/rafamonteiro/SerializationProtocolsBenchMark.git,2015-12-25T17:53:43Z,,true,false,false,0,4
AdoptOpenJDK/vmbenchmarks,true,7,7,3,17,true,rjdkolb/vmbenchmarks,false,https://github.com/AdoptOpenJDK/vmbenchmarks.git,2018-06-20T04:21:32Z,false,true,false,false,0,16
henri-tremblay/microbenchmarkingwithjmh,false,0,0,0,1,true,,,https://github.com/henri-tremblay/microbenchmarkingwithjmh.git,2014-04-17T08:05:17Z,,true,false,false,0,2
fengshao0907/slice,true,0,0,0,0,true,airlift/slice,false,https://github.com/fengshao0907/slice.git,2015-08-02T14:54:31Z,false,true,false,false,0,100
loganj/RxJava,true,0,0,0,0,true,ReactiveX/RxJava,true,https://github.com/loganj/RxJava.git,2014-10-16T02:20:39Z,false,false,false,false,,
TridentSDK/Trident,false,58,58,23,15,true,,,https://github.com/TridentSDK/Trident.git,2019-07-17T07:10:10Z,,true,false,false,1,100
luyiisme/netty,true,0,0,0,1,true,netty/netty,true,https://github.com/luyiisme/netty.git,2016-06-29T09:23:24Z,true,false,false,false,,
Bertk/sonarqube,true,0,0,0,0,false,,,,,,false,,,,
mwringe/hawkular-metrics,true,0,0,0,1,true,hawkular/hawkular-metrics,false,https://github.com/mwringe/hawkular-metrics.git,2016-02-08T20:46:14Z,false,true,false,false,0,100
nishantmonu51/druid,true,0,0,1,0,true,apache/incubator-druid,false,https://github.com/nishantmonu51/druid.git,2019-07-01T05:30:35Z,true,false,false,false,,
benalexau/simple-binary-encoding,true,0,0,0,1,true,real-logic/simple-binary-encoding,true,https://github.com/benalexau/simple-binary-encoding.git,2016-05-23T05:37:40Z,false,false,false,false,,
mox601/mybatis-pool-jmh,false,1,1,0,0,true,,,https://github.com/mox601/mybatis-pool-jmh.git,2019-01-14T20:56:00Z,,true,false,false,0,4
salyh/jsr353-benchmark,false,1,1,1,1,true,,,https://github.com/salyh/jsr353-benchmark.git,2017-09-08T01:38:31Z,,true,false,false,4,18
